ACIW,ACI Worldwide Inc,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),topStory
AAPL,Apple Inc,20110914,PRESS DIGEST - Financial Times - Sept 14 , Bob Diamond  Barclays' chief executive  has given a surprisingly warm welcome to the Vickers Commission report in the first public response from a UK bank chief executive to the proposed industry revamp. http://www.ft.com/cms/s/0/3a26592c-de3b-11e0-9fb7-00144feabdc0.html#axzz1XmY8mJKm,normal
CAR,Avis Budget Group Inc,20110914,Dealtalk: ConAgra pressures Ralcorp  to look at others ,PHILADELPHIA For ConAgra Foods Inc   there are other potential takeover targets out there besides Ralcorp Holdings Inc .,topStory
CAR,Avis Budget Group Inc,20110914,DEALTALK-ConAgra pressures Ralcorp  to look at others , PHILADELPHIA  Sept 14 For ConAgra Foods Inc   there are other potential takeover targets out there besides Ralcorp Holdings Inc .,normal
CAR,Avis Budget Group Inc,20110914,US STOCKS-Techs lift Wall St but euro zone fears weigh , * Business inventories signal caution  retail sales flat,normal
CAR,Avis Budget Group Inc,20110914,Avis drops Dollar Thrifty  clears track for Hertz ,Hertz Global Holdings Inc  was left the sole suitor for smaller rival Dollar Thrifty   after Avis Budget Group  dropped out of the race  in a 17-month long bidding war.,normal
CAR,Avis Budget Group Inc,20110914,Timeline: Bidding war for Dollar Thrifty ,Avis Budget Group Inc  said it was no longer in the bidding to buy smaller rival Dollar Thrifty Automotive Group   citing the current market downturn. Hertz Global Holdings Inc  has also bid for Dollar Thrifty.,normal
CAR,Avis Budget Group Inc,20110914,TIMELINE-Bidding war for Dollar Thrifty , Sept 14 Avis Budget Group Inc said it was no longer in the bidding to buy smaller rival Dollar Thrifty Automotive Group   citing the current market downturn. Hertz Global Holdings Inc has also bid for Dollar Thrifty.,normal
CAR,Avis Budget Group Inc,20110914,RPT-UPDATE 1-Avis Budget drops Dollar Thrifty buyout plan , Sept 14 Car rental company Avis Budget Group  said it would not pursue the Dollar Thrifty  buyout  citing market conditions  clearing the way for rival Hertz Global Holdings Inc .,normal
CAR,Avis Budget Group Inc,20110914,UPDATE 1-Avis Budget drops Dollar Thrifty buyout plan , Sept 14 Car rental company Avis Budget Group  said it would not pursue the Dollar Thrifty  buyout  citing market conditions  clearing the way for rival Hertz Global Holdings Inc .,normal
BMLP,Bank Of Montreal,20110914,UPDATE 1-Bank of Montreal says has no plans to up dividend , * Takes cautious approach with Basel III standards looming,topStory
BMLP,Bank Of Montreal,20110914,CANADA STOCKS-TSX little changed as euro crisis mars sentiment , * European debt crisis continues to dominate  (Updates with details  commentary),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
DLBL,Barclays PLC,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DLBL,Barclays PLC,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DLBL,Barclays PLC,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DLBL,Barclays PLC,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DLBL,Barclays PLC,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DLBL,Barclays PLC,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DLBL,Barclays PLC,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DLBL,Barclays PLC,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DLBL,Barclays PLC,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DLBL,Barclays PLC,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
DTYL,Barclays PLC,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DTYL,Barclays PLC,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DTYL,Barclays PLC,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DTYL,Barclays PLC,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DTYL,Barclays PLC,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DTYL,Barclays PLC,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DTYL,Barclays PLC,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DTYL,Barclays PLC,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DTYL,Barclays PLC,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DTYL,Barclays PLC,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
CPLA,Capella Education Company,20110914,Key education department official to leave  joins Obama campaign ,James Kvaal  a key Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,topStory
CPLA,Capella Education Company,20110914,UPDATE 1-Key US education department official to leave , Sept 14 James Kvaal  a key U.S. Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,normal
CECO,Career Education Corporation,20110914,Key education department official to leave  joins Obama campaign ,James Kvaal  a key Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,topStory
CECO,Career Education Corporation,20110914,UPDATE 1-Key US education department official to leave , Sept 14 James Kvaal  a key U.S. Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,normal
CRUS,Cirrus Logic Inc,20110914,US SMALL/MIDCAPS-Semiconductor stocks rally , NEW YORK  Sept 14 Small and midcap technology stocks led a broad market rally on Wednesday as optimism grew that the euro zone would find a way out of its current troubles and investors re-embraced risk.,topStory
CSCO,Cisco Systems Inc,20110914,US STOCKS-Techs lift Wall St but euro zone fears weigh , * Business inventories signal caution  retail sales flat,topStory
CSCO,Cisco Systems Inc,20110914,BORSA USA  debole penalizzata da dati e timori Europa , NEW YORK   14 settembre L'azionario Usa è in calo  penalizzato dal venir meno dell'ottimismo a seguito dei commenti sul possibile lancio di bond europei con l'obiettivo di allentare la crisi del debito nell'area. Sul mercato pesano anche i dati tiepidi delle vendite retail negli Stati Uniti. Ad agosto le vendite sono state piatte. "Le turbolenze sui mercati hanno avuto un impatto ovvio sulle vendite retail e allo stesso tempo le nuove assunzioni restano scialbe"  osserva un b,normal
CSCO,Cisco Systems Inc,20110914,US STOCKS-Wall St weighed down by lackluster data  Europe , * Indexes: Dow down 0.5 pct  S&P down 0.4 pct  Nasdaq flat,normal
CME,CME Group Inc,20110914,UPDATE 1-Britain to sue ECB over clearing location rule , LONDON  Sept 14 Britain plans to sue the European Central Bank over a new rule that will force clearing houses to be located in the euro zone if they handle large amounts of euro-denominated securities.,topStory
CME,CME Group Inc,20110914,Britain to sue ECB over clearing location rule , LONDON  Sept 14 Britain plans to sue the European Central Bank over a new rule that will force clearing houses to be located in the euro zone if they handle large amounts of euro-denominated securities.,normal
CMCSA,Comcast Corporation,20110914,Few sure winners seen at the Emmy Awards ,LOS ANGELES If there are any sure bets at this year's Primetime Emmy Awards on Sunday  they are "Modern Family" again being crowned TV's best comedy series and Kate Winslet winning for her role in "Mildred Pierce". | Video ,topStory
CMCSA,Comcast Corporation,20110914,Few sure winners seen at the Emmy Awards , LOS ANGELES  Sept 14 If there are any sure bets at this year's Primetime Emmy Awards on Sunday  they are "Modern Family" again being crowned TV's best comedy series and Kate Winslet winning for her role in "Mildred Pierce".,normal
EBAY,eBay Inc,20110914,PRESS DIGEST - Wall Street Journal - Sept 14 , Sept 14 The following were the top stories in The Wall Street Journal on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
ERIC,Ericsson,20110914,NORDIC STOCKS - Factors to watch on August 14 , HELSINKI  Sept 14 The following stocks may be affected by newspaper reports and other factors on Wednesday:,topStory
ESRX,Express Scripts Holding Company,20110914,UPDATE 1-Express Scripts sees small risk in Walgreen spat , * Says still "probable" Medco deal closes in H1 of 2012  (Adds Walgreen comment),topStory
ESRX,Express Scripts Holding Company,20110914,Express Scripts sees small risk in Walgreen spat ,Express Scripts Inc  might lose a "small fraction" of its business from a dispute with drugstore chain Walgreen Co   its chief financial officer said on Wednesday  but it would not be a significant amount.,normal
ESRX,Express Scripts Holding Company,20110914,Express Scripts sees small risk in Walgreen spat , * Says still "probable" Medco deal closes in H1 of 2012,normal
FSLR,First Solar Inc,20110914,FACTBOX-Companies with conditional DOE loan guarantee offers , Sept 14 The U.S. Department of Energy's loan program for innovative technologies was created under the Bush Administration in 2005  but the first loan guarantee wasn't extended until four years later when the loan office received funding under the federal economic stimulus.,topStory
LOPE,Grand Canyon Education Inc,20110914,Key education department official to leave  joins Obama campaign ,James Kvaal  a key Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,topStory
LOPE,Grand Canyon Education Inc,20110914,UPDATE 1-Key US education department official to leave , Sept 14 James Kvaal  a key U.S. Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,normal
OMAB,Grupo Aeroportuario del Centro Norte SAB de CV,20110914,Mexico's Interjet opts against Mexicana takeover , MEXICO CITY  Sept 14 Mexican airline Interjet said on Wednesday it has opted against taking over the operations of troubled carrier Mexicana  which stopped flying a year ago due to financial difficulties.,topStory
HAS,Hasbro Inc,20110914,Toys R Us holiday mantra: In exclusives we trust ,NEW YORK From squishy garbage-themed collectibles "The Trash Pack" to remote-controlled flying fish "Air Swimmers " Toys R Us  is carrying a larger assortment of exclusive toys to win holiday shoppers from the likes of Amazon.com  and Wal-Mart Stores .,topStory
HAS,Hasbro Inc,20110914,Toys R Us holiday mantra: In exclusives we trust , * To spend more on TV advertising  offer more online deals,normal
HAS,Hasbro Inc,20110914,UPDATE 2-Oaktree offers $670 mln for Jakks  says may go hostile , * Willing to raise offer price  it says   (Recasts  adds details on deal  company background),normal
IDTI,Integrated Device Technology Inc,20110914,US SMALL/MIDCAPS-Semiconductor stocks rally , NEW YORK  Sept 14 Small and midcap technology stocks led a broad market rally on Wednesday as optimism grew that the euro zone would find a way out of its current troubles and investors re-embraced risk.,topStory
INTC,Intel Corporation,20110914,Developers get early taste of Windows 8 ,ANAHEIM  California Microsoft Corp handed out 5 000 sleek Samsung tablet computers running a test version of Windows 8 at its annual developer conference on Tuesday  hoping to stoke excitement over its new operating system. | Video ,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
