ACTG,Acacia Research Corporation,20110711,UPDATE 1-Acacia Research unit acquires 3G  4G patent rights , July 11 Acacia Research Corp   which acquires and licenses patent rights to various technologies  said its unit has acquired rights to certain patents for 3G and 4G wireless technology.,topStory
AMGN,Amgen Inc,20110711,Micromet signs cancer drug deal with Amgen ,Bangalore Micromet Inc  said it signed a cancer-drug development deal with U.S. biotech giant Amgen Inc  for up to 695 million euros ($1.01 billion) plus royalties and reimbursements.,topStory
AMGN,Amgen Inc,20110711,Micromet signs cancer drug deal with Amgen ,Bangalore Micromet Inc  said it signed a cancer-drug development deal with U.S. biotech giant Amgen Inc  for up to 695 million euros ($1.01 billion) plus royalties and reimbursements.,normal
AAPL,Apple Inc,20110711,RIM annual meeting likely to exacerbate investor ire ,TORONTO Research In Motion investors desperate for news about how the BlackBerry maker will reverse its sagging fortunes will likely leave Tuesday's annual meeting with their frustrations even more inflamed.,topStory
AAPL,Apple Inc,20110711,Courts OK Nortel patent sale to Apple/RIM group ,WILMINGTON  Delaware Apple Inc  Microsoft Corp  Research in Motion Ltd and three other leading tech companies received court approval on Monday to buy wireless patents from bankrupt Nortel Networks Corp for $4.5 billion.,normal
AAPL,Apple Inc,20110711,CORRECTED - PREVIEW-RIM annual meeting likely to exacerbate investor ire , (Corrects day of AGM in paragraph 1 to Tuesday from Wednesday),normal
AAPL,Apple Inc,20110711,UPDATE 3-Courts OK Nortel patent sale to Apple/RIM group , * Money goes to paying off Nortel debts  (Adds background on antitrust concerns in paragraph 16),normal
AAPL,Apple Inc,20110711,Target to sell new electronic reader ,SAN FRANCISCO Target Corp will soon start selling a new electronic reader that competes with Amazon.com Inc's Kindle and Barnes & Noble's Nook.,normal
AAPL,Apple Inc,20110711,Apple files fresh patent complaint against HTC ,SAN FRANCISCO Apple Inc has filed a fresh complaint against Taiwanese smartphone maker HTC Corp with a U.S. trade panel over unspecified portable electronic devices and software  according to the panel's web site.,normal
AAPL,Apple Inc,20110711,Apple files fresh patent complaint against HTC , SAN FRANCISCO  July 11 Apple Inc  has filed a fresh complaint against Taiwanese smartphone maker HTC Corp  with a U.S. trade panel over unspecified portable electronic devices and software  according to the panel's web site.,normal
AAPL,Apple Inc,20110711,Target to sell new electronic reader ,   * Device to be fully integrated with Google eBooks platform,normal
AMAT,Applied Materials Inc,20110711,Solar equipment spending to collapse in 2012: report ,LOS ANGELES Spending on equipment to make photovoltaic solar products will collapse next year following aggressive capacity expansions in 2010 and 2011 that have created an oversupply of panels in the market  according to a report by research firm Solarbuzz.,topStory
CAR,Avis Budget Group Inc,20110711,Hertz extends Dollar Thrifty exchange offer ,BANGALORE Hertz Global Holdings Inc  said it would extend its tender offer for shares of Dollar Thrifty Automotive Group  by about a month  as it continued its efforts to snap up the smaller car rental company ahead of rival Avis Budget Group Inc .,topStory
CAR,Avis Budget Group Inc,20110711,Timeline: Bidding war for Dollar Thrifty ,Hertz Global Holdings Inc  said it would extend the date of a direct exchange offer for smaller rival Dollar Thrifty Automotive Group  to August 5  as the car rental company continues its efforts to wrap up a deal that has seen it pitted against Avis Budget Group Inc .,normal
CAR,Avis Budget Group Inc,20110711,UPDATE 2-Hertz extends Dollar Thrifty exchange offer , * Says about 1 million Dollar Thrifty shares tendered   (Adds analyst comment  background),normal
CAR,Avis Budget Group Inc,20110711,TIMELINE-Bidding war for Dollar Thrifty , July 11 Hertz Global Holdings Inc said it would extend the date of a direct exchange offer for smaller rival Dollar Thrifty Automotive Group to Aug. 5  as the car rental company continues its efforts to wrap up a deal that has seen it pitted against Avis Budget Group Inc .,normal
BMLP,Bank Of Montreal,20110711,RPT-BAY STREET-Maple's embrace seen tough for TMX to elude ,* Bay St bank "guard dogs" make white knight bid unlikely,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
DLBL,Barclays PLC,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DLBL,Barclays PLC,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DLBL,Barclays PLC,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DLBL,Barclays PLC,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBL,Barclays PLC,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DLBL,Barclays PLC,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DLBL,Barclays PLC,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
DLBL,Barclays PLC,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DLBL,Barclays PLC,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DLBL,Barclays PLC,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
DTYL,Barclays PLC,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DTYL,Barclays PLC,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DTYL,Barclays PLC,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTYL,Barclays PLC,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYL,Barclays PLC,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTYL,Barclays PLC,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DTYL,Barclays PLC,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
DTYL,Barclays PLC,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DTYL,Barclays PLC,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DTYL,Barclays PLC,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
BIIB,Biogen Inc,20110711,Sanofi sells skin unit  MS drug results underwhelm ,PARIS/LONDON French drugmaker Sanofi  plans to sell its Dermik skincare business to Canada's Valeant Pharmaceuticals  for $425 million in cash  the latest drug giant to move to shed non-core assets.,topStory
BIIB,Biogen Inc,20110711,RPT-UPDATE 2-Sanofi sells skin unit  MS drug results underwhelm , * Dermik has about 140 staff in U.S.  200 in Laval  Canada,normal
CSTR,CapStar Financial Holdings Inc,20110711,ATM maker NCR to buy Radiant for $1.2 billion ,BANGALORE ATM maker NCR Corp  is to buy Radiant Systems Inc   which makes cash registers and other point-of-sale devices  for about $1.2 billion in cash to expand into the hospitality and specialty retail industries.,topStory
CLNE,Clean Energy Fuels Corp,20110711,UPDATE 2-Chesapeake to invest in natural gas fuels market , * Chesapeake shares edge up post-market  (Adds analyst comment),topStory
CLNE,Clean Energy Fuels Corp,20110711,Chesapeake to invest in natural gas fuels market , HOUSTON  July 11 Chesapeake Energy Corp  plans to spend as much as $1 billion over the next decade investing in companies and technologies to replace gasoline and diesel with fuels derived from abundant natural gas.,normal
CME,CME Group Inc,20110711,PRESS DIGEST - Wall Street Journal - July 11 , July 11 The following were the top stories in The Wall Street Journal on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
CME,CME Group Inc,20110711,UPDATE 1-CME to launch new Yuan FX futures contracts , * Contracts will be quoted in interbank terms   (Adds detail),normal
COWN,Cowen Inc,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DNKN,Dunkin&#39; Brands Group Inc,20110711,UPDATE 3-Dunkin' Brands IPO values co as much as $2.3 bln , * Key stockholders Bain Capital  Caryle  THL not selling shares in IPO,topStory
EBAY,eBay Inc,20110711,EBay sales strong in June: report ,SAN FRANCISCO Retailers generated strong sales growth through eBay Inc  Inc in June  e-commerce software company ChannelAdvisor said on Monday.,topStory
EBAY,eBay Inc,20110711,EBay sales strong in June -- ChannelAdvisor , SAN FRANCISCO  July 11 Retailers generated strong sales growth through eBay Inc  Inc in June  e-commerce software company ChannelAdvisor said on Monday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
FLAT,iPath US Treasury Flattener ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
FLAT,iPath US Treasury Flattener ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
FLAT,iPath US Treasury Flattener ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
FLAT,iPath US Treasury Flattener ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
FLAT,iPath US Treasury Flattener ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
FLAT,iPath US Treasury Flattener ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
FLAT,iPath US Treasury Flattener ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
FLAT,iPath US Treasury Flattener ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
FLAT,iPath US Treasury Flattener ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
FLAT,iPath US Treasury Flattener ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
