ACHC,Acadia Healthcare Company Inc,20160105,Fitch Expects to Withdraw Priory's Ratings on Acadia Acquisition ,(The following statement was released by the rating agency) LONDON  January 05 (Fitch) Fitch Ratings expects to withdraw Priory Group No. 3  plc's (Priory) Issuer Default Rating (IDR) of 'B+' and the 'BB+'/'RR1' ratings  on its super senior revolving credit facility (RCF)  senior secured notes due  2018 and senior notes due 2019 upon the closing of the proposed acquisition of  Priory by Acadia Healthcare Company  Inc. (Acadia)  a US-based provider of  inpatient behavioural healthcare services. F,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
DLBL,Barclays PLC,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
DTYL,Barclays PLC,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
CYAD,Celyad SA,20160105,BRIEF-Celyad updates on NKG2D CAR T-Cell Phase I trial ,* Completes 30-day safety follow-up of first patient of second cohort in NKG2D CAR T-Cell Phase I trial,topStory
CENX,Century Aluminum Company,20160105,Glencore increases Century Aluminum stake slightly: filing ,NEW YORK Glencore PLC converted some of its preferred shares in mid-sized U.S. aluminum producer Century Aluminum Co into common stock worth about $200 000 at the end of 2015  boosting its stake slightly  a filing showed on Tuesday.,topStory
CENX,Century Aluminum Company,20160105,UPDATE 1-Glencore increases Century Aluminum stake slightly - filing ,NEW YORK  Jan 5 Glencore PLC converted some of its preferred shares in mid-sized U.S. aluminum producer Century Aluminum Co into common stock worth about $200 000 at the end of 2015  boosting its stake slightly  a filing showed on Tuesday.,normal
CENX,Century Aluminum Company,20160105,Glencore buys more Century Aluminum common stock  sells some preferred stock ,NEW YORK  Jan 5 Glencore PLC bought just over 45 000 common shares worth about $200 000 and sold 456 convertible preferred shares in mid-sized U.S. aluminum producer Century Aluminum Co at the end of 2015  a filing on Tuesday said.,normal
CHTR,Charter Communications Inc,20160105,U.S. FCC delays Charter-Time Warner Cable merger review by two weeks ,The U.S. Federal Communications Commission said it is delaying its informal deadline by 15 days to review the proposed $56 billion merger of cable rivals Charter Communications Inc  and Time Warner Cable Inc .,topStory
CHTR,Charter Communications Inc,20160105,U.S. FCC delays Charter-Time Warner Cable merger review by two weeks ,Jan 5 The U.S. Federal Communications Commission said it is delaying its informal deadline by 15 days to review the proposed $56 billion merger of cable rivals Charter Communications Inc and Time Warner Cable Inc.,normal
CMCSA,Comcast Corporation,20160105,U.S. FCC delays Charter-Time Warner Cable merger review by two weeks ,Jan 5 The U.S. Federal Communications Commission said it is delaying its informal deadline by 15 days to review the proposed $56 billion merger of cable rivals Charter Communications Inc and Time Warner Cable Inc.,normal
CNAT,Conatus Pharmaceuticals Inc,20160105,Conatus liver drug shows promise in mid-stage trial ,Conatus Pharmaceuticals Inc said its experimental drug reduced the presence of a protein fragment in patients with liver cirrhosis in a mid-stage trial.,topStory
CNAT,Conatus Pharmaceuticals Inc,20160105,UPDATE 1-Conatus liver drug shows promise in mid-stage trial ,Jan 5 Conatus Pharmaceuticals Inc said its experimental drug reduced the presence of a protein fragment in patients with liver cirrhosis in a mid-stage trial.,normal
CNAT,Conatus Pharmaceuticals Inc,20160105,Conatus liver drug shows positive results in mid-stage trial ,Jan 5 Conatus Pharmaceuticals Inc said its experimental drug  emricasan  succeeded in reducing the presence of a protein fragment in patients with liver cirrhosis in a mid-stage trial.,normal
DISH,DISH Network Corporation,20160105,U.S. FCC delays Charter-Time Warner Cable merger review by two weeks ,Jan 5 The U.S. Federal Communications Commission said it is delaying its informal deadline by 15 days to review the proposed $56 billion merger of cable rivals Charter Communications Inc and Time Warner Cable Inc.,normal
FB,Facebook Inc,20160105,Message apps pose growing risk for China securities regulator ,* Regulations require reliable monitoring  recording of trades,normal
GILD,Gilead Sciences Inc,20160105,US STOCKS-Wall St higher as investors recover from selloff ,* Indexes up: Dow 0.13 pct  S&P 0.22 pct  Nasdaq 0.19 pct   (Updates to open),topStory
GILD,Gilead Sciences Inc,20160105,Gilead's hep B drug as effective as Viread but safer ,Gilead Sciences Inc said its experimental hepatitis B drug was found safer than but as effective as its approved treatment  Viread  in two late-stage studies.,normal
GILD,Gilead Sciences Inc,20160105,UPDATE 1-Gilead's hep B drug as effective as Viread but safer ,Jan 5 Gilead Sciences Inc said its experimental hepatitis B drug was found safer than but as effective as its approved treatment  Viread  in two late-stage studies.,normal
GILD,Gilead Sciences Inc,20160105,Gilead's hep B drug succeeds in late-stage trials ,Jan 5 Gilead Sciences Inc said its once-daily experimental hepatitis B drug was found to be as effective as its approved drug  Viread  in two late-stage studies.,normal
ISNS,Image Sensing Systems Inc,20160105,BRIEF-Your Image acquires EveryFlow in stock swap transaction ,* Acquires 100 percent of EveryFlow Sp. z o.o. in swap for new series G shares,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
FLAT,iPath US Treasury Flattener ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
STPP,iPath US Treasury Steepener ETN,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
KLAC,KLA-Tencor Corporation,20160105,BRIEF-UMC's Xiamen subsidiary orders machinery equipment from KLA-Tencor ,* Says subsidiary United Semiconductor (Xiamen) orders machinery equipment worth T$1 billion  ($30.17 million),topStory
MNKD,MannKind Corporation,20160105,Poor sales prompt Sanofi to pull plug on Mannkind inhaled insulin ,LONDON French drugmaker Sanofi is to stop selling an inhalable insulin developed by Mannkind  following disappointing sales of the product since its launch in February 2015.,topStory
MNKD,MannKind Corporation,20160105,UPDATE 2-Poor sales prompt Sanofi to pull plug on Mannkind inhaled insulin ,* Mannkind shares slump 40 percent   (Adds analysts' comment  further share price fall),normal
MTCH,Match Group Inc,20160105,Match Group short sellers not looking for long-term commitment ,SAN FRANCISCO Short sellers have been having trouble committing to Match Group Inc since the owner of the popular dating website Match.com and mobile app Tinder went public in November.,topStory
MSFT,Microsoft Corporation,20160105,China regulator queries Microsoft on findings in anti-trust probe ,SHANGHAI China's industry and commerce regulator has asked Microsoft Corp to explain "major issues" that it says have come to light from digital data obtained as part of an anti-trust investigation.,topStory
MSFT,Microsoft Corporation,20160105,China regulator queries Microsoft on findings in anti-trust probe ,SHANGHAI  Jan 5 China's industry and commerce regulator has asked Microsoft Corp to explain "major issues" that it says have come to light from digital data obtained as part of an anti-trust investigation.,normal
NFLX,Netflix Inc,20160105,Netflix set to tap Bollywood-mad India in pursuit of global viewers ,MUMBAI Netflix Inc's global expansion is set to reach movie-mad India  industry executives said  where high-speed Internet connectivity is rapidly spreading among a vast population used to paying pennies for their latest Bollywood fix.,topStory
NFLX,Netflix Inc,20160105,Netflix set to tap Bollywood-mad India in pursuit of global viewers ,MUMBAI Netflix Inc's global expansion is set to reach movie-mad India  industry executives said  where high-speed Internet connectivity is rapidly spreading among a vast population used to paying pennies for their latest Bollywood fix.,normal
NFLX,Netflix Inc,20160105,Netflix set to tap Bollywood-mad India in pursuit of global viewers ,* Netflix likely to announce expansion plans at CES -industry execs  analysts,normal
NVDA,NVIDIA Corporation,20160105,Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,topStory
NVDA,NVIDIA Corporation,20160105,UPDATE 1-Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS  Jan 4 Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,normal
NVDA,NVIDIA Corporation,20160105,Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS  Jan 4 Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,normal
ON,ON Semiconductor Corporation,20160105,Deals of the day- Mergers and acquisitions ,Jan 5 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Tuesday:,topStory
ON,ON Semiconductor Corporation,20160105,Fairchild terms China Resources offer superior to ON Semi's ,Fairchild Semiconductor International Inc said the revised unsolicited offer it received from China Resources Microelectronics Ltd and Hua Capital Management Co Ltd last week is superior to that of ON Semiconductor Corp.,normal
ON,ON Semiconductor Corporation,20160105,Fairchild terms China Resources offer superior to ON Semi's ,Jan 5 Fairchild Semiconductor International Inc  said the revised unsolicited offer it received from China Resources Microelectronics Ltd and Hua Capital Management Co Ltd last week is superior to that of ON Semiconductor Corp .,normal
PTNR,Partner Communications Company Ltd,20160105,Israel's Partner Comms to terminate Orange brand license agreement ,TEL AVIV Partner Communications  Israel's second-largest mobile phone operator  said on Tuesday it has notified French telecoms group Orange of its decision to terminate its Orange brand license agreement.,topStory
PTNR,Partner Communications Company Ltd,20160105,Israel's Partner Comms to terminate Orange brand license agreement ,TEL AVIV  Jan 5 Partner Communications   Israel's second-largest mobile phone operator  said on Tuesday it has notified French telecoms group Orange  of its decision to terminate its Orange brand license agreement.,normal
QRVO,Qorvo Inc,20160105,UPDATE 2-Apple expected to cut iPhone 6S  6S Plus production - Nikkei ,Jan 5 Apple Inc is expected to cut production of its latest iPhone models by about 30 percent in the January-March quarter  the Nikkei reported.,normal
VIA,Viacom Inc,20160105,RPT-UPDATE 2-Media mogul Redstone seeks dismissal of ex-girlfriend's suit ,Jan 4 Lawyers for media mogul Sumner Redstone on Monday asked a court to dismiss ex-girlfriend Manuela Herzer's petition for a new evaluation of the 92-year-old's mental competence  while Herzer's attorneys said they will seek a subpoena of Viacom CEO Philippe Dauman to compel his testimony in the case.,topStory
VIA,Viacom Inc,20160105,REFILE-Sumner Redstone seeks dismissal of former girlfriend's petition ,Jan 4 Media mogul Sumner Redstone has filed a motion seeking the dismissal of a petition filed by his former girlfriend Manuela Herzer to have him examined to see if he was able to make healthcare decisions for himself.,normal
VIAB,Viacom Inc,20160105,RPT-UPDATE 2-Media mogul Redstone seeks dismissal of ex-girlfriend's suit ,Jan 4 Lawyers for media mogul Sumner Redstone on Monday asked a court to dismiss ex-girlfriend Manuela Herzer's petition for a new evaluation of the 92-year-old's mental competence  while Herzer's attorneys said they will seek a subpoena of Viacom CEO Philippe Dauman to compel his testimony in the case.,topStory
VIAB,Viacom Inc,20160105,REFILE-Sumner Redstone seeks dismissal of former girlfriend's petition ,Jan 4 Media mogul Sumner Redstone has filed a motion seeking the dismissal of a petition filed by his former girlfriend Manuela Herzer to have him examined to see if he was able to make healthcare decisions for himself.,normal
VIRT,Virtu Financial Inc,20160105,JPMorgan names Virtu Financial as its NYSE market maker ,JPMorgan Chase & Co  said on Tuesday it appointed Virtu Financial Inc  as its market maker on the floor of the New York Stock Exchange.,topStory
VIRT,Virtu Financial Inc,20160105,JPMorgan names Virtu Financial as its NYSE market maker ,Jan 5 JPMorgan Chase & Co said on Tuesday it appointed Virtu Financial Inc as its market maker on the floor of the New York Stock Exchange.,normal
ALLY,Ally Financial Inc,20160105,Ally Financial turns down Lion Point request to explore alternatives ,Ally Financial Inc  the largest U.S. auto loan company  said on Monday it would consider two board director nominees of Lion Point Capital but turned down the hedge fund's request for it to explore strategic alternatives.,topStory
ALLY,Ally Financial Inc,20160105,UPDATE 1-Ally Financial turns down Lion Point request to explore alternatives ,Jan 4 Ally Financial Inc  the largest U.S. auto loan company  said on Monday it would consider two board director nominees of Lion Point Capital but turned down the hedge fund's request for it to explore strategic alternatives.,normal
AON,Aon plc,20160105,Aon Hewitt advises on $440 mln Alcatel-Lucent bulk annuity deal ,LONDON  Jan 5 Aon Hewitt said on Tuesday it had advised the UK pension scheme of French telecoms company Alcatel-Lucent on a 300 million pound ($441.09 million) derisking deal with insurer Aviva.,topStory
T,AT&T Inc,20160105,AT&T steps up 'smart cities' push  to offer more services ,NEW YORK AT&T Inc  will expand its smart city services to help municipal authorities remotely monitor conditions of roads and bridges in real time and give citizens mobile apps to stay informed about things like traffic and safety problems  the company said on Tuesday.,topStory
T,AT&T Inc,20160105,AT&T steps up 'smart cities' push  to offer more services ,NEW YORK  Jan 5 AT&T Inc will expand its smart city services to help municipal authorities remotely monitor conditions of roads and bridges in real time and give citizens mobile apps to stay informed about things like traffic and safety problems  the company said on Tuesday.,normal
BCS,Barclays PLC,20160105,Exclusive: Barclays to cut Asia investment banking jobs next week - sources ,SINGAPORE/HONG KONG Barclays will announce investment banking job cuts across Asia next week  including closures in South Korea and Taiwan  sources with direct knowledge of the matter told Reuters.,topStory
BP,BP plc,20160105,UPDATE 10-Oil slumps towards 11-year low  ignoring Mideast tensions ,* U.S. dollar index at one-month high over Chinese growth concerns,topStory
BMY,Bristol-Myers Squibb Company,20160105,BRIEF-Oncodesign and Bristol-Myers Squibb enter into strategic drug discovery collaboration ,* Oncodesign Biotechnology and Bristol-Myers Squibb  enter into strategic drug discovery collaboration,topStory
CBS,CBS Corporation,20160105,REFILE-Sumner Redstone seeks dismissal of former girlfriend's petition ,Jan 4 Media mogul Sumner Redstone has filed a motion seeking the dismissal of a petition filed by his former girlfriend Manuela Herzer to have him examined to see if he was able to make healthcare decisions for himself.,normal
CVX,Chevron Corporation,20160105,Chevron offers crude to Indonesia on condition of VAT cut -regulator ,JAKARTA  Jan 5 Chevron has offered to sell 125 000 barrels per day of crude oil to Indonesia from two of its domestic oilfields on condition of an exemption from a 3 percent value added tax  the country's oil and gas regulator (SKKMigas) said on Tuesday.,topStory
DAL,Delta Air Lines Inc,20160105,Delta Air Lines sees smaller unit revenue decline in fourth quarter ,Delta Air Lines Inc  the third-largest U.S. carrier  on Tuesday said it expected unit revenues for the just-ended fourth quarter were slightly better than it forecast last month.,topStory
DAL,Delta Air Lines Inc,20160105,UPDATE 1-U.S. airlines raise fares $3 in first sector-wide hike since June ,NEW YORK  Jan 5 The top U.S. airlines said Tuesday that they have raised fares in the first industry-wide hike since June  moves that may offset increasing labor costs but draw the ire of customers.,normal
DAL,Delta Air Lines Inc,20160105,Delta Air Lines sees smaller unit revenue decline in 4th qtr ,Jan 5 Delta Air Lines Inc  the third-largest U.S. carrier  on Tuesday said it expected unit revenues for the just-ended fourth quarter were slightly better than it forecast last month.,normal
DB,Deutsche Bank AG,20160105,Deutsche Bank sale of Postbank faces delay -WirtschaftsWoche ,FRANKFURT  Jan 5 Deutsche Bank faces delays in its plan to part company with Postbank  with only a portion of the retail banking business likely to be sold in a share flotation this year  a German magazine reported on Tuesday  citing Deutsche Bank supervisory board and management sources.,topStory
LLY,Eli Lilly and Company,20160105,Lilly 2016 revenue outlook falls short but Jardiance boosts shares ,Eli Lilly and Co on Tuesday forecast 2016 revenue below expectations but said that its Jardiance diabetes treatment grabbed market share during the fourth quarter  which helped shares rise as much as 3 percent.,topStory
LLY,Eli Lilly and Company,20160105,Lilly revises 2015 earnings estimate lower ,Jan 5 Drugmaker Eli Lilly and Co revised its 2015 earnings estimate lower and forecast 2016 earnings of $2.92-$3.02 per share.,normal
FCAU,Fiat Chrysler Automobiles NV,20160105,BRIEF-Fiat Chrysler says Dec Canada sales up 2 pct ,* Sold 21 961 vehicles in December in Canada  up 2 percent from December 2014,topStory
FCAU,Fiat Chrysler Automobiles NV,20160105,Fiat Chrysler's Canadian sales rise in 2015 ,MONTREAL  Jan 5 Fiat Chrysler Automobiles NV  said on Tuesday its Canadian sales rose 2 percent to 21 961 vehicles in December from the same month a year earlier  as forecasters expect automakers to report record-breaking Canadian sales in 2015.,normal
F,Ford Motor Company,20160105,Ford will expand self-driving test car fleet to 30 ,LAS VEGAS Ford Motor Co  said Tuesday it plans to triple to 30 the size of its fleet of self-driving test cars as part of an effort to accelerate autonomous vehicle development.,topStory
F,Ford Motor Company,20160105,UPDATE 1-Ford will expand self-driving test car fleet to 30 ,LAS VEGAS  Jan 5 Ford Motor Co said Tuesday it plans to triple to 30 the size of its fleet of self-driving test cars as part of an effort to accelerate autonomous vehicle development.,normal
F,Ford Motor Company,20160105,Ford will expand self-driving test  car fleet to 30 ,LAS VEGAS  Jan 5 Ford Motor Co said Tuesday it plans to triple to 30 the size of its fleet of self-driving test cars as part of an effort to accelerate autonomous vehicle development.,normal
HMC,Honda Motor Company Ltd,20160105,UPDATE 6-U.S. auto sales in 2015 set record after strong December ,DETROIT  Jan 5 Automakers on Tuesday set a new U.S. sales record for 2015 even as December sales fell short of expectations  and most forecasters said sales should rise to another record this year.,normal
HSBC,HSBC Holdings plc,20160105,Bradesco says Brazil central bank approves purchase of HSBC unit ,SAO PAULO  Jan 5 Banco Bradesco SA  Brazil's No. 2 private-sector bank  said the country's central bank approved on Tuesday the acquisition of the local unit of HSBC Holdings Plc.,topStory
HSBC,HSBC Holdings plc,20160105,UPDATE 3-HSBC says access to online banking service resuming steadily after outage ,* Second day of technical problems for online banking services,normal
HSBC,HSBC Holdings plc,20160105,HSBC apologizes for online banking outage  says customers will not 'lose out' ,LONDON HSBC said on Tuesday that customers affected by a blackout on its personal banking online services in Britain will not "lose out"  as technical problems suffered by Europe's biggest bank ran into a second day.,normal
HSBC,HSBC Holdings plc,20160105,Senior UK lawmaker asks HSBC to explain IT failures ,LONDON  Jan 5 A senior British lawmaker  Andrew Tyrie  said on Tuesday he would ask the head of HSBC  and regulators to explain repeated technical failures at Europe's biggest bank  after customers were unable to access online banking services.,normal
HSBC,HSBC Holdings plc,20160105,HSBC apologises for online banking outage  says customers will not "lose out" ,LONDON  Jan 5 HSBC said on Tuesday that customers affected by a blackout on its personal banking online services will not "lose out"  as technical problems suffered by Europe's biggest bank  run into a second day.,normal
HSEA,HSBC Holdings plc,20160105,Bradesco says Brazil central bank approves purchase of HSBC unit ,SAO PAULO  Jan 5 Banco Bradesco SA  Brazil's No. 2 private-sector bank  said the country's central bank approved on Tuesday the acquisition of the local unit of HSBC Holdings Plc.,topStory
HSEA,HSBC Holdings plc,20160105,UPDATE 3-HSBC says access to online banking service resuming steadily after outage ,* Second day of technical problems for online banking services,normal
HSEA,HSBC Holdings plc,20160105,HSBC apologizes for online banking outage  says customers will not 'lose out' ,LONDON HSBC said on Tuesday that customers affected by a blackout on its personal banking online services in Britain will not "lose out"  as technical problems suffered by Europe's biggest bank ran into a second day.,normal
HSEA,HSBC Holdings plc,20160105,Senior UK lawmaker asks HSBC to explain IT failures ,LONDON  Jan 5 A senior British lawmaker  Andrew Tyrie  said on Tuesday he would ask the head of HSBC  and regulators to explain repeated technical failures at Europe's biggest bank  after customers were unable to access online banking services.,normal
HSEA,HSBC Holdings plc,20160105,HSBC apologises for online banking outage  says customers will not "lose out" ,LONDON  Jan 5 HSBC said on Tuesday that customers affected by a blackout on its personal banking online services will not "lose out"  as technical problems suffered by Europe's biggest bank  run into a second day.,normal
HSEB,HSBC Holdings plc,20160105,Bradesco says Brazil central bank approves purchase of HSBC unit ,SAO PAULO  Jan 5 Banco Bradesco SA  Brazil's No. 2 private-sector bank  said the country's central bank approved on Tuesday the acquisition of the local unit of HSBC Holdings Plc.,topStory
HSEB,HSBC Holdings plc,20160105,UPDATE 3-HSBC says access to online banking service resuming steadily after outage ,* Second day of technical problems for online banking services,normal
HSEB,HSBC Holdings plc,20160105,HSBC apologizes for online banking outage  says customers will not 'lose out' ,LONDON HSBC said on Tuesday that customers affected by a blackout on its personal banking online services in Britain will not "lose out"  as technical problems suffered by Europe's biggest bank ran into a second day.,normal
HSEB,HSBC Holdings plc,20160105,Senior UK lawmaker asks HSBC to explain IT failures ,LONDON  Jan 5 A senior British lawmaker  Andrew Tyrie  said on Tuesday he would ask the head of HSBC  and regulators to explain repeated technical failures at Europe's biggest bank  after customers were unable to access online banking services.,normal
HSEB,HSBC Holdings plc,20160105,HSBC apologises for online banking outage  says customers will not "lose out" ,LONDON  Jan 5 HSBC said on Tuesday that customers affected by a blackout on its personal banking online services will not "lose out"  as technical problems suffered by Europe's biggest bank  run into a second day.,normal
IBM,International Business Machines Corporation,20160105,IBM veteran Steven Mills retires ,International Business Machines Corp said on Monday Steven Mills  executive vice president  software and systems  decided to retire on Dec. 31  after a career spanning more than four decades.,topStory
IBM,International Business Machines Corporation,20160105,RPT-UPDATE 1-IBM veteran Steven Mills retires ,Jan 4 International Business Machines Corp  said on Monday Steven Mills  executive vice president  software and systems  decided to retire on Dec. 31  after a career spanning more than four decades.,normal
JPM,J P Morgan Chase & Co,20160105,JPMorgan names Virtu Financial as its NYSE market maker ,JPMorgan Chase & Co  said on Tuesday it appointed Virtu Financial Inc  as its market maker on the floor of the New York Stock Exchange.,topStory
JPM,J P Morgan Chase & Co,20160105,JPMorgan names Virtu Financial as its NYSE market maker ,Jan 5 JPMorgan Chase & Co said on Tuesday it appointed Virtu Financial Inc as its market maker on the floor of the New York Stock Exchange.,normal
JPM,J P Morgan Chase & Co,20160105,JPMorgan fined $48 million for failures in U.S. robo-signing settlement ,WASHINGTON JPMorgan Chase  has been fined $48 million for failing to meet terms of a settlement to resolve mortgage servicing violations  U.S. bank regulators said on Tuesday.,normal
JPM,J P Morgan Chase & Co,20160105,JPMorgan fined $48 mln for failures in U.S. robo-signing settlement ,WASHINGTON  Jan 5 JPMorgan Chase has been fined $48 million for failing to meet terms of a settlement to resolve mortgage servicing violations  U.S. bank regulators said on Tuesday.,normal
JNJ,Johnson & Johnson,20160105,Eli Lilly's diabetes pill takes market share from J&J  Astra ,Eli Lilly and Co's new Jardiance diabetes treatment has begun stealing market share from rival drugs in its class  the company said on Tuesday  bolstered by clinical trial data showing it slashed deaths by 32 percent in patients with Type 2 diabetes.,topStory
JNJ,Johnson & Johnson,20160105,Eli Lilly's diabetes pill takes market share from J&J  Astra ,Jan 5 Eli Lilly and Co's new Jardiance diabetes treatment has begun stealing market share from rival drugs in its class  the company said on Tuesday  bolstered by clinical trial data showing it slashed deaths by 32 percent in patients with Type 2 diabetes.,normal
PHG,Koninklijke Philips NV,20160105,BRIEF-Technicolor and Philips join forces ,* Technicolor and Philips join forces to co-develop high dynamic range (HDR) distribution technologies,topStory
LM,Legg Mason Inc,20160105,Legg Mason in talks to buy Clarion Partners: Bloomberg ,Global asset manager Legg Mason Inc  is in talks to buy a majority stake in real estate investment manager Clarion Partners LLC in a deal valuing the company at about $850 million  Bloomberg reported.,topStory
LM,Legg Mason Inc,20160105,Legg Mason in talks to buy Clarion Partners - Bloomberg ,Jan 4 Global asset manager Legg Mason Inc  is in talks to buy a majority stake in real estate investment manager Clarion Partners LLC in a deal valuing the company at about $850 million  Bloomberg reported.,normal
LMHA,Legg Mason Inc,20160105,Legg Mason in talks to buy Clarion Partners: Bloomberg ,Global asset manager Legg Mason Inc  is in talks to buy a majority stake in real estate investment manager Clarion Partners LLC in a deal valuing the company at about $850 million  Bloomberg reported.,topStory
