AMAG,AMAG Pharmaceuticals Inc,20151008,VW partner AMAG Leasing extends Swiss credit lines ,ZURICH  Oct 8 Swiss auto distributor and Volkswagen importer AMAG said its leasing arm had extended for five years a 2.5 billion Swiss franc ($2.6 billion) syndicated loan facility with 26 Swiss banks.,topStory
KLXI,KLX Inc,20151008,CORRECTED-UPDATE 1-KLX unit  ex-president in $20 million settlement with U.S. ,NEW YORK  Oct 8 An aerospace supply chain manager now owned by KLX Inc and its former president have agreed to pay $20 million to resolve U.S. government claims that it misrepresented itself as a woman-owned small business in order to obtain defense contracts.,normal
KLXI,KLX Inc,20151008,CORRECTED-KLX unit  ex-president in $20 million settlement with U.S. ,NEW YORK  Oct 8 An aerospace supply chain manager now owned by KLX Inc and its former president have agreed to pay $20 million to resolve U.S. government claims that it misrepresented itself as a female-owned small business in order to obtain defense contracts.,normal
NFLX,Netflix Inc,20151008,Netflix hikes rate for most popular plan by $1.00 ,Netflix Inc said on Thursday it has increased the subscription rate for some new members by $1.00 a month to $9.99 in the United States  Canada and Latin America.,topStory
NFLX,Netflix Inc,20151008,UPDATE 1-Netflix hikes rate for most popular plan by $1.00 ,Oct 8 Netflix Inc said on Thursday it has increased the subscription rate for some new members by $1.00 a month to $9.99 in the United States  Canada and Latin America.,normal
NFLX,Netflix Inc,20151008,Netflix hikes subscription rate by $1 to $9.99/month ,Oct 8 Netflix Inc on Thursday hiked the subscription rate for its standard plan by $1.00 a month to $9.99 in the United States  the company's website showed.,normal
NBIX,Neurocrine Biosciences Inc,20151008,Neurocrine's neurological disorder drug effective in late: stage study ,Neurocrine Biosciences Inc's experimental drug for tardive dyskinesia  a neurological disorder  was effective in a late-stage study  bringing it a step closer to becoming the first treatment to win U.S. approval for the condition.,topStory
NBIX,Neurocrine Biosciences Inc,20151008,Neurocrine's neurological disorder drug effective in late-stage study ,Oct 8 Neurocrine Biosciences Inc's  experimental drug for tardive dyskinesia  a neurological disorder  was effective in a late-stage study  bringing it a step closer to becoming the first treatment to win U.S. approval for the condition.,normal
NIHD,NII Holdings Inc,20151008,Exclusive: NII Holdings to explore options for Brazilian Nextel unit - sources ,NEW YORK/SAO PAULO Latin American mobile service provider NII Holdings Inc  is planning to explore strategic alternatives for its Brazilian unit  which operates under the Nextel brand  according to people familiar with the matter.,topStory
SBUX,Starbucks Corporation,20151008,Apple Pay to land in Starbucks  Chili's  KFC ,HALF MOON BAY  Calif  Oct 8 Starbucks Corp  locations will begin accepting Apple Inc's  mobile payment system in a pilot program starting this year  Apple Vice President Jennifer Bailey said at an event on Thursday.,topStory
SBUX,Starbucks Corporation,20151008,Meal delivery start-up Munchery hires former Starbucks executive ,LOS ANGELES Meal delivery service Munchery on Thursday said it hired Pascal Rigo  a former Starbucks executive  as its chief customer experience officer.,normal
SBUX,Starbucks Corporation,20151008,Meal delivery start-up Munchery hires former Starbucks executive ,LOS ANGELES  Oct 8 Meal delivery service Munchery on Thursday said it hired Pascal Rigo  a former Starbucks executive  as its chief customer experience officer.,normal
VOD,Vodafone Group Plc,20151008,BRIEF-India's court rules in favour of Vodafone in 85 bln rupees transfer pricing case - TVS ,* India's Bombay high court rules in favour of Vodafone in 85 billion rupees transfer pricing case - television channels  Further company coverage:    (Reporting By Swati Bhat),topStory
ASX,Advanced Semiconductor Engineering Inc,20151008,BRIEF-Taiwan's ASE posts 10.3 pct rise in Sept sales ,Further company coverage:   ($1 = 32.5650 Taiwan dollars)   (Reporting by Hong Kong and Singapore newsrooms),topStory
AA,Alcoa Corporation,20151008,Alcoa profit misses as aluminum prices slide ,Alcoa Inc reported a smaller-than-expected quarterly profit  hurt by slumping prices for aluminum and other commodities and unfavorable foreign exchange rates.,topStory
AA,Alcoa Corporation,20151008,UPDATE 3-Alcoa profit misses as aluminum prices slide ,Oct 8 Alcoa Inc reported a smaller-than-expected quarterly profit  hurt by slumping prices for aluminum and other commodities and unfavorable foreign exchange rates.,normal
AA,Alcoa Corporation,20151008,US STOCKS-Wall St rises after release of 'dovish' Fed minutes ,* Energy sector leads advancers as oil rallies to three-month high,normal
AA,Alcoa Corporation,20151008,UPDATE 1-Alcoa profit misses as aluminum prices slide ,Oct 8 Alcoa Inc reported a smaller-than-expected quarterly profit  hurt by a slide in aluminum prices that has prompted the company to separate the smelting operations from the faster-growing plane and car parts business.,normal
AA,Alcoa Corporation,20151008,Alcoa sales fall 10.7 pct ,Oct 8 Alcoa Inc reported a 10.7 percent fall in quarterly sales  hurt by sliding aluminum prices and divestitures.,normal
BABA,Alibaba Group Holding Limited,20151008,Alibaba's Ma says concerns about China consumption overdone ,Alibaba Group Holding Ltd Chairman Jack Ma  looking to calm investors after a slide in the e-commerce company's shares  said concerns about slowing consumption in China were overdone.,topStory
BABA,Alibaba Group Holding Limited,20151008,UPDATE 1-Alibaba's Ma says concerns about China consumption overdone ,Oct 8 Alibaba Group Holding Ltd  Chairman Jack Ma  looking to calm investors after a slide in the e-commerce company's shares  said concerns about slowing consumption in China were overdone.,normal
BABA,Alibaba Group Holding Limited,20151008,Alibaba's Ma says concerns about China consumption overdone ,Oct 8 Alibaba Group Holding Ltd  Chairman Jack Ma said he doesn't think consumption will decline in China as the economy slows  terming such concerns an "overreaction.",normal
BABA,Alibaba Group Holding Limited,20151008,China's Meituan  Dianping merging to form dominant O2O player ,BEIJING/HONG KONG China's two biggest online-to-offline (O2O) service providers  backed separately by rivals Alibaba Group Holding and Tencent Holdings  announced a merger  as Internet firms join forces to prosper in a highly competitive market.,normal
MO,Altria Group,20151008,UPDATE 2-AB InBev CEO appeals to SAB shareholders for second day ,* CEO repeats frustration  says rival's view lacks credibility,normal
BUD,Anheuser-Busch Inbev SA,20151008,AB InBev CEO appeals to SAB shareholders for second day ,BRUSSELS/LONDON Anheuser-Busch InBev Chief Executive Carlos Brito repeated his appeal to SABMiller shareholders on Thursday  again urging them to push the brewer's board into more serious takeover discussions.,topStory
BUD,Anheuser-Busch Inbev SA,20151008,UPDATE 2-AB InBev CEO appeals to SAB shareholders for second day ,* CEO repeats frustration  says rival's view lacks credibility,normal
BUD,Anheuser-Busch Inbev SA,20151008,AB InBev urges investors not to let SABMiller thwart bid ,BRUSSELS  Oct 8 Anheuser-Busch InBev  Chief Executive Carlos Brito urged shareholders of SABMiller  on Thursday to see the value of its 68 billion pound ($104 billion) takeover proposal and not let the UK-based rival's board thwart its advances.,normal
BUD,Anheuser-Busch Inbev SA,20151008,BRIEF-AB Inbev says plans to work with regulators over SABMiller deal ,* Has repeatedly offered to share this analysis with SABMiller and its advisers,normal
ADM,Archer-Daniels-Midland Company,20151008,All eyes on ADM and Bunge after Cargill profit jumps 20 pct ,CHICAGO  Oct 7 A 20 percent quarterly profit jump for global grains trader Cargill Inc suggests recent disappointing quarterly earnings from rival agribusinesses Archer Daniels Midland Co and Bunge Ltd  may be more of a blip than long- term concern  analysts said.,normal
BCS,Barclays PLC,20151008,Barclays  BoA Merrill to lead Israel's Zim NY IPO: sources ,JERUSALEM Bank of America Merrill Lynch and Barclays Plc will lead an initial public offering of Israeli shipping firm Zim on Wall Street next year  two sources familiar with the matter said on Thursday.,topStory
BCS,Barclays PLC,20151008,Barclays  BoA Merrill to lead Israel's Zim NY IPO -sources ,JERUSALEM  Oct 8 Bank of America Merrill Lynch  and Barclays Plc will lead an initial public offering of Israeli shipping firm Zim on Wall Street next year  two sources familiar with the matter said on Thursday.,normal
BA,Boeing Company (The),20151008,ULA needs relief on Russian engines before GPS launch bid: CEO ,CAPE CANAVERAL  Fla./WASHINGTON United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co   on Friday said it cannot bid in a U.S. Air Force competition to launch a GPS satellite unless it gets some relief from a ban on use of Russian rocket engines.,topStory
BA,Boeing Company (The),20151008,U.S. Export-Import Bank saga risks Boeing jet orders: Ethiopian Airlines ,WASHINGTON Ethiopian Airlines told Boeing Co in a letter that the shutdown of the U.S. Export-Import Bank raised concerns about the airline's ability to take delivery of Boeing jets already ordered and would force it to reevaluate future orders.,normal
BA,Boeing Company (The),20151008,UPDATE 3-U.S. Export-Import Bank saga risks Boeing jet orders - Ethiopian Airlines ,WASHINGTON  Oct 8 Ethiopian Airlines told Boeing Co in a letter that the shutdown of the U.S. Export-Import Bank raised concerns about the airline's ability to take delivery of Boeing jets already ordered and would force it to reevaluate future orders.,normal
BA,Boeing Company (The),20151008,SpaceX raps ULA bid to get U.S. waiver for Russian engines ,WASHINGTON Space Exploration Technologies  or SpaceX  has slammed a bid by United Launch Alliance  a joint venture of Lockheed Martin Corp and Boeing Co  to get a waiver from a U.S. ban on Russian rocket engines for military use.,normal
BA,Boeing Company (The),20151008,CORRECTED-UPDATE 3-ULA needs relief on Russian engines before GPS launch bid -CEO ,CAPE CANAVERAL  Fla./WASHINGTON Oct 2 United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co  on Friday said it cannot bid in a U.S. Air Force competition to launch a GPS satellite unless it gets some relief from a ban on use of Russian rocket engines.,normal
BA,Boeing Company (The),20151008,SpaceX raps ULA bid to get U.S. waiver for Russian engines ,WASHINGTON  Oct 8 Space Exploration Technologies  or SpaceX  has slammed a bid by United Launch Alliance  a joint venture of Lockheed Martin Corp and Boeing Co  to get a waiver from a U.S. ban on Russian rocket engines for military use.,normal
BA,Boeing Company (The),20151008,UPDATE 2-Boeing won 182 jetliner orders in 3rd qtr  delivered 580 since Jan. 1 ,NEW YORK  Oct 8 Boeing Co booked 182 commercial aircraft orders in the third quarter and delivered a record 580 planes from January through September  putting it on track to easily hit its delivery target for the year and keep its title as the world's biggest plane maker.,normal
BA,Boeing Company (The),20151008,Ex-Im Bank saga risks Boeing jet orders - Ethiopian Airlines ,Ethiopian Airlines told Boeing Co that the shutdown of the U.S. Export-Import Bank raised concerns about the airline's ability to take delivery of Boeing jets already ordered and would force it to reevaluate future orders.,normal
BA,Boeing Company (The),20151008,Boeing wins 182 commercial plane orders in third quarter  delivers 580 ,NEW YORK Boeing Co booked 182 commercial aircraft orders in the third quarter and delivered a record 580 planes  putting it on track to easily hit its delivery target for the year and keep its title as the world's biggest plane maker.,normal
BA,Boeing Company (The),20151008,Boeing books orders for 182 new commercial planes in 3rd qtr ,Oct 8 Boeing Co booked orders for 182 new commercial planes in the third quarter  lifting gross orders for the year to 507 planes  but lagging the 875 orders arch-rival Airbus Group booked in the period.,normal
CVX,Chevron Corporation,20151008,Chevron extends job cuts to global trading desks ,NEW YORK Chevron Corp  is cutting staff on its global energy trading desks this week  sources said on Thursday  making it the latest division to face reductions as part of a $3 billion cost-saving plan brought on by low crude oil prices.,topStory
SNP,China Petroleum & Chemical Corporation,20151008,UPDATE 1-China's graft watchdog investigates former Sinopec chairman ,SHANGHAI  Oct 8 Chinese authorities have placed the governor of Fujian province  who is also the former chairman of China Petroleum and Chemical Corporation  under investigation on suspicion of "serious disciplinary violations"  China's anti-graft watchdog has said.,topStory
SNP,China Petroleum & Chemical Corporation,20151008,N. Asia snaps up Russian crude after Mideast freight hits 5-yr high ,* Nov ESPO  Dec Sokol premiums jump $2-$3/bbl from prev month,normal
SNP,China Petroleum & Chemical Corporation,20151008,China investigates former Sinopec chairman for 'discipline violations' ,SHANGHAI Chinese authorities have placed the governor of Fujian province  who is also the former chairman of China Petroleum and Chemical Corporation  under investigation on suspicion of "serious disciplinary violations"  China's anti-graft watchdog has said.,normal
SNP,China Petroleum & Chemical Corporation,20151008,RPT-China investigates former Sinopec chairman for 'discipline violations' ,SHANGHAI  Oct 8 Chinese authorities have placed the governor of Fujian province  who is also the former chairman of China Petroleum and Chemical Corporation  under investigation on suspicion of "serious disciplinary violations"  China's anti-graft watchdog has said.,normal
SNP,China Petroleum & Chemical Corporation,20151008,China investigates former Sinopec chairman for 'discipline violations' ,SHANGHAI  Oct 8 Chinese authorities have placed the governor of Fujian province  who is also the former chairman of China Petroleum and Chemical Corporation  under investigation on suspicion of "serious disciplinary violations"  China's anti-graft watchdog has said.,normal
C,Citigroup Inc,20151008,Los Angeles drops discrimination lawsuit against Citigroup ,NEW YORK Los Angeles has dropped a lawsuit accusing Citigroup  of discriminatory mortgage lending  marking the second time a major bank has escaped claims that it steered the city's minorities into high-cost loans and led to foreclosures and neighborhood blight.,topStory
C,Citigroup Inc,20151008,Los Angeles drops discrimination lawsuit against Citigroup ,NEW YORK Los Angeles has dropped a lawsuit accusing Citigroup of discriminatory mortgage lending  marking the second time a major bank has escaped claims that it steered the city's minorities into high-cost loans and led to foreclosures and neighborhood blight.,normal
C,Citigroup Inc,20151008,Los Angeles drops discrimination lawsuit against Citigroup ,NEW YORK  Oct 8 Los Angeles has dropped a lawsuit accusing Citigroup of discriminatory mortgage lending  marking the second time a major bank has escaped claims that it steered the city's minorities into high-cost loans and led to foreclosures and neighborhood blight.,normal
DB,Deutsche Bank AG,20151008,Ex-Deutsche Bank trader pleads guilty in U.S. to Libor scheme ,NEW YORK A former senior trader at Deutsche Bank AG pleaded  guilty on Thursday to engaging in a scheme to manipulate Libor  the benchmark interest rate at the center of global investigations involving various banks  the U.S. Justice Department said.,topStory
DB,Deutsche Bank AG,20151008,Ex-Deutsche Bank trader pleads guilty in U.S. to Libor manipulation scheme ,NEW YORK A former senior trader at Deutsche Bank AG pleaded guilty to engaging in a scheme to manipulate Libor  the benchmark interest rate at the center of global investigations involving various banks  the U.S. Justice Department said Thursday.,normal
DB,Deutsche Bank AG,20151008,MOVES-Deutsche's wealth management unit expands US team ,Oct 8 Deutsche Bank AG's asset and wealth management unit said Michael Keough and David Hanlon joined its institutional global client group in the Americas.,normal
DB,Deutsche Bank AG,20151008,Deutsche sails close to wind with slender coupon cover ,LONDON  Oct 8 (IFR) - Hybrid capital investors are keeping a hawkish watch on Deutsche Bank after a massive writedown and potential missed dividend payment for 2015 raised the spectre of cancelled coupons.,normal
DB,Deutsche Bank AG,20151008,UPDATE 6-New Deutsche Bank boss flags shake-up plan  reveals 6 bln euro loss ,* Litigation provisions of 1.2 billion euros in third quarter   (Adds links to graphics  video clips  updates share price),normal
DB,Deutsche Bank AG,20151008,BRIEF-S&P says Deutsche Bank ratings unaffected by write-down ,* Deutsche Bank ratings unaffected by goodwill write-down and further litigation provisions,normal
DB,Deutsche Bank AG,20151008,European shares little changed; Deutsche Bank  autos up ,LONDON/MILAN  Oct 8 European shares were little changed on Thursday after days of gains  with profit taking across several sectors offset by stronger auto stocks  while Deutsche Bank was volatile after rigorously cleaning up its balance sheet.,normal
DB,Deutsche Bank AG,20151008,BRIEF-Deutsche Bank to become participating bank of China's CIPS ,* Says becomes a direct participating bank of China's newly launched CIPS  Further company coverage:,normal
DB,Deutsche Bank AG,20151008,European shares steady  Deutsche Bank underperforms ,LONDON  Oct 8 European shares were steady on Thursday  although Deutsche Bank fell and underperformed the broader market after it warned of a record pre-tax loss in the third quarter.,normal
DB,Deutsche Bank AG,20151008,European Factors to Watch-Equity futures flat  Dt Bank shares under pressure ,(Adds futures prices  company news items)     LONDON  Oct 8 European equity futures were flat on Thursday  pointing to a steady open on the region's stock markets after a four-day winning run although Deutsche Bank shares were seen falling sharply after it warned of a loss.     Futures for the euro zone's blue-chip Euro STOXX 50 were up 0.1 percent. Futures on Britain's FTSE 100 rose 0.1 percent while futures on Germany's DAX and France's CAC were flat.      Chinese stocks surged ,normal
DPZ,Domino&#39;s Pizza Inc,20151008,Domino's revenue misses estimates for second quarter in a row ,Domino's Pizza Inc's revenue fell below analysts average estimate for the second quarter in a row and the company said the strong dollar would eat into full-year results more than it had forecast.,topStory
DPZ,Domino&#39;s Pizza Inc,20151008,UPDATE 1-Domino's revenue misses estimates for second straight quarter ,Oct 8 Domino's Pizza Inc on Thursday reported quarterly revenue below analysts' estimates for the second straight quarter as the company struggles with a strong dollar.,normal
DPZ,Domino&#39;s Pizza Inc,20151008,BRIEF-Domino's Pizza reports Q3 EPS of $0.67 ,* Q3 total revenue $484.7 million versus $446.6 million; Q3 earnings per share $0.67,normal
DPZ,Domino&#39;s Pizza Inc,20151008,Domino's Pizza quarterly profit rises  strong dollar weighs ,Oct 8 Domino's Pizza Inc on Thursday reported higher third-quarter net income amid ongoing pressure from strong foreign currency exchange rates.,normal
ECA,Encana Corporation,20151008,UPDATE 1-Encana to sell Denver Julesburg basin assets for $900 mln ,Oct 8 Encana Corp  said it would sell its Denver Julesburg basin assets in Colorado for $900 million  the latest divestitures by the Canadian oil and gas producer as it focuses on its high-value gas liquids and oil properties.,topStory
ECA,Encana Corporation,20151008,Encana to sell its Denver Julesberg basin assets for $900 mln ,Oct 8 Canadian oil and gas producer Encana Corp   said it would sell its Denver Julesberg basin assets in Colorado to a joint venture owned by Canada Pension Plan Investment Board and Broe Group for $900 million.,normal
XOM,Exxon Mobil Corporation,20151008,Exxon Baton Rouge hydrotreater taken out of production: sources ,A 45 000 barrel-per-day (bpd) diesel hydrotreater was taken out of production early on Thursday at Exxon Mobil Corp's 502 500-bpd Baton Rouge  Louisiana  refinery  said sources familiar with plant operations.,topStory
XOM,Exxon Mobil Corporation,20151008,Oil spills into North Sea at Statfjord field: Statoil ,OSLO Oil spilled into the North Sea during the loading of a tanker at Norway's Statfjord field on Thursday  operator Statoil said.,normal
XOM,Exxon Mobil Corporation,20151008,UPDATE 2-Oil spills into North Sea at Statfjord field - Statoil ,* Statoil says has "flexibility" to export oil   (Adds volume of oil spill  quotes  detail),normal
FCAU,Fiat Chrysler Automobiles NV,20151008,Proposed Fiat Chrysler UAW pact gradually ends two-tier pay: sources ,DETROIT/KOKOMO  Ind. The latest proposed four-year contract for Fiat Chrysler Automobiles NV's U.S. unionized workers would over time eliminate the much-maligned two-tier pay structure  allowing new hires to reach top pay within eight years  sources said.,topStory
FCAU,Fiat Chrysler Automobiles NV,20151008,WRAPUP 1-Proposed Fiat Chrysler UAW pact gradually ends two-tier pay - sources ,DETROIT/KOKOMO  Ind.  Oct 8 The latest proposed four-year contract for Fiat Chrysler Automobiles NV's U.S. unionized workers would over time eliminate the much-maligned two-tier pay structure  allowing new hires to reach top pay within eight years  sources said.,normal
FCAU,Fiat Chrysler Automobiles NV,20151008,Proposed Fiat Chrysler UAW pact gradually ends two-tier pay ,*     Company $5.3 bln investment same as in rejected proposal,normal
FCAU,Fiat Chrysler Automobiles NV,20151008,Fiat Chrysler  U.S. union UAW reach tentative agreement ,DETROIT/KOKOMO  Ind. Fiat Chrysler Automobiles NV  and the United Auto Workers said on Thursday they had reached a new tentative four-year labor agreement that averted a threatened strike of the automaker’s U.S. operations.,normal
FCAU,Fiat Chrysler Automobiles NV,20151008,UPDATE 4-Fiat Chrysler  U.S. union UAW reach tentative agreement  averting strike ,* UAW Chrysler Council will meet on Friday to vote on agreement,normal
FCAU,Fiat Chrysler Automobiles NV,20151008,UAW reaches tentative deal with Fiat Chrysler on new contract ,The United Auto Workers U.S. union has reached a tentative deal with Fiat Chrysler Automobiles NV on a new four-year contract  the Union said early Thursday.,normal
FCAU,Fiat Chrysler Automobiles NV,20151008,UAW reaches tentative deal with Fiat Chrysler on new contract ,Oct 8 The United Auto Workers U.S. union has reached a tentative deal with Fiat Chrysler Automobiles NV   on a new four-year contract  the Union said early Thursday.,normal
F,Ford Motor Company,20151008,UPDATE 4-Fiat Chrysler  U.S. union UAW reach tentative agreement  averting strike ,* UAW Chrysler Council will meet on Friday to vote on agreement,normal
FCX,Freeport-McMoran Inc,20151008,Indonesia assures Freeport that Grasberg mine contract to be extended ,TORONTO U.S. energy and mining company Freeport-McMoRan Inc said on Thursday it has been assured by the government of Indonesia that the mining contract for its giant Grasberg copper and gold mine will be extended beyond 2021.,topStory
FCX,Freeport-McMoran Inc,20151008,UPDATE 2-Indonesia assures Freeport that Grasberg mine contract to be extended ,TORONTO  Oct 8 U.S. energy and mining company Freeport-McMoRan Inc said on Thursday it has been assured by the government of Indonesia that the mining contract for its giant Grasberg copper and gold mine will be extended beyond 2021.,normal
FCX,Freeport-McMoran Inc,20151008,Freeport says Indonesia promises approval to operate beyond 2021 ,Oct 8 Energy and mining company Freeport-McMoRan Inc said the government of Indonesia has assured the company's local unit that it will approve the extension of operations beyond 2021.,normal
FCX,Freeport-McMoran Inc,20151008,Freeport Indonesia must propose divestment share price to govt by Oct 14 - energy official ,JAKARTA  Oct 8 Freeport Indonesia must propose its divestment share price to the government by Oct. 14  an energy and mining ministry official said on Thursday.,normal
IT,Gartner Inc,20151008,PC shipments fall 7.7 percent in third quarter: Gartner ,Research firm Gartner Inc said worldwide shipments of personal computers fell 7.7 percent to 73.7 million units in the third quarter as a stronger dollar made them costlier.,topStory
IT,Gartner Inc,20151008,UPDATE 1-PC shipments fall 7.7 pct in third quarter - Gartner ,Oct 8 Research firm Gartner Inc said worldwide shipments of personal computers fell 7.7 percent to 73.7 million units in the third quarter as a stronger dollar made them costlier.,normal
GEH,General Electric Capital Corporation,20151008,Poland's PZU confirms talks with GE on BPH Bank sale on hold ,WARSAW  Oct 8 Polish insurer PZU said on Thursday that its talks with U.S. General Electric (GE)  over the sale of GE's Polish unit Bank BPH were suspended  confirming an earlier Reuters report.,topStory
GEH,General Electric Capital Corporation,20151008,GE  Polish PZU suspend talks over Bank BPH sale -sources ,WARSAW  Oct 8 Polish insurer PZU and U.S. General Electric (GE) suspended talks over the sale of GE's Polish unit Bank BPH  four sources told Reuters on Thursday.,normal
