AMZN,Amazoncom Inc,20151125,UPDATE 3-Magnitude 7.6 quakes hit Peru-Brazil border  no damage reported ,LIMA  Nov 24 Two major magnitude 7.6 earthquakes struck the Peruvian-Brazilian border in the Amazon basin within minutes of each other on Tuesday  the U.S. Geological Survey said  but there were no immediate reports of damage.,topStory
ESRX,Express Scripts Holding Company,20151125,U.S. court rejects Linden Care's request for temporary restraining order ,A U.S. District Court on Wednesday denied specialty pharmacy Linden Care LLC's request for a temporary restraining order (TRO) against Express Scripts Holding Co for dropping it from its network earlier this month.,normal
ESRX,Express Scripts Holding Company,20151125,U.S. court rejects Linden Care's request for temporary restraining order ,Nov 25 A U.S. District Court on Wednesday denied specialty pharmacy Linden Care LLC's request for a temporary restraining order (TRO) against Express Scripts Holding Co  for dropping it from its network earlier this month.,normal
FB,Facebook Inc,20151125,BRIEF-Lagardere Active to test Facebook's Instant Articles ,* Facebook chooses Lagardere Active as one of the European publishers who will test its new service Instant Articles,topStory
NXPI,NXP Semiconductors NV,20151125,NXP wins U.S. antitrust approval to buy Freescale Semiconductor ,WASHINGTON NXP Semiconductors N.V. has won U.S. antitrust approval to buy Freescale Semiconductor Ltd  a deal worth $11.8 billion  on condition that it sell its radio frequency power business  the Federal Trade Commission said on Wednesday.,topStory
NXPI,NXP Semiconductors NV,20151125,NXP wins U.S. antitrust approval to buy Freescale Semiconductor ,WASHINGTON  Nov 25 NXP Semiconductors N.V.  has won U.S. antitrust approval to buy Freescale Semiconductor Ltd  a deal worth $11.8 billion  on condition that it sell its radio frequency power business  the Federal Trade Commission said on Wednesday.,normal
TIG,TiGenix,20151125,BRIEF-Tigenix shares to be restored on Nov. 25 at 12:15 AM - FSMA ,* Announces restoration of the shares / warrants / derivatives of Tigenix NV,topStory
TIG,TiGenix,20151125,BRIEF-Tigenix successfully raises 8.7 mln euros in private placement ,* Successfully raises 8.7 million euros ($9.2 million) in private placement,normal
TIG,TiGenix,20151125,BRIEF-Tigenix shares suspended as of 9.00 AM - FSMA ,* Effective date & time of suspension: Nov. 25  2015 at 09:00 AM  Further company coverage:    (Gdynia Newsroom),normal
TIG,TiGenix,20151125,BRIEF-Tigenix to raise capital via private placement of new shares ,* Tigenix to raise capital via a private placement of new shares,normal
WMGI,Wright Medical Group NV,20151125,Jury awards $11 mln in bellwether trial over Wright hip systems ,In the first case of a federal multidistrict litigation to go to trial  a Georgia jury on Tuesday awarded $11 million to a woman who sued Wright Medical Group over its Conserve hip replacement system  the woman's lawyers announced.,topStory
BABA,Alibaba Group Holding Limited,20151125,RPT-Hong Kong's SCMP Group confirms approached about possible sale of media assets ,SINGAPORE  Nov 25 SCMP Group Ltd  publisher of Hong Kong's South China Morning Post  said it has been approached by a third party that is potentially interested in acquiring its media assets  days after reports that Alibaba's Jack Ma was in talks to buy a stake.,topStory
ALV,Autoliv Inc,20151125,BRIEF-Sandvik CFO Backman leaves for Autoliv ,* Says Mats Backman  executive vice president and Chief Financial Officer  CFO  for Sandvik has decided to leave Sandvik to assume equivalent position as CFO for automotive safety supplier Autoliv,topStory
BLL,Ball Corporation,20151125,Ball offers EU to sell 11 plants for Rexam deal approval: sources ,BRUSSELS/NEW YORK U.S. drinks can maker Ball Corp is ready to sell 11 European plants to get EU antitrust regulators to approve its 4.43 billion pound ($6.69 billion) acquisition of Britain's Rexam Plc  people familiar with the matter said.,topStory
BCS,Barclays PLC,20151125,Barclays settles with U.S. investors over Libor manipulation ,Barclays Plc has agreed to pay $14 million to settle litigation by holders of its American depositary shares that it conspired with rivals to rig the Libor benchmark interest rate  causing its share price to be inflated.,topStory
BCS,Barclays PLC,20151125,Barclays settles with U.S. investors over Libor manipulation ,NEW YORK Barclays Plc  has agreed to pay $14 million to settle litigation by holders of its American depositary shares that it conspired with rivals to rig the Libor benchmark interest rate  causing its share price to be inflated.,normal
BCS,Barclays PLC,20151125,Barclays settles with U.S. investors over Libor manipulation ,NEW YORK  Nov 25 Barclays Plc has agreed to pay $14 million to settle litigation by holders of its American depositary shares that it conspired with rivals to rig the Libor benchmark interest rate  causing its share price to be inflated.,normal
BA,Boeing Company (The),20151125,Boeing says to roll out first 737 MAX in early December ,Boeing Co  said it plans to roll out its first 737 MAX jetliner on Dec. 8 from its Renton factory in Washington.,topStory
BA,Boeing Company (The),20151125,Boeing says to roll out first 737 MAX in early December ,Nov 25 Boeing Co said it plans to roll out its first 737 MAX jetliner on Dec. 8 from its Renton factory in Washington.,normal
BA,Boeing Company (The),20151125,U.S. working to keep up with surging weapons demand: Pentagon ,WASHINGTON The U.S. government is working hard to ensure quicker processing of U.S. foreign arms sales  which surged 36 percent to $46.6 billion in fiscal 2015 and look set to remain strong in coming years  a top Pentagon official said.,normal
BP,BP plc,20151125,Rosneft profits fall  customer pre-payments ease debt burden ,MOSCOW  Nov 25 Russia's biggest oil producer Rosneft said on Wednesday its third-quarter net profit fell 16 percent from the previous three months mainly due to a drop in oil prices.,normal
BAM,Brookfield Asset Management Inc,20151125,Australian regulator dismisses Brookfield's promises in $6.5 bln rail and port bid ,SYDNEY  Nov 26 Australia's competition regulator said it rejected undertakings by Canadian infrastructure giant Brookfield Asset Management Inc meant to address antitrust concerns over its A$9 billion ($6.53 billion) bid for port and rail giant Asciano Ltd.,topStory
BPL,Buckeye Partners LP,20151125,Analysis: Warm start to U.S. winter puts oil price rebound on ice ,NEW YORK From a Buckeye Partners oil depot in an industrial corner of Brooklyn  New York  clerk Peter Fernandez had bad news for bullish oil traders: so far this year  his heating oil pumps have been running at roughly half-speed.,topStory
C,Citigroup Inc,20151125,Pimco  others sue Citigroup over billions in mortgage debt losses ,Pacific Investment Management Co and other investors have sued Citigroup Inc over the bank's alleged failure to properly monitor toxic securities backed by more than $13.8 billion of mortgage loans  resulting in $2.3 billion of losses.,topStory
C,Citigroup Inc,20151125,Pimco  others sue Citigroup over billions in mortgage debt losses ,Pacific Investment Management Co and other investors have sued Citigroup Inc over the bank's alleged failure to properly monitor toxic securities backed by more than $13.8 billion of mortgage loans  resulting in $2.3 billion of losses.,normal
C,Citigroup Inc,20151125,Pimco  others sue Citigroup over billions in mortgage debt losses ,Nov 25 Pacific Investment Management Co and other investors have sued Citigroup Inc over the bank's alleged failure to properly monitor toxic securities backed by more than $13.8 billion of mortgage loans  resulting in $2.3 billion of losses.,normal
CIG,Comp En De Mn Cemig ADS,20151125,UPDATE 2-Brazil sells rights to run 29 hydropower plants for $4.51 bln ,* China's Three Gorges to pay $3.66 bln to run two large plants,topStory
DE,Deere & Company,20151125,Deere sees weak equipment sales in 2016 as farm economy remains soft ,Deere & Co  on Wednesday reported a drop in quarterly earnings that was not as steep as Wall Street expected and gave a less dire outlook than analysts had feared  saying it was well-positioned to weather a worsening slump in demand for its farm equipment. | Video ,topStory
DE,Deere & Company,20151125,UPDATE 3-Deere sees weak equipment sales in 2016 as farm economy remains soft ,Nov 25 Deere & Co on Wednesday reported a drop in quarterly earnings that was not as steep as Wall Street expected and gave a less dire outlook than analysts had feared  saying it was well-positioned to weather a worsening slump in demand for its farm equipment.,normal
DE,Deere & Company,20151125,CORRECTED-UPDATE 1-Deere profit falls on slowed farm equipment sales ,Nov 25 Deere & Co posted a sharp drop in quarterly earnings on Wednesday and forecast a further slump in agriculture and construction equipment sales in its new fiscal year.,normal
DE,Deere & Company,20151125,Deere profit falls on slowed farm equipment sales ,Nov 25 Deere & Co  an agriculture and construction equipment maker  posted higher-than-expected quarterly earnings on Wednesday even as weak global demand for farm equipment and soft commodity prices pressured sales.,normal
DB,Deutsche Bank AG,20151125,D.Bank to cut most German jobs in private client ops-Handelsblatt ,FRANKFURT  Nov 25 Deutsche Bank's  private clients business is to shoulder the lion's share of planned job cuts in Germany  daily Handelsblatt reported on Wednesday  citing a memo to the lender's works council.,topStory
DB,Deutsche Bank AG,20151125,UPDATE 1-Deutsche S.Korean units to pay $24 million damages for 2010 market plunge ,SEOUL  Nov 25 A South Korean court has finalised a mediation settlement for two Deutsche Bank AG South Korean units to pay about 28 billion won ($24.5 million) in damages to five local financial firms in a market manipulation case  a judge said on Wednesday.,normal
DB,Deutsche Bank AG,20151125,Deutsche S.Korean units to pay $24 million damages for 2010 market plunge ,SEOUL  Nov 25 A South Korean court finalised a mediation settlement for two Deutsche Bank AG South Korean units to pay about 28 billion won ($24.5 million) in damages to five local financial firms  a judge said on Wednesday.,normal
DEO,Diageo plc,20151125,South Africa's competition watchdog approves Diageo  Brandhouse merger ,JOHANNESBURG South Africa's Competition Tribunal on Wednesday approved a merger between London-based spirit maker Diageo  and local firm Brandhouse Beverages.,topStory
DEO,Diageo plc,20151125,South Africa's competition watchdog approves Diageo  Brandhouse merger ,JOHANNESBURG  Nov 25 South Africa's Competition Tribunal on Wednesday approved a merger between London-based spirit maker Diageo and local firm Brandhouse Beverages.,normal
XOM,Exxon Mobil Corporation,20151125,California lifts order prohibiting use of FCCU and ESP at Exxon Torrance refinery ,The California Division of Occupational Safety and Health (CAL/OSHA) said on Tuesday that it lifted an order prohibiting the use of a fluid catalytic cracking unit and electrostatic precipitator at Exxon's refinery in Torrance  California.,topStory
XOM,Exxon Mobil Corporation,20151125,Carbon limits to put $2 trillion of coal  oil  gas projects at risk: report ,MELBOURNE Up to $2 trillion in petroleum and coal projects will not be needed if the world takes action to limit warming of the planet to 2 degrees Celsius  according to a report released this week ahead of a global climate summit in Paris.,normal
BEN,Franklin Resources Inc,20151125,Franklin Resources loses bid to skip vote on climate change ,BOSTON  Nov 25 In a setback for Franklin Resources Inc that could have implications for other asset managers  a U.S. regulator declined to let the California company skip a shareholder vote over its record on climate change  according to materials provided by activists on Wednesday.,topStory
GM,General Motors Company,20151125,GM  law firm can keep ignition switch documents secret -U.S. judge ,NEW YORK General Motors Co and its law firm need not turn over privileged documents to drivers hoping to show that the automaker intended to commit a crime or fraud by concealing defective ignition switches in their vehicles  a Manhattan federal judge ruled on Wednesday.,topStory
GM,General Motors Company,20151125,GM  law firm can keep ignition switch documents secret: U.S. judge ,NEW YORK General Motors Co  and its law firm need not turn over privileged documents to drivers hoping to show that the automaker intended to commit a crime or fraud by concealing defective ignition switches in their vehicles  a Manhattan federal judge ruled on Wednesday.,normal
GM,General Motors Company,20151125,GM  law firm can keep ignition switch documents secret -U.S. judge ,NEW YORK  Nov 25 General Motors Co and its law firm need not turn over privileged documents to drivers hoping to show that the automaker intended to commit a crime or fraud by concealing defective ignition switches in their vehicles  a Manhattan federal judge ruled on Wednesday.,normal
GSK,GlaxoSmithKline PLC,20151125,BRIEF-GlaxoSmithKline announces start of late-stage study of arteritis drug ,* Announces start of phase III study of sirukumab in giant cell arteritis  Further company coverage:,topStory
GOL,Gol Linhas Aereas Inteligentes SA,20151125,BRIEF-Brazil's GOL October capacity fell 5.1 pct  demand 9 pct ,* Brazil's GOL Linhas Aéreas Inteligentes SA said on Wednesday that domestic seat capacity fell 5.1 percent in October while demand fell 9 percent.,topStory
GS,Goldman Sachs Group Inc (The),20151125,Exclusive: Three Goldman bankers leave for Uber as tech world raids Wall Street talent ,NEW YORK/SAN FRANCISCO Three mid-level bankers in Goldman Sachs Group Inc's  technology investment banking group in San Francisco have left to take positions at ride service company Uber Technologies Inc in recent months  people familiar with the matter told Reuters. | Video ,topStory
GS,Goldman Sachs Group Inc (The),20151125,REUTERS BUSINESS NEWS SCHEDULE AT 1930 GMT/2:30 PM ET ,Wall Street holds onto meager gains in subdued trading  underpinned by healthcare and consumer stocks after a flood of data suggests the U.S. economy is growing modestly. (USA-STOCKS/ (UPDATE 4)  updated throughout the day  450 words),normal
GS,Goldman Sachs Group Inc (The),20151125,REUTERS BUSINESS NEWS SCHEDULE AT 1600 GMT/11 AM ET ,U.S. stocks are slightly higher  led by healthcare and consumer stocks  after a flood of data suggesting the U.S. economy is growing modestly that could sway Federal Reserve policymakers on an interest rate increase. (USA-STOCKS/ (UPDATE 3)  updated throughout the day  460 words),normal
GS,Goldman Sachs Group Inc (The),20151125,Reuters Business News Schedule at 1330 GMT/0430 AM ET ,Euro  bond yields sink on ECB easing report LONDON - The euro and euro zone bond yields sink after Reuters reports that central bank officials are weighing up how to ease monetary policy further in the coming weeks  including staggering charges on banks hoarding cash or buying more debt. (GLOBAL-MARKETS/ (WRAPUP 4)   moved  by Jamie McGeever  700 words),normal
HLF,Herbalife LTD,20151125,Herbalife  CEO prevail in 'pyramid scheme' lawsuit ,A federal judge dismissed a lawsuit accusing Herbalife Ltd and Chief Executive Officer Michael Johnson of defrauding shareholders by misrepresenting that the weight-loss and nutritional products company's complied with laws designed to prevent pyramid schemes.,topStory
HLF,Herbalife LTD,20151125,Herbalife  CEO prevail in 'pyramid scheme' lawsuit ,A federal judge dismissed a lawsuit accusing Herbalife Ltd  and Chief Executive Officer Michael Johnson of defrauding shareholders by misrepresenting that the weight-loss and nutritional products company's complied with laws designed to prevent pyramid schemes.,normal
HLF,Herbalife LTD,20151125,UPDATE 1-Herbalife  CEO prevail in 'pyramid scheme' lawsuit ,* William Ackman made $1 billion bet against Herbalife   (Adds details from decision  allegations  other litigation  William Ackman bet  Herbalife comment  case citation  byline),normal
HLF,Herbalife LTD,20151125,U.S. judge dismisses shareholder lawsuit against Herbalife  CEO ,Nov 25 A federal judge has dismissed a shareholder lawsuit against Herbalife Ltd and Chief Executive Officer Michael Johnson  claiming they misrepresented the weight-loss and nutritional products company's compliance with laws designed to prevent pyramid schemes.,normal
HPQ,HP Inc,20151125,HP Inc plunges after printer business underwhelms ,Shares of HP Inc  which houses former Hewlett-Packard Co's legacy hardware business  plunged 16.3 percent on Wednesday after the company's lackluster results fueled concerns about its ability to weather a slowdown in the printer and PC markets.,topStory
HPQ,HP Inc,20151125,HP Inc plunges after printer business underwhelms ,Nov 25 Shares of HP Inc  which houses former Hewlett-Packard Co's legacy hardware business  plunged 16.3 percent on Wednesday after the company's lackluster results fueled concerns about its ability to weather a slowdown in the printer and PC markets.,normal
HPQ,HP Inc,20151125,Wall Street indexes flat in pre-holiday lull; health  consumer up ,The major U.S. indexes were virtually unchanged at the close of a quiet trading day on Wednesday with gains in healthcare and consumer stocks after data showed U.S. modest economic growth.,normal
HPQ,HP Inc,20151125,US STOCKS-Wall St indexes flat in pre-holiday lull; health  consumer up ,* Dow up 0.01 pct  S&P down 0.01 pct  Nasdaq 0.26 pct   (Updates to market close  adds commentary),normal
HPQ,HP Inc,20151125,US STOCKS-Wall St up slightly  led by health  consumer sectors ,* Indexes up: Dow 0.11 pct  S&P 0.06 pct  Nasdaq 0.32 pct   (Updates to late afternoon  adds commentary  changes byline),normal
HPQ,HP Inc,20151125,US STOCKS-Wall St clings to meager gains ahead of Thanksgiving ,* Indexes up: Dow 0.17 pct  S&P 0.13 pct  Nasdaq 0.37 pct   (Adds details  changes comment  updates prices),normal
HPQ,HP Inc,20151125,US STOCKS-Wall St inches higher as health  consumer stocks gain ,* Indexes up: Dow 0.12 pct  S&P 0.05 pct  Nasdaq 0.19 pct   (Adds details  updates prices),normal
HPQ,HP Inc,20151125,US STOCKS-Indexes little changed  data indicates moderate growth ,* Indexes up: Dow 0.05 pct  S&P 0.02 pct  Nasdaq 0.15 pct   (Updates to open),normal
JPM,J P Morgan Chase & Co,20151125,Pimco  others sue Citigroup over billions in mortgage debt losses ,Pacific Investment Management Co and other investors have sued Citigroup Inc over the bank's alleged failure to properly monitor toxic securities backed by more than $13.8 billion of mortgage loans  resulting in $2.3 billion of losses.,normal
JPM,J P Morgan Chase & Co,20151125,Pimco  others sue Citigroup over billions in mortgage debt losses ,Nov 25 Pacific Investment Management Co and other investors have sued Citigroup Inc over the bank's alleged failure to properly monitor toxic securities backed by more than $13.8 billion of mortgage loans  resulting in $2.3 billion of losses.,normal
JPM,J P Morgan Chase & Co,20151125,Twenty firms interested in reforming London gold market -LBMA ,LONDON  Nov 25 The London Bullion Market Association (LBMA) said on Wednesday that 20 firms  including exchanges  brokers and data vendors have expressed an interest in providing clearing services or reporting technology to make the gold market more liquid.,normal
MON,Monsanto Company,20151125,UPDATE 1-Syngenta looking at takeovers  JVs  asset sales ,* Chairman says "leave no stone unturned"   (Adds CEO comment on Dupont  more chairman remarks on deals),topStory
NEM,Newmont Mining Corporation,20151125,Indonesia's Medco Energi owner eyeing 76 percent stake in Newmont unit-minister ,JAKARTA  Nov 25 The owner of Indonesia's Medco Energi Internasional  Arifin Paniorogo  is seeking government approval to acquire a 76 percent stake in the Indonesian unit of Newmont Mining Corp  resources minister Rizal Ramli was quoted on Wednesday as saying.,topStory
NVO,Novo Nordisk A/S,20151125,BRIEF-Ablynx announces nanobody drug discovery collaboration with Novo Nordisk ,* Announces nanobody drug discovery collaboration with Novo Nordisk A/S,topStory
OPY,Oppenheimer Holdings Inc,20151125,MOVES- UBS  Standard Chartered  Oppenheimer  Towers Watson ,Nov 25 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20151125,Brazil Senate approves Supreme Court decision to arrest senator ,RIO DE JANEIRO Brazil's Senate on Wednesday approved a Supreme Court decision to arrest the leader of the ruling coalition in the upper house  Senator Delcídio do Amaral  for allegedly obstructing a corruption probe into state-run oil company Petrobras.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20151125,Brazil Senate approves Supreme Court decision to arrest senator ,RIO DE JANEIRO  Nov 25 Brazil's Senate on Wednesday approved a Supreme Court decision to arrest the leader of the ruling coalition in the upper house  Senator Delcídio do Amaral  for allegedly obstructing a corruption probe into state-run oil company Petrobras.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151125,CORRECTED-LATAM WRAP-BTG bonds tailspin on CEO's arrest ,NEW YORK  Nov 25 (IFR) - Bonds issued by BTG Pactual were leading the Brazilian bond complex lower on Wednesday following news of the arrest of the bank's CEO and a ruling party senator.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151125,Brazilian police arrest top senator  BTG Pactual CEO: sources ,SAO PAULO Brazilian police arrested the government's leader in the Senate and the chief executive of investment bank Grupo BTG Pactual SA on Wednesday on suspicion of obstructing an investigation into corruption at the state-run oil company Petrobras  police and other sources said.,normal
PFE,Pfizer Inc,20151125,Pfizer's Lyrica shows no relief from post-traumatic nerve pain ,Pfizer Inc said its blockbuster pain drug  Lyrica  had failed to show benefit in patients suffering from a type of post-traumatic nerve pain  in a late-stage study.,topStory
PFE,Pfizer Inc,20151125,Pfizer's Lyrica shows no relief from post-traumatic nerve pain ,Nov 25 Pfizer Inc said its blockbuster pain drug  Lyrica  had failed to show benefit in patients suffering from a type of post-traumatic nerve pain  in a late-stage study.,normal
RIO,Rio Tinto Plc,20151125,Rio Tinto set to approve $1 billion bauxite expansion: media ,SYDNEY Rio Tinto is poised to approve its long-stalled $1 billion South of Embley bauxite expansion project as early as this week  the Australian Financial Review said on Thursday.,topStory
RBS,Royal Bank Scotland plc (The),20151125,Britain to sell more RBS shares  Northern Rock loans ,LONDON  Nov 25 Britain could complete the sale of its holding in Royal Bank of Scotland by 2020/21 under government plans to sell almost 31 billion pounds ($46.8 billion) of shares in the bank in the next six years.,topStory
SNE,Sony Corp Ord,20151125,Sony's PlayStation 4 sales top 30 million consoles ,TOKYO Sony Corp on Wednesday said sales of its PlayStation 4 video game console exceeded 30.2 million units as of Nov. 22  as global price cuts ahead of the year-end holiday season bolstered demand.,topStory
SNE,Sony Corp Ord,20151125,Sony's PlayStation 4 sales top 30 million consoles ,TOKYO  Nov 25 Sony Corp on Wednesday said sales of its PlayStation 4 video game console exceeded 30.2 million units as of Nov. 22  as global price cuts ahead of the year-end holiday season bolstered demand.,normal
SQ,Square Inc,20151125,Billionaire Blavatnik takes passive stake in Dorsey's Square ,Billionaire investor Leonard Blavatnik disclosed a 11.4 percent passive stake in mobile payments company Square Inc  which went public earlier this month.,topStory
SQ,Square Inc,20151125,UPDATE 1-Billionaire Blavatnik takes passive stake in Dorsey's Square ,Nov 25 Billionaire investor Leonard Blavatnik disclosed a 11.4 percent passive stake in mobile payments company Square Inc  which went public earlier this month.,normal
SU,Suncor Energy  Inc,20151125,Canadian Oil Sands in early-stage talks with potential bidders ,TORONTO  Nov 25 Canadian Oil Sands  which is trying to attract a white knight after a hostile bid from Suncor Energy  needs more time to review its options as more than two dozen parties have expressed an interest in the company  according to a regulatory filing.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151125,BRIEF-TSMC orders equipment from Hsieh-Kun  D-Tek  Disco Corp ,* Says orders machinery equipment worth T$2.09 billion  ($64.41 million),topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151125,Taiwan stocks fall along with regional bourses ,TAIPEI  Nov 25 Taiwan stocks fell on Wednesday in line with regional bourses amid investor concerns about the geopolitical risk surrounding Turkey's downing of a Russian fighter jet  with heavyweights trading lower.,normal
TGNA,TEGNA Inc,20151125,Tegna CEO looks to rejuvenate local TV ,Tegna Inc  the broadcast and digital company that split from Gannett Co Inc earlier this year  has assembled a group of employees to make local broadcast television  including news  more interesting to a younger audience.,topStory
TI,Telecom Italia SPA,20151125,UPDATE 1-Telecom Italia adds Vivendi board request to shareholder agenda ,MILAN  Nov 25 Telecom Italia said on Wednesday a request by top investor Vivendi that its board be enlarged would be added to the agenda of a shareholder meeting on Dec. 15.,topStory
TI,Telecom Italia SPA,20151125,Telecom Italia adds Vivendi request to shareholder meeting agenda ,MILAN  Nov 25 Telecom Italia said on Wednesday its board had added a request by shareholder Vivendi  to the agenda for a shareholder meeting due on December 15.,normal
TI,Telecom Italia SPA,20151125,Telecom Italia CEO backed by board and Vivendi chairman-board member ,MILAN The chief executive of Telecom Italia Marco Patuano has the full support of the board as well as that of the head of its main shareholder Vivendi  a Telecom Italia board member said on Wednesday.,normal
TI,Telecom Italia SPA,20151125,Telecom Italia CEO backed by board and Vivendi chairman-board member ,MILAN  Nov 25 The chief executive of Telecom Italia Marco Patuano has the full support of the board as well as that of the head of its main shareholder Vivendi   a Telecom Italia board member said on Wednesday.,normal
TI,Telecom Italia SPA,20151125,BRIEF-Telecom Italia board member denies frictions between CEO  chairman ,Nov 25 Telecom Italia's board member Tarak Ben Ammar:,normal
TM,Toyota Motor Corp Ltd Ord,20151125,Toyota to replace Takata airbag inflators previously deemed safe ,TOKYO Toyota Motor Corp  on Wednesday said it would replace Takata Corp  airbag inflators in 1.6 million cars in Japan that had previously been recalled after concluding that they may still be unsafe.,topStory
TM,Toyota Motor Corp Ltd Ord,20151125,UPDATE 1-Toyota to replace Takata airbag inflators previously deemed safe ,* Toyota to replace air bag inflators on cars recalled earlier,normal
TM,Toyota Motor Corp Ltd Ord,20151125,Toyota reissues recall for 1.6 mln cars in Japan over airbags ,TOKYO  Nov 25 Toyota Motor Corp on Wednesday said it was reissuing a recall for around 1.6 million cars in Japan to check for possible faulty airbag inflators.,normal
TKC,Turkcell Iletisim Hizmetleri AS,20151125,Deals of the day- Mergers and acquisitions ,Nov 25 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20151125,Turkey's Turkcell to make offer for TeliaSonera's Eurasian Fintur ,ANKARA  Nov 24 Turkey's largest telecoms operator Turkcell on Wednesday said it was making a non-binding indicative offer for Nordic firm TeliaSonera's  58.55 percent stake in its Eurasian unit Fintur.,normal
UAL,United Continental Holdings Inc,20151125,United Continental to offer 13 percent pay increase to pilots: Bloomberg ,United Continental Holdings Inc  is offering pilots a 13 percent pay increase in 2016 in a contract that would put them at or near the top of the U.S. airline industry's pay scale  Bloomberg reported  citing two people briefed on the plan.,topStory
UAL,United Continental Holdings Inc,20151125,UPDATE 1-United Continental to offer 13 pct pay increase to pilots - Bbg ,Nov 25 United Continental Holdings Inc  is offering pilots a 13 percent pay increase in 2016 in a contract that would put them at or near the top of the U.S. airline industry's pay scale  Bloomberg reported  citing two people briefed on the plan.,normal
UAL,United Continental Holdings Inc,20151125,United Continental to offer 13 pct pay increase to pilots - Bbg ,Nov 25 United Continental Holdings Inc  is offering pilots a 13 percent pay increase in 2016 in a contract that would put them at or near the top of the U.S. airline industry's pay scale  Bloomberg reported  citing two people briefed on the plan.,normal
DIS,Walt Disney Company (The),20151125,China fines five phony Disney hotels: Xinhua ,SHANGHAI China has fined five knock-off Disney hotels for infringing on the iconic U.S. entertainment company's trademarks  state-run Xinhua news agency said on Wednesday in the run-up to the opening of a Walt Disney Co theme park in Shanghai.,topStory
DIS,Walt Disney Company (The),20151125,China fines five phony Disney hotels - Xinhua ,SHANGHAI  Nov 25 China has fined five knock-off Disney hotels for infringing on the iconic U.S. entertainment company's trademarks  state-run Xinhua news agency said on Wednesday in the run-up to the opening of a Walt Disney Co  theme park in Shanghai.,normal
WU,Western Union Company (The),20151125,Australia's OzForex grants Western Union due diligence after $644 million approach ,SYDNEY Australian online money transfer company OzForex Group Ltd  said it will grant exclusive due diligence to larger U.S. rival Western Union Co  following its indicative takeover offer worth up to A$888 million ($644 million).,topStory
