AMZN,Amazoncom Inc,20140527,COLUMN-Why I'm ditching my Amazon account ,(The opinions expressed here are those of the author  a columnist for Reuters.),topStory
INTC,Intel Corporation,20140527,Intel to make mobile chip with China's Rockchip ,SAN FRANCISCO  May 27 Intel Corp said on Tuesday it reached an agreement with Chinese mobile chipmaker Rockchip to make chips for inexpensive tablets running Google Inc's Android platform.,normal
INTU,Intuit Inc,20140527,Intuit to buy Check Inc for $360 million ,JERUSALEM  Intuit Inc INTU.O  developer of tax-preparation software TurboTax  said it had entered into a definitive agreement to buy bill-payment service Check Inc for $360 million in cash and other considerations.,topStory
INTU,Intuit Inc,20140527,RPT-UPDATE 2-Intuit to buy Check Inc for $360 mln ,(Updates with Intuit confirmation; adds comments/background),normal
INTU,Intuit Inc,20140527,UPDATE 1-Market Chatter-Corporate finance press digest ,May 27 The following corporate finance-related stories were reported by media:,normal
INTU,Intuit Inc,20140527,Intuit to buy bill-payment service Check Inc for $360 mln - WSJ ,May 27 Intuit Inc  developer of tax-preparation software TurboTax  agreed to buy Check Inc  a bill-payment service  for $360 million in a deal that was signed on Friday  the Wall Street Journal reported  citing people familiar with the situation.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
FLAT,iPath US Treasury Flattener ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
FLAT,iPath US Treasury Flattener ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
FLAT,iPath US Treasury Flattener ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
FLAT,iPath US Treasury Flattener ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
FLAT,iPath US Treasury Flattener ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
FLAT,iPath US Treasury Flattener ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
FLAT,iPath US Treasury Flattener ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
STPP,iPath US Treasury Steepener ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
STPP,iPath US Treasury Steepener ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
STPP,iPath US Treasury Steepener ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
STPP,iPath US Treasury Steepener ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
STPP,iPath US Treasury Steepener ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
STPP,iPath US Treasury Steepener ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
STPP,iPath US Treasury Steepener ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
MRCY,Mercury Systems Inc,20140527,Exclusive: Mercury Systems pulls sale - sources ,Mercury Systems Inc  a supplier of digital signal and image processing systems to the aerospace and defense industry  has ended its exploration of a near-term sale  said three people familiar with the matter.,topStory
MGI,Moneygram International Inc,20140527,MoneyGram claims bank status in tax dispute with U.S. IRS ,WASHINGTON  May 27 MoneyGram International Inc  is fighting in U.S. Tax Court to prove it is a bank  a designation the Internal Revenue Service disputed when it blocked $900 million in tax deductions by the world's second-largest money transfer company.,topStory
MNST,Monster Beverage Corporation,20140527,Beastie Boys fight for rights to songs in trial vs. Monster ,NEW YORK The Beastie Boys hip-hop group turned to the courts on Tuesday to fight for their right to not let energy drink maker Monster Beverage Corp use their songs.,topStory
MNST,Monster Beverage Corporation,20140527,Beastie Boys fight for rights to songs in trial vs. Monster ,NEW YORK  May 27 The Beastie Boys hip-hop group turned to the courts on Tuesday to fight for their right to not let energy drink maker Monster Beverage Corp use their songs.,normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,Pilgrim's bid for Hillshire puts Pinnacle deal in peril ,Pilgrim's Pride Corp  on Tuesday offered to buy Hillshire Brands Co  in an all-cash deal valued at $6.4 billion  as the world's second-largest chicken processor seeks to expand its protein footprint with Hillshire's sausages and lunch meats. | Video ,topStory
PPC,Pilgrim&#39;s Pride Corporation,20140527,Bets in Hillshire ahead of Pilgrim's bid raise eyebrows ,NEW YORK Hillshire Brands Co  saw a spike in bullish options bets in the days prior to a Tuesday takeover offer from Pilgrim's Pride Corp   even as the company was in the midst of a big acquisition of its own that had hurt its share price.,normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,Bets in Hillshire ahead of Pilgrim's bid raise eyebrows ,NEW YORK  May 27 Hillshire Brands Co saw a spike in bullish options bets in the days prior to a Tuesday takeover offer from Pilgrim's Pride Corp  even as the company was in the midst of a big acquisition of its own that had hurt its share price.,normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,US STOCKS-S&P 500 ends at record on mergers  ECB; small caps rise ,* Dow up 0.4 pct; S&P 500 up 0.6 pct; Nasdaq up 1.2 pct   (Updates to close),normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,UPDATE 4-Pilgrim's bid for Hillshire puts Pinnacle deal in peril ,May 27 Pilgrim's Pride Corp on Tuesday offered to buy Hillshire Brands Co in an all-cash deal valued at $6.4 billion  as the world's second-largest chicken processor seeks to expand its protein footprint with Hillshire's sausages and lunch meats.,normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,US STOCKS-S&P 500 hits record on mergers  small-cap rebound ,* Aeropostale jumps after it secures $150 mln credit facility,normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,CORRECTED-UPDATE 1-Pilgrim's Pride offers to buy Hillshire in $6.4 bln deal ,(Corrects JBS's stake to 75 percent from 68 percent in paragraph 6),normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,US STOCKS-S&P 500 at fresh record  small caps continue to bounce ,* Cisco shares up on Deutsche Bank upgrade  price target hike,normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,US STOCKS-Wall St to rise on ECB hopes  merger activity ,* Cisco shares up on Deutsche Bank upgrade  price target hike,normal
PPC,Pilgrim&#39;s Pride Corporation,20140527,US STOCKS-Futures up on ECB hopes  merger activity ,NEW YORK  May 27 U.S. stock index futures rose on Tuesday  ahead of a data-heavy session  as expectations for rates cuts by the European Central Bank stoked bids for equities even as the benchmark S&P 500 index closed at a record on Friday.,normal
SHPG,Shire plc,20140527,UPDATE 2-BioCryst hereditary disorder drug succeeds in trial  shares jump ,* Drug  if approved  will be first oral preventive for hereditary angioedema,topStory
SYNA,Synaptics Incorporated,20140527,Japan's Renesas to sell display chip business to Synaptics: sources ,TOKYO Renesas Electronics Corp plans to sell its majority stake in a maker of iPhone display chips to Synaptics Inc  another smartphone chip supplier  according to sources familiar with the matter.,topStory
SYNA,Synaptics Incorporated,20140527,Japan's Renesas to sell display chip business to Synaptics -sources ,TOKYO  May 27 Renesas Electronics Corp  plans to sell its majority stake in a maker of iPhone display chips to Synaptics Inc  another smartphone chip supplier  according to sources familiar with the matter.,normal
