AGEN,Agenus Inc,20140724,UPDATE 2-GSK seeks approval for world's first malaria vaccine ,* Mosquito-borne malaria kills over 600 000 people a year,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DTUS,iPath US Treasury 2-year Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DTUL,iPath US Treasury 2-year Bull ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DFVS,iPath US Treasury 5-year Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DFVL,iPath US Treasury 5-year Bull ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
FLAT,iPath US Treasury Flattener ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
FLAT,iPath US Treasury Flattener ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
FLAT,iPath US Treasury Flattener ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
STPP,iPath US Treasury Steepener ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
STPP,iPath US Treasury Steepener ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
STPP,iPath US Treasury Steepener ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
KERX,Keryx Biopharmaceuticals Inc,20140724,Keryx drug improves phosphorus  iron in kidney patients: trial ,A pivotal trial of Keryx Biopharmaceuticals Inc's experimental drug Zerenex showed that it improved levels of serum phosphorus and iron in patients on kidney dialysis  according to results published on Thursday.,topStory
KERX,Keryx Biopharmaceuticals Inc,20140724,Keryx drug improves phosphorus  iron in kidney patients -trial ,July 24 A pivotal trial of Keryx Biopharmaceuticals Inc's experimental drug Zerenex showed that it improved levels of serum phosphorus and iron in patients on kidney dialysis  according to results published on Thursday.,normal
LSCC,Lattice Semiconductor Corporation,20140724,Lattice forecasts weak 3rd qtr  shares fall ,Chipmaker Lattice Semiconductor Corp forecast third-quarter revenue well below analysts' average expectation  sending shares down as much as 19.5 percent in extended trading.,topStory
LBTYA,Liberty Global plc,20140724,Liberty Global offers to sell pay TV channel for Ziggo deal: source ,BRUSSELS U.S. cable group Liberty Global has offered to sell its pay TV channel Film1 in an attempt to win EU antitrust approval for its proposed acquisition of Dutch rival Ziggo  a person familiar with the matter said on Thursday.,topStory
LBTYA,Liberty Global plc,20140724,UPDATE 1-Liberty Global offers to sell pay TV channel for Ziggo deal - source ,* European Commission to decide on deal by Oct. 17   (Adds European Commission  Liberty Global declined comment  details),normal
LBTYA,Liberty Global plc,20140724,Liberty Global offers to sell pay TV channel for Ziggo deal - source ,BRUSSELS  July 24 U.S. cable group Liberty Global has offered to sell its pay TV channel Film1 in a bid to win EU antitrust approval for its proposed acquisition of Dutch rival Ziggo  a person familiar with the matter said on Thursday.,normal
LBTYB,Liberty Global plc,20140724,Liberty Global offers to sell pay TV channel for Ziggo deal: source ,BRUSSELS U.S. cable group Liberty Global has offered to sell its pay TV channel Film1 in an attempt to win EU antitrust approval for its proposed acquisition of Dutch rival Ziggo  a person familiar with the matter said on Thursday.,topStory
LBTYB,Liberty Global plc,20140724,UPDATE 1-Liberty Global offers to sell pay TV channel for Ziggo deal - source ,* European Commission to decide on deal by Oct. 17   (Adds European Commission  Liberty Global declined comment  details),normal
LBTYB,Liberty Global plc,20140724,Liberty Global offers to sell pay TV channel for Ziggo deal - source ,BRUSSELS  July 24 U.S. cable group Liberty Global has offered to sell its pay TV channel Film1 in a bid to win EU antitrust approval for its proposed acquisition of Dutch rival Ziggo  a person familiar with the matter said on Thursday.,normal
LBTYK,Liberty Global plc,20140724,Liberty Global offers to sell pay TV channel for Ziggo deal: source ,BRUSSELS U.S. cable group Liberty Global has offered to sell its pay TV channel Film1 in an attempt to win EU antitrust approval for its proposed acquisition of Dutch rival Ziggo  a person familiar with the matter said on Thursday.,topStory
LBTYK,Liberty Global plc,20140724,UPDATE 1-Liberty Global offers to sell pay TV channel for Ziggo deal - source ,* European Commission to decide on deal by Oct. 17   (Adds European Commission  Liberty Global declined comment  details),normal
LBTYK,Liberty Global plc,20140724,Liberty Global offers to sell pay TV channel for Ziggo deal - source ,BRUSSELS  July 24 U.S. cable group Liberty Global has offered to sell its pay TV channel Film1 in a bid to win EU antitrust approval for its proposed acquisition of Dutch rival Ziggo  a person familiar with the matter said on Thursday.,normal
LOGI,Logitech International SA,20140724,BUZZ-Logitech International SA: Vontobel upgrades after forecast raise ,** Swiss computer accessory maker's U.S.-listed shares  up 15.6 pct at $15.41,topStory
LOGI,Logitech International SA,20140724,BRIEF-Logitech shares rise 8.3 percent after Q1 results ,July 24 Logitech shares rise 8.3 percent after Q1 results.,normal
NXPI,NXP Semiconductors NV,20140724,Amazon's 'Fire' smartphone has chips from Qualcomm  Samsung  NXP ,SAN FRANCISCO Amazon.com Inc's new "Fire" smartphone  aimed at extending the online retailer's reach  includes chips from Qualcomm Inc  NXP Semiconductors NV and Samsung Electronics Co Ltd  according to repair firm iFixit  which pried one open on Thursday.,topStory
NXPI,NXP Semiconductors NV,20140724,Amazon's 'Fire' smartphone has chips from Qualcomm  Samsung  NXP , ,normal
NXPI,NXP Semiconductors NV,20140724,BRIEF-Amazon's "Fire" smartphone includes chips from Qualcomm  Samsung  NXP - ifixit teardown ,SAN FRANCISCO  July 24 Amazon.com Inc :  * New "fire" smartphone includes ram  nand memory chips from Samsung elecronics,normal
QCOM,QUALCOMM Incorporated,20140724,Amazon's 'Fire' smartphone has chips from Qualcomm  Samsung  NXP ,SAN FRANCISCO Amazon.com Inc's new "Fire" smartphone  aimed at extending the online retailer's reach  includes chips from Qualcomm Inc  NXP Semiconductors NV and Samsung Electronics Co Ltd  according to repair firm iFixit  which pried one open on Thursday.,topStory
QCOM,QUALCOMM Incorporated,20140724,Amazon's 'Fire' smartphone has chips from Qualcomm  Samsung  NXP , ,normal
QCOM,QUALCOMM Incorporated,20140724,BRIEF-Amazon's "Fire" smartphone includes chips from Qualcomm  Samsung  NXP - ifixit teardown ,SAN FRANCISCO  July 24 Amazon.com Inc :  * New "fire" smartphone includes ram  nand memory chips from Samsung elecronics,normal
QCOM,QUALCOMM Incorporated,20140724,China regulator determines Qualcomm has monopoly: state-run newspaper ,BEIJING China's antitrust regulator has confirmed that Qualcomm Inc  one of the world's biggest mobile chipmakers  has a monopoly  the state-run Securities Times newspaper reported on Thursday  as Qualcomm's chief executive held talks in China.,normal
QCOM,QUALCOMM Incorporated,20140724,UPDATE 1-China regulator determines Qualcomm has monopoly -state-run newspaper ,* China regulator 'confirms' Qualcomm has monopoly -report,normal
QCOM,QUALCOMM Incorporated,20140724,China regulator determines Qualcomm has monopoly -state-run newspaper ,BEIJING  July 24 China's antitrust regulator has confirmed that Qualcomm Inc  one of the world's biggest mobile chipmakers  has a monopoly  the state-run Securities Times newspaper reported on Thursday  as Qualcomm's chief executive held talks in China.,normal
SQBG,Sequential Brands Group Inc,20140724,Dunkin' Brands cuts 2014 forecast; shares fall ,Dunkin' Brands Group Inc DNKN.O cut its 2014 outlook on Thursday as its U.S. doughnut shops battled fast-food rivals like McDonald's Corp MCD.N and high milk prices softened profits from its international Baskin-Robbins ice cream business.,topStory
SQBG,Sequential Brands Group Inc,20140724,UPDATE 3-Dunkin' Brands cuts 2014 forecast; shares fall ,July 24 Dunkin' Brands Group Inc cut its 2014 outlook on Thursday as its U.S. doughnut shops battled fast-food rivals like McDonald's Corp and high milk prices softened profits from its international Baskin-Robbins ice cream business.,normal
SQBG,Sequential Brands Group Inc,20140724,REFILE-Dunkin' Brands U.S. comparable sales miss estimate ,July 24 Dunkin' Brands Group Inc  the parent of Dunkin' Donuts and Baskin-Robbins ice cream  reported weaker-than-expected U.S. quarterly same-restaurant sales  blaming  in part  an unseasonably cold and rainy start to the spring season.,normal
SINA,Sina Corporation,20140724,Fitch Affirms BNPP Fortis and BGL BNPP at 'A+'; Outlook Stable ,(The following statement was released by the rating agency) PARIS/LONDON  July 24 (Fitch) Fitch Ratings has affirmed BNP Paribas Fortis  SA/NV (BNPPF) and its subsidiary BGL BNP Paribas' (BGL BNPP) Long-term Issuer  Default Ratings (IDRs) at 'A+' with Stable Outlooks and Support Ratings (SRs) at  '1'. At the same time  BNPPF's Viability Rating (VR) has been affirmed at 'a'. A  full list of rating actions is at the end of this rating action commentary.  The rating actions follow a periodic review,topStory
SBGI,Sinclair Broadcast Group Inc,20140724,U.S. FCC approves Sinclair's TV deal with Allbritton ,WASHINGTON The U.S. Federal Communications Commission on Thursday approved the $985 million deal between Sinclair Broadcast Group Inc and Allbritton Communications Co with divestitures and other conditions.,topStory
SBGI,Sinclair Broadcast Group Inc,20140724,UPDATE 1-U.S. FCC approves Sinclair's TV deal with Allbritton ,WASHINGTON  July 24 The U.S. Federal Communications Commission on Thursday approved the $985 million deal between Sinclair Broadcast Group Inc and Allbritton Communications Co with divestitures and other conditions.,normal
SBGI,Sinclair Broadcast Group Inc,20140724,U.S. FCC approves Sinclair's TV stations deal with Allbritton ,WASHINGTON  July 24 The U.S. Federal Communications Commission on Thursday approved the $985 million deal between Sinclair Broadcast group and Allbritton Communications Co with previously expected divestitures and other conditions.,normal
SBUX,Starbucks Corporation,20140724,Starbucks locks in prices on 60 percent of its coffee for 2015 ,July 24 Starbucks Corp  the world's biggest coffee chain  has locked in coffee prices for 60 percent of its 2015 needs and expects its full coffee costs for the year to be close to 2014 prices  a company executive said on Thursday.,topStory
