ALNY,Alnylam Pharmaceuticals Inc,20120925,Alnylam gets favorable ruling in patent suit against Tekmira ,Alnylam Pharmaceuticals Inc said a U.S. federal court has ruled that it could sue Canada's Tekmira Pharmaceuticals Corp for infringing patents on lipid nanoparticle technology exclusively licensed to Alnylam.,topStory
DLBL,Barclays PLC,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DLBL,Barclays PLC,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
DTYL,Barclays PLC,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
DTYL,Barclays PLC,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DTYL,Barclays PLC,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
CHRW,CH Robinson Worldwide Inc,20120925,C.H. Robinson to buy freight forwarder Phoenix for $635 million ,C.H. Robinson Worldwide Inc   a third-party provider of freight transport  will buy privately owned Phoenix International for $635 million in cash and stock to expand its forwarding business.,topStory
CHRW,CH Robinson Worldwide Inc,20120925,UPDATE 2-C.H. Robinson to buy freight forwarder Phoenix for $635 mln ,Sept 25 C.H. Robinson Worldwide Inc  a third-party provider of freight transport  will buy privately owned Phoenix International for $635 million in cash and stock to expand its forwarding business.,normal
CHRW,CH Robinson Worldwide Inc,20120925,C.H. Robinson to buy logistics rival Phoenix for $635 million ,C.H. Robinson Worldwide Inc   a third-party provider of freight transport  said it would buy smaller rival Phoenix International for $635 million in cash and stock to expand its international freight forwarding business.,normal
CHRW,CH Robinson Worldwide Inc,20120925,C.H. Robinson to buy Phoenix International for $635 mln ,Sept 25 C.H. Robinson Worldwide Inc  a third-party provider of freight transport  said it would buy smaller rival Phoenix International for $635 million to grow its international freight forwarding business.,normal
CWST,Casella Waste Systems Inc,20120925,TEXT-S&P affirms Casella Waste Systems 'B' rating ,Overview      -- U.S.-based Casella Waste Systems Inc. (Casella) is repaying its $180  million second lien notes with the proceeds from an add-on senior subordinated  notes issuance and a planned equity offering.      -- We affirmed the 'B' corporate credit rating on Casella.       -- We also placed the issue-level ratings on the company's senior  subordinated notes and unsecured industrial revenue bonds on CreditWatch with  positive implications.      -- Casella is also amending its financial c,topStory
CSCO,Cisco Systems Inc,20120925,Cisco CEO: Next US president must take page from Clinton's book ,NEW YORK Cisco Systems Inc CEO John Chambers  a supporter of Mitt Romney  says the country's next head of state should take his cues from former President Bill Clinton  regardless of who emerges as the victor in November's election.,topStory
CSCO,Cisco Systems Inc,20120925,Cisco CEO: Next US president must take page from Clinton's book ,NEW YORK  Sept 25 Cisco Systems Inc CEO John Chambers  a supporter of Mitt Romney  says the country's next head of state should take  his cues from former President Bill Clinton  regardless of who emerges as the victor in November's election.,normal
CME,CME Group Inc,20120925,CBOT grain traders petition for shorter trading day ,* Almost 300 traders sign petition for shorter trading day,topStory
COST,Costco Wholesale Corporation,20120925,UPDATE 1-U.S. judge grants class status to women suing Costco ,SAN FRANCISCO  Sept 25 A U.S. judge has certified a class action lawsuit against Costco Wholesale Corp  over allegations of gender discrimination in the store's promotion practices.,topStory
COST,Costco Wholesale Corporation,20120925,U.S. judge grants class status to women suing Costco ,SAN FRANCISCO  Sept 25 A U.S. judge certified a class action lawsuit against Costco Wholesale Corp over allegations of gender discrimination in the store's promotion practices.,normal
CBRL,Cracker Barrel Old Country Store Inc,20120925,UPDATE 2-Biglari agrees to $850 000 fine on Cracker Barrel buy ,* Biglari had 17.5 percent of Cracker Barrel in early Sept,topStory
CBRL,Cracker Barrel Old Country Store Inc,20120925,Biglari agrees to $850 000 fine on Cracker Barrel buy ,WASHINGTON Biglari Holdings Inc   run by activist investor Sardar Biglari  will pay a $850 000 penalty to settle charges it violated merger reporting rules when it bought shares of Cracker Barrel Old Country Store Inc   the U.S. Justice Department said on Tuesday.,normal
DEPO,Depomed Inc,20120925,Depomed sues FDA to get sales exclusivity for shingles pain drug ,Depomed Inc filed a lawsuit against U.S. health regulators  seeking market exclusivity for its shingles pain drug  which was designated as an orphan drug.,topStory
ERIC,Ericsson,20120925,Ericsson buys Canada-based ConceptWave Software ,Ericsson  the world's leading mobile telecoms equipment maker  bought Canadian telecommunications software provider ConceptWave Software Inc.,topStory
ERIC,Ericsson,20120925,Ericsson buys Canada-based ConceptWave Software ,Sept 25 Ericsson   the world's leading mobile telecoms equipment maker  bought Canadian telecommunications software provider ConceptWave Software Inc.,normal
FB,Facebook Inc,20120925,UPDATE 1-French watchdog to continue Facebook glitch inquiry ,PARIS  Sept 25 France's data watchdog CNIL said it would continue an inquiry into how some users of Facebook Inc  came to believe that their privacy had been infringed on the social network.,topStory
FB,Facebook Inc,20120925,French government asks Facebook to explain data glitch ,PARIS The French government has summoned Facebook Inc managers to appear before the country's data watchdog to explain how some of its users came to believe their privacy had been infringed on the social network  it said in a statement early on Tuesday.,normal
FB,Facebook Inc,20120925,French govt asks Facebook to explain data glitch ,PARIS  Sept 25 The French government has summoned Facebook Inc managers to appear before the country's data watchdog to explain how some of its users came to believe their privacy had been infringed on the social network  it said in a statement early on Tuesday.,normal
FWRD,Forward Air Corporation,20120925,MARKET PULSE-Odyssey  Tesla  Google  Paychex  Forward Air  Caterpillar ,Sept 25 Some U.S. stocks to watch on Tuesday:                                                       ,topStory
INTL,INTL FCStone Inc,20120925,INTL FCStone grows from commodity broking to breaking news ,NEW YORK  Sept 25 INTL FCStone Inc  a mid-sized futures brokerage with a century-long history in the market  is taking a novel approach toward the industrywide problem of profitability: becoming a news agency.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
FLAT,iPath US Treasury Flattener ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
FLAT,iPath US Treasury Flattener ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
FLAT,iPath US Treasury Flattener ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
STPP,iPath US Treasury Steepener ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
STPP,iPath US Treasury Steepener ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
STPP,iPath US Treasury Steepener ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
LPNT,LifePoint Health Inc,20120925,BRIEF-Moody's upgrades LifePoint to Ba2; outlook is stable ,Sept 25 LifePoint Hospitals Inc :  * Moody's upgrades LifePoint to ba2; outlook is stable  * Rpt-moody's upgrades lifepoint to ba2; outlook is stable,topStory
MYGN,Myriad Genetics Inc,20120925,ACLU asks Supreme Court to reconsider gene patenting case ,The American Civil Liberties Union has asked for a second time that the Supreme Court invalidate Myriad Genetics Inc's patents on two genes associated with hereditary breast and ovarian cancers  the latest salvo in a case with broad consequences for the future of gene-based medicine.,topStory
OMEX,Odyssey Marine Exploration Inc,20120925,Odyssey Marine defers sunken silver salvage to spring ,Sept 25 Odyssey Marine Exploration Inc  said it would delay retrieving millions of ounces of silver from two shipwrecks in the North Atlantic until next spring due to weather conditions  sending its stock down 20 percent.,topStory
PDCE,PDC Energy Inc,20120925,BRIEF-Moody's rates new PDC Energy senior notes B3 ,Sept 25 PDC Energy Inc :  * Moody's rates new PDC Energy senior notes b3  * Rpt-moody's rates new pdc energy senior notes b3,topStory
SREV,ServiceSource International Inc,20120925,U.S. tech firm ServiceSource to expand in Britain ,LONDON U.S. firm ServiceSource International said it would expand in Britain to meet demand from corporate customers who use its services to generate more revenue from existing clients.,topStory
SREV,ServiceSource International Inc,20120925,U.S tech firm ServiceSource to expand in Britain ,LONDON  Sept 25 U.S. firm ServiceSource International said it would expand in Britain to meet demand from corporate customers who use its services to generate more revenue from existing clients.,normal
SHLO,Shiloh Industries Inc,20120925,EDF Renewable sees Calif. Shiloh IV wind farm on in Dec ,Sept 25 EDF Renewable Energy  a unit of French power company EDF  expects the 102.5-megawatt (MW) Shiloh IV wind farm in California to enter service in December.,topStory
TSLA,Tesla Inc ,20120925,Tesla cuts revenue forecast due to slow Model S rollout ,DETROIT Electric car maker Tesla Motors Inc  cut its forecast for 2012 revenue on Tuesday because of a slower-than-expected rollout of its Model S sedan  sending its shares down almost 10 percent.,topStory
TSLA,Tesla Inc ,20120925,MARKET PULSE-Odyssey  Tesla  Google  Paychex  Forward Air  Caterpillar ,Sept 25 Some U.S. stocks to watch on Tuesday:                                                       ,normal
TSLA,Tesla Inc ,20120925,Tesla cuts 2012 revenue forecast due to slow Model S rollout ,Sept 25 Electric car maker Tesla Motors Inc  on Tuesday cut its forecast for 2012 revenue  citing a slower-than-expected rollout of its Model S sedan.,normal
TSLA,Tesla Inc ,20120925,BRIEF-Tesla Motors drops in premarket after outlook  stock shelf filing ,NEW YORK  Sept 25 Tesla Motors Inc :  * Drops 15.2 percent to $26 in premarket after revenue outlook  stock shelf filing,normal
TXN,Texas Instruments Incorporated,20120925,UPDATE 3-Texas Instruments eyes shift away from wireless ,Sept 25 Texas Instruments said it will shift its wireless investment focus from products like smartphones to a broader market including industrial clients like carmakers where it is hoping for a more profitable and stable business.,topStory
TXN,Texas Instruments Incorporated,20120925,Texas Instruments eyes shift away from wireless ,Texas Instruments said it is shifting its wireless investment focus from products like smartphones to a broader market that includes industrial customers like carmakers  but some investors were disappointed in the lack of details.,normal
TXN,Texas Instruments Incorporated,20120925,BRIEF-Texas Instruments says to continue to support wireless customers ,Sept 25 Texas Instruments Inc :  * Exec says will continue to support wireless customers  * Exec says with existing wireless customers won't be investing in the roadmap,normal
TXN,Texas Instruments Incorporated,20120925,Texas Instruments eyes change to wireless investment ,NEW YORK  Sept 25 Texas Instruments is changing how it invests in wireless chips as that market becomes a less attractive place to compete  but a top executive said he was not ready to announce details of the changes yet.,normal
TIG,TiGenix,20120925,BRIEF-Tigenix gets EU approval for new facility ,BRUSSELS  Sept 25 Tigenix NV :  * New European production facility obtains EMA approval for commercial,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20120925,Vertex ends work on one hepatitis C drug  continues another ,BOSTON Vertex Pharmaceuticals Inc said on Tuesday it will discontinue development of an experimental drug to treat hepatitis C after it failed to show sufficient efficacy.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20120925,Vertex ends work on one hepatitis C drug  continues another ,Vertex Pharmaceuticals Inc said on Tuesday it will discontinue development of an experimental drug to treat hepatitis C after it failed to show sufficient efficacy to warrant further study.,normal
VOD,Vodafone Group Plc,20120925,Teliasonera to start Yoigo sale soon -sources ,PARIS/LONDON Teliasonera will kick off the sale process for its Spanish mobile operator  Yoigo  in the next two weeks in a deal that is expected to attract bids from France Telecom and Vodafone  three people familiar with the matter said.,topStory
VOD,Vodafone Group Plc,20120925,UPDATE 1-Teliasonera to start Yoigo sale soon -sources ,* Information documents to go out in next two weeks-sources,normal
ABT,Abbott Laboratories,20120925,TEXT-S&P: Abbott Laboratories 'AA' rating remain on watch negative ,Overview      -- U.S. diversified pharmaceutical company Abbott Laboratories  intends to split off its global proprietary pharmaceutical operations into a separate company  to be named AbbVie  leaving the lower margin established  pharmaceutical operations with Abbott.      -- At this time  neither the exact composition of either business or  their financial structure is known  but both will be smaller and less diverse  than Abbott is now.       -- On Oct. 19  2011  we placed our 'AA' long-term ,topStory
AA,Alcoa Corporation,20120925,Italy's Sardinia struggles to leave state aid behind ,INSIDE THE CARBOSULCIS MINE  Italy Four hundred meters below the surface dozens of miners risk their lives at Sardinia's Carbosulcis  Italy's only coal pit  digging low-quality carbon that no-one wants to buy.,topStory
AA,Alcoa Corporation,20120925,FEATURE-Italy's Sardinia struggles to leave state aid behind ,INSIDE THE CARBOSULCIS MINE  Italy  Sept 25 Four hundred meters below the surface dozens of miners risk their lives at Sardinia's Carbosulcis  Italy's only coal pit  digging low-quality carbon that no-one wants to buy.,normal
AFC,Ares Capital Corporation,20120925,TEXT-Fitch rates Ares Capital unsecured retail notes 'BBB' ,Sept 25 - Fitch Ratings has assigned a rating of 'BBB' to Ares Capital Corporation's (Ares) $175 million issuance of 5.875% unsecured retail notes. The notes will mature in October 2022.  Fitch does not believe there will be a material impact on the company's leverage levels as a result of the issuance  as proceeds will largely be used to repay borrowings on secured credit facilities.  RATING DRIVERS AND SENSITIVITIES  Ares currently has a Stable Rating Outlook  which reflects Fitch's expectatio,topStory
BBD,Banco Bradesco Sa,20120925,CSN hires Bradesco for Thyssen Brazil mill bid-report ,SAO PAULO  Sept 25 Brazilian steelmaker CSN  has hired the investment banking unit of Banco Bradesco to advise on a potential bid for ThyssenKrupp's money-losing Steel Americas unit  Valor Econômico newspaper reported on Tuesday.,topStory
BBDO,Banco Bradesco Sa,20120925,CSN hires Bradesco for Thyssen Brazil mill bid-report ,SAO PAULO  Sept 25 Brazilian steelmaker CSN  has hired the investment banking unit of Banco Bradesco to advise on a potential bid for ThyssenKrupp's money-losing Steel Americas unit  Valor Econômico newspaper reported on Tuesday.,topStory
BLX,Banco Latinoamericano de Comercio Exterior SA,20120925,TEXT-S&P affirms Banco Latinoamericano de Comercio Exterior ,Overview      -- Panama-based Banco Latinoamericano de Comercio Exterior has maintained  a steady growth path and strong capitalization levels.       -- We are affirming our 'BBB' long- and 'A-2' short-term ratings on the  bank.       -- The stable outlook reflects our expectations that the bank will  maintain strong capital levels and adequate risk position.   Rating Action On Sept. 25  2012  Standard & Poor's Ratings Services affirmed its 'BBB' long-  and 'A-2' short-term ratings on Banco Lati,topStory
BCS,Barclays PLC,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
BCS,Barclays PLC,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
BCS,Barclays PLC,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
BKS,Barnes & Noble Inc,20120925,Barnes & Noble to launch video service for Nook ,Barnes & Noble Inc is launching a video streaming and download service this autumn for its Nook e-books and device business in the latest volley in its battle to keep up with Amazon.com Inc.,topStory
BKS,Barnes & Noble Inc,20120925,UPDATE 2-Barnes & Noble to launch video service for Nook ,Sept 25 Barnes & Noble Inc is launching a video streaming and download service this autumn for its Nook e-books and device business in the latest volley in its battle to keep up with Amazon.com Inc.,normal
BKS,Barnes & Noble Inc,20120925,Barnes & Noble to launch video service for Nook ,Sept 25 Barnes & Noble Inc said on Tuesday it was launching a video streaming and download service this autumn for its Nook e-books and device business.,normal
BH,Biglari Holdings Inc,20120925,UPDATE 2-Biglari agrees to $850 000 fine on Cracker Barrel buy ,* Biglari had 17.5 percent of Cracker Barrel in early Sept,topStory
BH,Biglari Holdings Inc,20120925,Biglari agrees to $850 000 fine on Cracker Barrel buy ,WASHINGTON Biglari Holdings Inc   run by activist investor Sardar Biglari  will pay a $850 000 penalty to settle charges it violated merger reporting rules when it bought shares of Cracker Barrel Old Country Store Inc   the U.S. Justice Department said on Tuesday.,normal
BH,Biglari Holdings Inc,20120925,US penalizes Biglari Holdings $850 000 under merger rules ,WASHINGTON  Sept 25 Biglari Holdings Inc  will pay an $850 000 civil penalty to settle a U.S. allegation that it did not follow premerger reporting rules when it acquired an interest in a restaurant chain  the U.S. Justice Department said on Tuesday.,normal
BLK,BlackRock Inc,20120925,BlackRock raises S&P 500 target  but says rally over ,NEW YORK BlackRock Inc   one of the world's largest asset managers  has raised its expectations for the U.S. stock market in 2012 but believes this year's equity rally has run its course  according to targets provided by the firm on Tuesday.,topStory
BLK,BlackRock Inc,20120925,US STOCKS SNAPSHOT - Wall St lower as BlackRock says 2012 rally is over ,NEW YORK  Sept 25 U.S. stocks gave up early gains and edged slightly lower on Tuesday after major U.S asset manager BlackRock said the strong equity rally this year has run its course.,normal
BLK,BlackRock Inc,20120925,BlackRock sees S&P 500 at 1 450 by year-end ,NEW YORK  Sept 25 The S&P 500 will finish 2012 at 1 450 before rising to 1 525 by middle of 2013  according to Chris Leavy  chief investment officer  fundamental equities of the Americas for BlackRock and head of the US Large Cap Series equity team.,normal
BA,Boeing Company (The),20120925,EU rejects U.S. claim to have weaned Boeing off subsidies ,GENEVA U.S. aircraft giant Boeing  is still getting U.S. subsidies despite Washington's claim to have stopped the handouts  the European Union said on Tuesday in the latest round of the world's biggest trade dispute.,topStory
BA,Boeing Company (The),20120925,UPDATE 3-EU rejects US claim to have weaned Boeing off subsidies ,GENEVA  Sept 25 U.S. aircraft giant Boeing  is still getting U.S. subsidies despite Washington's claim to have stopped the handouts  the European Union said on Tuesday in the latest round of the world's biggest trade dispute.,normal
BA,Boeing Company (The),20120925,EU challenges US claim to have stopped Boeing subsidies at WTO ,GENEVA  Sept 25 The European Union launched a complaint at the World Trade Organization on Tuesday accusing the United States of failing to withdraw subsidies for Boeing  by Sept 23  as required by an earlier WTO ruling.,normal
BA,Boeing Company (The),20120925,United Continental to receive its first Boeing 787 this week ,United Continental Holdings Inc  will become the first U.S. airline to take delivery of Boeing Co's 787 Dreamliner airplane this week  the world's largest airline said on Monday.,normal
BA,Boeing Company (The),20120925,UPDATE 1-Lion Air eyes more jets for growing SE Asia market ,* U.S. analyst says airline poised to place big Airbus order,normal
BP,BP plc,20120925,PRESS DIGEST - Financial Times - Sept 26 ,The British Bankers' Association (BBA) is willing to give up its responsibility for setting the Libor interbank borrowing rate.,topStory
BP,BP plc,20120925,Medvedev govt to rule on BP's sale of TNK-BP ,(For other news from Reuters Russia Investment Summit  click on http://www.reuters.com/summit/RussiaInvestment12),normal
BP,BP plc,20120925,RLPC-UPDATE 1-TNK-BP signs $675 mln loan - bankers ,LONDON  Sept 25 Russia's third-largest oil company TNK-BP signed a $675 million loan with a group of banks  falling short of its targeted $750 million after one bank was unable to commit to the financing  banking sources said on Tuesday.,normal
BP,BP plc,20120925,RLPC-TNK-BP signs $675 mln loan-bankers ,LONDON  Sept 25 Russia's third-largest oil company TNK-BP signed a $675 million loan with a group of banks  falling short of its targeted $750 million after one bank was unable to commit to the financing  banking sources said on Tuesday.,normal
BP,BP plc,20120925,Market Chatter - Corporate finance press digest ,Sept 25 The following corporate finance-related stories were reported by media on Tuesday:,normal
