ACIW,ACI Worldwide Inc,20110831,UPDATE 1-S1 tells shareholders to sit tight on ACI offer , Aug 31 Payment processing technology provider S1 Corp has advised shareholders to take no action  a day after larger rival ACI Worldwide went hostile with a more than $500 million bid.,topStory
GOOG,Alphabet Inc,20110831,Google promotes daily deal coupon on main Web page , SAN FRANCISCO  Aug 31 Google Inc   promoted a daily deals offer on the front page of its website on Wednesday  a rare instance of the search giant using the prized online real estate for advertising.,normal
GOOG,Alphabet Inc,20110831,Sony's tablets may be a tough sell with price tag ,NEW YORK/BERLIN Sony Corp  took the wraps off its long-awaited tablets on Wednesday with price tags that could hurt the company's chances to compete for the No. 2 spot in the tablet market.,normal
AMZN,Amazoncom Inc,20110831,eBay pins China hopes ,HONG KONG eBay Inc expects sales from large exporters in China to maintain growth at 30-40 percent annually  with the e-commerce giant seeking acquisition opportunities as part of efforts to expand its footprint in the fast-growing market.,topStory
AMGN,Amgen Inc,20110831,Cancer-fighting virus shown to target tumors alone ,LOS ANGELES Researchers have shown for the first time that a single intravenous infusion of a genetically engineered virus can home in on cancer  killing tumor cells in patients without harming healthy tissue.,topStory
AMGN,Amgen Inc,20110831,Cancer-fighting virus shown to target tumors alone , * Small trial shows virus hits cancer  spares normal cells   * Mid-stage trial in liver cancer patients under way   * Another big step in 'customizing' viruses to target tumors,normal
AAPL,Apple Inc,20110831,Sony tablets fail to impress on price  hardware ,NEW YORK/BERLIN Sony's hopes of dominating consumer electronics once again with its new tablets suffered a crushing blow on Wednesday from analysts and gadget reviewers whose first impressions were overwhelmingly bad.,topStory
AAPL,Apple Inc,20110831,UPDATE 4-Sony tablets fail to impress on price  hardware , * Analysts concerned high price will turn off consumers,normal
AAPL,Apple Inc,20110831,Analysis: Big-name stocks cheaper than during 2008-09 crisis ,NEW YORK One out of every 10 companies in the S&P 500 index -- including stalwarts like Apple and JPMorgan Chase -- is now cheaper than during the 2008-2009 market meltdown.,normal
AAPL,Apple Inc,20110831,Salesforce.com's Benioff inspired by Arab Spring ,SAN FRANCISCO Web-based software maker Salesforce.com Inc's Chief Executive Marc Benioff unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,normal
AAPL,Apple Inc,20110831,Lawsuit says Microsoft tracks customers without consent ,SAN FRANCISCO Microsoft allegedly tracks the location of its mobile customers even after users request that tracking software be turned off  according to a new lawsuit.,normal
AAPL,Apple Inc,20110831,Lawsuit says Microsoft tracks customers without consent , * Tech industry has been criticized over unwanted tracking,normal
AAPL,Apple Inc,20110831,Openwave alleges Apple  RIM infringed patents ,TORONTO Software maker Openwave Systems filed a complaint against Apple and Research In Motion on Wednesday  alleging infringement of five of its patents relating to mobile Internet technology.,normal
AAPL,Apple Inc,20110831,RIM's head of developer relations resigns ,TORONTO Research In Motion's head of developer relations  Mike Kirkup  has resigned  the latest in a string of departures as the BlackBerry maker seeks to claw back ground lost to Apple and Google.,normal
AAPL,Apple Inc,20110831,Salesforce.com's Benioff inspired by Arab Spring , SAN FRANCISCO  Aug 31 Web-based software maker Salesforce.com  Inc's chief executive  Marc Benioff  unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,normal
AAPL,Apple Inc,20110831,Apple criticized for China supply chain pollution ,BEIJING Chinese environmental groups accused Apple Inc of turning a blind eye as its suppliers pollute the country  the latest criticism of the technology company's environmental record.,normal
BIDU,Baidu Inc,20110831,ADR Report-Rally helps European bank shares cut some losses , NEW YORK  Aug 31 Shares of European banks traded in the United States rose on Wednesday as hopes of new stimulus measures from the U.S. Federal Reverse helped world equities rally into the end of August.,topStory
BIDU,Baidu Inc,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,normal
BMLP,Bank Of Montreal,20110831,FACTBOX-Wealth management earnings at Canadian banks , Aug 31 Canadian banks have made wealth management a major focus in recent years as they compete for the savings and investments of retiring baby boomers in North America and try to tap growing wealth abroad.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
DLBL,Barclays PLC,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DLBL,Barclays PLC,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DLBL,Barclays PLC,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBL,Barclays PLC,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DLBL,Barclays PLC,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DLBL,Barclays PLC,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DLBL,Barclays PLC,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DLBL,Barclays PLC,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DLBL,Barclays PLC,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
DLBL,Barclays PLC,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
DTYL,Barclays PLC,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DTYL,Barclays PLC,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DTYL,Barclays PLC,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYL,Barclays PLC,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DTYL,Barclays PLC,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DTYL,Barclays PLC,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DTYL,Barclays PLC,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DTYL,Barclays PLC,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DTYL,Barclays PLC,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
DTYL,Barclays PLC,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
BEAT,BioTelemetry Inc,20110831,CardioNet shares sink to life-low on DoJ probe ,Shares of CardioNet Inc  fell as much as 20 percent to their lowest ever on Wednesday morning  a day after it said the U.S. Department of Justice was investigating allegations that it had submitted incorrect Medicare claims.,topStory
CME,CME Group Inc,20110831,UPDATE 1-CME to launch weekly soyoil  meal  cattle options , CHICAGO  Aug 31 CME Group Inc   the biggest operator of U.S. futures exchanges  said on Wednesday it would begin trading in weekly options on soymeal  soyoil and live cattle futures starting on Sept. 26.,topStory
CMCSA,Comcast Corporation,20110831,U.S. moves to block AT&T  T-Mobile deal ,WASHINGTON/NEW YORK The Obama administration sued to block AT&T Inc's $39 billion acquisition of wireless rival T-Mobile on concerns it would harm competition  launching its biggest challenge yet to a takeover and dealing the carrier a potentially costly blow. | Video ,topStory
CMCSA,Comcast Corporation,20110831,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court.,normal
CMCSA,Comcast Corporation,20110831,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The U.S. Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court.,normal
CMCSA,Comcast Corporation,20110831,Court battle looms between US and AT&T  T-Mobile , * AT&T  Justice Department will square off in DC court,normal
CMCSA,Comcast Corporation,20110831,UPDATE 5-U.S. moves to block AT&T  T-Mobile deal , * Acquisition would drive up prices  hurt competition -DOJ,normal
COST,Costco Wholesale Corporation,20110831,UPDATE 1-Costco CEO to step down next year , NEW YORK  Aug. 31 Costco Wholesale Corp's  chief executive  Jim Sinegal  has informed the company's board about his plan to step down as CEO  effective Jan. 1  2012  the U.S. warehouse club said on Wednesday.,topStory
CRAI,CRA InternationalInc,20110831,AT&T economic model failed to sway antitrust chiefs ,WASHINGTON AT&T Inc employed a small army of economists to promote its plan to buy smaller rival T-Mobile but the Justice Department viewed the deal as snuffing out a plucky competitor to the detriment of consumers.,topStory
CRAI,CRA InternationalInc,20110831,AT&T economic model failed to sway antitrust chiefs , * AT&T engaged economists with Washington connections,normal
DISH,DISH Network Corporation,20110831,UPDATE 1-Receiver seeks to wind down Blockbuster Canada's ops , Aug 31 The receiver of Blockbuster Canada Co is seeking an order from the Ontario Superior Court to wind down the video rental company's operations and shut its 253 remaining retail stores.,topStory
DRYS,DryShips Inc,20110831,UPDATE 1-DryShips says COSCO resumes lease payments , * Says COSCO has resumed higher payments on 3 disputed vessels,topStory
EBAY,eBay Inc,20110831,UPDATE 2-Some US firms paid more to CEOs than taxes -study , * Call for hearings in Congress on executive pay  (Adds eBay comment  additional study),topStory
EBAY,eBay Inc,20110831,Some U.S. firms paid more to CEOs than taxes: study ,WASHINGTON Twenty-five of the 100 highest paid U.S. CEOs earned more last year than their companies paid in federal income tax  a pay study by a Washington think tank said on Wednesday.,normal
EBAY,eBay Inc,20110831,CORRECTED - Study: Some US firms paid more to CEOs than taxes , (Corrects Boeing CEO Jim McNerney pay to $13.8 million  not billion  in 11th paragraph),normal
EBAY,eBay Inc,20110831,PRESS DIGEST - Russia - Aug 31 , Moscow  Aug 31 The following are some of the leading stories in Russia's newspapers on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
EBAY,eBay Inc,20110831,eBay pins China hopes ,HONG KONG eBay Inc expects sales from large exporters in China to maintain growth at 30-40 percent annually  with the e-commerce giant seeking acquisition opportunities as part of efforts to expand its footprint in the fast-growing market.,normal
ESRX,Express Scripts Holding Company,20110831,UPDATE 2-Walgreen plans for life after Express Scripts , * Companies disagree on prescription reimbursement rates,topStory
ESRX,Express Scripts Holding Company,20110831,Bankers may lose big if AT&T deal collapses ,LONDON/NEW YORK U.S. antitrust regulators may have dealt a body blow to an already fragile mergers and acquisitions market with their decision to block AT&T Inc's $39 billion deal to buy T-Mobile USA.,normal
ESRX,Express Scripts Holding Company,20110831,UPDATE 1-Bankers may lose big if AT&T deal collapses , * Advisers stand to lose $150 mln in fees on T-Mobile deal,normal
ESRX,Express Scripts Holding Company,20110831,Walgreen still "very far" from Express Scripts , CHICAGO/NEW YORK  Aug 31 Walgreen Co  and pharmacy benefits manager Express Scripts  have made no progress in settling their dispute and each is preparing to move on without the other  the companies said on Wednesday.,normal
FSLR,First Solar Inc,20110831,UPDATE 4-US solar company that Obama visited will shut down , * Company raised some $1 bln in venture capital funds  (Adds DOE  Republican lawmaker comments),topStory
FSLR,First Solar Inc,20110831,Solar company that Obama visited will shut down ,LOS ANGELES Solar start-up Solyndra LLC  succumbing to pressure from lower-cost Chinese rivals  said it has suspended operations and plans to file for bankruptcy  15 months after President Barack Obama visited a company factory that was to be expanded with the help of a federal loan guarantee.,normal
HAS,Hasbro Inc,20110831,Toys R Us to open fewer pop-up stores this year , NEW YORK  Aug 31 Toys R Us Inc [TOY.UL]  the world's largest toy retailer  plans to open fewer temporary pop-up stores this year  a spokeswoman said on Wednesday.,topStory
INTC,Intel Corporation,20110831,UPDATE 4-US solar company that Obama visited will shut down , * Company raised some $1 bln in venture capital funds  (Adds DOE  Republican lawmaker comments),topStory
INTC,Intel Corporation,20110831,Solar company that Obama visited will shut down ,LOS ANGELES Solar start-up Solyndra LLC  succumbing to pressure from lower-cost Chinese rivals  said it has suspended operations and plans to file for bankruptcy  15 months after President Barack Obama visited a company factory that was to be expanded with the help of a federal loan guarantee.,normal
INTC,Intel Corporation,20110831,UPDATE 3-LTX-Credence warns of surprise loss  shares fall , * Shares down 21 pct   (Adds analyst comment in paragraph 3 4  updates shares),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
