ACHC,Acadia Healthcare Company Inc,20121205,TEXT-S&P puts Acadia Healthcare 'B-' notes rating on watch negative ,Overview      -- U.S. behavioral health care provider Acadia Healthcare Co. Inc.  plans to acquire two behavioral health care companies with a total purchase price of about $260 million.      -- We expect the transaction to be financed with close to $200 million of  equity  following their proposed offering  with the remainder financed with  new debt.       -- We are affirming our 'B' corporate credit rating as a result of the  planned acquisition. We are placing the 'B-' issue-level rating on t,topStory
NFLX,Netflix Inc,20121205,Starz could benefit from skipping Disney deal - analysts ,Dec 5 Passing on a pricy Disney distribution deal could help premium movie channel Starz become a more attractive acquisition target for media companies when Liberty Media spins it off in late December or January  analysts say.,normal
NFLX,Netflix Inc,20121205,Netflix says it won't raise prices after Disney deal ,NEW YORK  Dec 5 Netflix Inc doesn't plan to pass along the cost o f the rights to Walt Disney Co  movies to subscribers  a senior Netflix executive said on Wednesday.,normal
NFLX,Netflix Inc,20121205,Netflix to get Disney films in TV distribution deal ,Walt Disney gave a much needed boost to Netflix  becoming the first major Hollywood studio to use the video service to bypass premium channels like HBO that traditionally controlled the delivery of movies to TV subscribers.,normal
NFLX,Netflix Inc,20121205,UPDATE 4-Netflix to get Disney films in TV distribution deal ,* Disney movies will be available on Netflix starting 2016,normal
NWS,News Corporation,20121205,Mother of News Corp Chairman Rupert Murdoch dies at 103 ,NEW YORK Dame Elisabeth Murdoch  mother of News Corp. Chairman and Chief Executive Rupert Murdoch  died Wednesday night in her Melbourne home. She was 103.,topStory
NWS,News Corporation,20121205,Mother of News Corp Chairman Rupert Murdoch dies at 103 ,NEW YORK  Dec 5 Dame Elisabeth Murdoch  mother of News Corp. Chairman and Chief Executive Rupert Murdoch  died Wednesday night in her Melbourne home. She was 103.,normal
NWSA,News Corporation,20121205,Mother of News Corp Chairman Rupert Murdoch dies at 103 ,NEW YORK Dame Elisabeth Murdoch  mother of News Corp. Chairman and Chief Executive Rupert Murdoch  died Wednesday night in her Melbourne home. She was 103.,topStory
NWSA,News Corporation,20121205,Mother of News Corp Chairman Rupert Murdoch dies at 103 ,NEW YORK  Dec 5 Dame Elisabeth Murdoch  mother of News Corp. Chairman and Chief Executive Rupert Murdoch  died Wednesday night in her Melbourne home. She was 103.,normal
QCOM,QUALCOMM Incorporated,20121205,Hon Hai's Gou says talks on investment in Sharp still on: paper ,TAIPEI Qualcomm's tie-up with Sharp Corp will not affect Hon Hai Precision's talks with the Japanese firm to become its biggest shareholder and the deadline to reach a decision by next March still stands  a Taiwan newspaper reported on Wednesday  quoting Hon Hai's chairman.,topStory
QCOM,QUALCOMM Incorporated,20121205,Hon Hai's Gou says talks on investment in Sharp still on-paper ,TAIPEI  Dec 5 Qualcomm's tie-up with Sharp Corp will not affect Hon Hai Precision's talks with the Japanese firm to become its biggest shareholder and the deadline to reach a decision by next March still stands  a Taiwan newspaper reported on Wednesday  quoting Hon Hai's chairman.,normal
RYAAY,Ryanair Holdings plc,20121205,Ryanair passenger numbers up 5 pct in November ,DUBLIN  Dec 5 Ryanair said passenger numbers grew by 5 percent in November compared to the same period last year as it flew 4.9 million passengers.,topStory
RYAAY,Ryanair Holdings plc,20121205,EasyJet and Ryanair see London delays after snowfall ,LONDON EasyJet and Ryanair expect delays to flights from London's Stansted and Luton airports on Wednesday after runways were closed due to snowfall and freezing conditions.,normal
SASR,Sandy Spring Bancorp Inc,20121205,Underlying private-sector jobs growth was around 150 000 in November: ADP ,NEW YORK Underlying jobs growth in the U.S. private sector was around 150 000 in November after superstorm Sandy and seasonal factors are taken into account  compilers of a private-sector jobs report said on a conference call on Wednesday.,topStory
SBUX,Starbucks Corporation,20121205,Starbucks CEO says in talks on UK tax payment ,Starbucks Corp  Chief Executive Howard Schultz on Wednesday said the coffee chain is in talks about paying income taxes in the UK  despite the fact the company has not made a profit in that market for many years.,topStory
SBUX,Starbucks Corporation,20121205,Starbucks CEO says in talks on UK tax payment ,Dec 5 Starbucks Corp Chief Executive Howard Schultz on Wednesday said the coffee chain is in talks about paying income taxes in the UK  despite the fact the company has not made a profit in that market for many years.,normal
SBUX,Starbucks Corporation,20121205,Starbucks back on expansion path in Americas  China ,NEW YORK Starbucks Corp plans to increase the number of its cafes in the Americas by more than 20 percent by opening more than 3 000 new shops there in the next five years as it looks to rely on tea and juice as much as coffee  it said on Wednesday.,normal
SBUX,Starbucks Corporation,20121205,UPDATE 3-Starbucks back on expansion path in Americas  China ,* Plans 3 000 new Americas stores by 2017  over half in US,normal
SBUX,Starbucks Corporation,20121205,BRIEF-Starbucks Asia same-store sales holding up-exec ,Dec 5 Starbucks Corp :  * China/asia pacific president says same-store sales in the region are holding,normal
SBUX,Starbucks Corporation,20121205,Starbucks back on expansion path in Americas  China ,NEW YORK Starbucks Corp plans to open more than 3 000 new shops in the Americas in the next five years  an increase of more than 20 percent  as it pushes a growth strategy that relies on tea and juice as much as coffee  the world's largest coffee chain said on Wednesday.,normal
SBUX,Starbucks Corporation,20121205,Starbucks CEO says company done with deals for now ,Starbucks Corp has no plans for further acquisitions at the moment after a spate of recent deals  Chief Executive Howard Schultz said on Wednesday.,normal
SBUX,Starbucks Corporation,20121205,Starbucks CEO says company done with deals for now ,Dec 5 Starbucks Corp has no plans for further acquisitions at the moment after a spate of recent deals  Chief Executive Howard Schultz said on Wednesday.,normal
