AMCX,AMC Networks Inc,20121102,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before Nov. 8 - please click on or .       - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Nov           Q3 2012 AAON                                  0.23     1     0.23 08 Nov    BMO    Q3 2012 Advance Auto Parts                       1.22    20   ,topStory
DLBL,Barclays PLC,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
DTYL,Barclays PLC,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
DTYL,Barclays PLC,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
CME,CME Group Inc,20121102,US regulation may prompt iron ore swaps volume migration ,* SGX cleared record iron ore volumes of 17.7 mln in Sep.,topStory
ERIC,Ericsson,20121102,NORDIC STOCKS - Factors to watch on Nov 2 ,HELSINKI  Nov 2 The following stocks may be affected by newspaper reports and other factors on Friday:,topStory
FB,Facebook Inc,20121102,Facebook's Sandberg sells $7.4 million in stock ,SAN FRANCISCO Facebook Inc Chief Operating Officer Sheryl Sandberg and two other executives at the social networking company sold millions of dollars worth of stock this week as restrictions on insider trading expired.,topStory
FB,Facebook Inc,20121102,UPDATE 1-Facebook's Sandberg sells $7.4 mln in stock ,SAN FRANCISCO  Nov 2 Facebook Inc Chief Operating Officer Sheryl Sandberg and two other executives at the social networking company sold millions of dollars worth of stock this week as restrictions on insider trading expired.,normal
FB,Facebook Inc,20121102,Facebook's Sandberg sells $7.4 mln in stock ,SAN FRANCISCO  Nov 2 Facebook Inc Chief Operating Officer Sheryl Sandberg and two other executives at the social networking company sold millions of dollars worth of stock this week as restrictions on insider trading expired.,normal
GRPN,Groupon Inc,20121102,Groupon responds to SEC inquiry on accounting ,SAN FRANCISCO Groupon Inc  responding to regulators' inquiries into a controversial revision of its fourth-quarter results and handling of refunds  has promised to shore up disclosure but stopped short of agreeing to outline the performance of individual products from travel to concert deals.,topStory
ICON,Iconix Brand Group Inc,20121102,TEXT-S&P revises Iconix outlook to stable from positive ,Overview      -- New York City-based consumer products company Iconix Brand Group  announced a proposed $600 million securitization program that could be further  upsized to $1.1 billion.       -- We forecast pro forma credit ratios to weaken  and believe the  company's incremental debt capacity points to a continued aggressive financial  policy  particularly with respect to future potential debt-financed  acquisitions and share repurchases.       -- We are revising our 'B+' rating outlook on th,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
FLAT,iPath US Treasury Flattener ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
FLAT,iPath US Treasury Flattener ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
STPP,iPath US Treasury Steepener ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
STPP,iPath US Treasury Steepener ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
JBLU,JetBlue Airways Corporation,20121102,UPDATE 3-Delta  JetBlue see Sandy hurting 4th-quarter results ,* US Airways  United  American load extra fuel as precaution,topStory
MSFT,Microsoft Corporation,20121102,RPT-UPDATE 1-Microsoft vs Google trial raises concerns over secrecy , ,topStory
MSFT,Microsoft Corporation,20121102,RPT-UPDATE 1-Microsoft vs Google trial raises concerns over secrecy ,SAN FRANCISCO  Nov 2 Two weeks before a high-stakes trial pitting Google's Motorola Mobility unit against Microsoft  Google made what has become a common request for a technology company fighting for billions of dollars: A public court proceeding  conducted largely in secret.,normal
MSFT,Microsoft Corporation,20121102,Microsoft vs Google trial raises concerns over secrecy ,SAN FRANCISCO Two weeks before a high-stakes trial pitting Google's Motorola Mobility unit against Microsoft  Google made what has become a common request for a technology company fighting for billions of dollars: A public court proceeding  conducted largely in secret.,normal
MSFT,Microsoft Corporation,20121102,UPDATE 1-Microsoft vs Google trial raises concerns over secrecy ,SAN FRANCISCO  Nov 2 Two weeks before a high-stakes trial pitting Google's Motorola Mobility unit against Microsoft  Google made what has become a common request for a technology company fighting for billions of dollars: A public court proceeding  conducted largely in secret.,normal
MSFT,Microsoft Corporation,20121102,BRIEF-Moody's rates Microsoft's proposed debt Aaa ,Nov 2 Microsoft Corp :  * Moody's assigns aaa rating to microsoft's proposed debt issuance  * Rpt-moody's assigns aaa rating to microsoft's proposed debt issuance,normal
MSFT,Microsoft Corporation,20121102,RPT-Microsoft vs Google trial raises concerns over courtroom secrecy ,SAN FRANCISCO  Nov 2 Two weeks before trial in a high-stakes lawsuit pitting Google's Motorola Mobility unit against Microsoft  Google made what has become a common request for a tech company fighting for billions of dollars: a public court proceeding conducted largely in secret.,normal
MSFT,Microsoft Corporation,20121102,Microsoft vs Google trial raises concerns over courtroom secrecy ,SAN FRANCISCO  Nov 1 Two weeks before trial in a high-stakes lawsuit pitting Google's Motorola Mobility unit against Microsoft  Google made what has become a common request for a tech company fighting for billions of dollars: a public court proceeding conducted largely in secret.,normal
MDLZ,Mondelez International Inc,20121102,Kraft Foods approves $650 mln restructuring plan ,Nov 2 Kraft Foods Group Inc  which sells Planters peanuts  Oscar Mayer lunch meat and Velveeta cheese  said it approved a $650 million restructuring plan related to its spin-off from Kraft Foods Inc in October.,topStory
OFIX,Orthofix International NV,20121102,UPDATE 1-Spinal products maker Orthofix settles fraud case ,WASHINGTON  Nov 2 Orthofix International NV  has agreed to pay $30 million to settle allegations that it paid illegal kickbacks to physicians  the U.S. Justice Department said on Friday.,topStory
OFIX,Orthofix International NV,20121102,Spinal products maker Orthofix to pay $30 mln in fraud case ,WASHINGTON  Nov 2 Orthofix International NV  has agreed to pay $30 million to settle allegations that it paid illegal kickbacks to physicians  the U.S. Justice Department said on Friday.,normal
SASR,Sandy Spring Bancorp Inc,20121102,Sandy caused "major damage" to U.N. headquarters: official ,UNITED NATIONS The United Nations headquarters suffered severe damage when Sandy  a massive storm that hit the U.S. East Coast this week  caused heavy flooding at the world body's Manhattan complex along the East River  the U.N. security chief said on Thursday.,topStory
TGA,Transglobe Energy Corp,20121102,TransGlobe Energy shares rise on report of Egypt block wins ,Nov 2 Canada's TransGlobe Energy Corp  has won four of the 15 blocks on offer in an onshore licensing round in Egypt  oil and gas newspaper Upstream reported on Thursday.,topStory
WLB,Westmoreland Coal Company,20121102,TEXT-S&P raises Westmoreland Coal rating to 'B-' ,Overview      -- U.S.-based Westmoreland Coal Co.'s liquidity has improved after it negotiated less restrictive covenants for a term loan and obtained a new  asset-backed revolving credit facility.      -- We are raising our ratings on Westmoreland  including the corporate  credit rating and issue-level rating  to 'B-' from 'CCC+'.      -- The stable rating outlook reflects our view that Westmoreland will  maintain an EBITDA cushion of at least 15% over its revised covenants for the  next year o,topStory
AIR,AAR Corp,20121102,No discussion of shares vs cash for AAR's TNK-BP deal ,MOSCOW Russian oil giant Rosneft  has not suggested that the tycoons selling out of smaller rival TNK-BP  receive payment in stock rather than cash  a source familiar with the matter said.,topStory
AET,Aetna Inc,20121102,BRIEF-Moody's rates Aetna's notes Baa1  rating on review for downgrade ,Nov 2 Aetna Inc :  * Moody's rates aetna's senior notes baa1; rating on review for downgrade  * Rpt-moody's rates aetna's senior notes baa1; rating on review for downgrade,topStory
AET,Aetna Inc,20121102,TEXT-Fitch expects to rates Aetna planned issue 'A-' ,Nov 2 - Fitch Ratings said today that it expects to assign 'A-' ratings to Aetna Inc.'s (AET) planned issue of approximately $2 billion of senior unsecured notes and to concurrently place the notes on Rating Watch Negative.  The 'A-' ratings and Rating Watch Negative status are equivalent to Fitch's ratings and Rating Watch status on AET's currently outstanding senior unsecured notes.  Fitch's expectation is that the notes will be issued with a mix of maturities and that proceeds will be used to,normal
AIG,American International Group Inc,20121102,AIG to focus on managing debt rather than buybacks ,American International Group Inc  will focus on managing its debt coverage ratio rather than share buybacks now that the Federal Reserve has become the company's primary regulator  Chief Executive Bob Benmosche said on Friday.,topStory
AIG,American International Group Inc,20121102,UPDATE 1-AIG to focus on managing debt rather than buybacks ,Nov 2 American International Group Inc  will focus on managing its debt coverage ratio rather than share buybacks now that the Federal Reserve has become the company's primary regulator  Chief Executive Bob Benmosche said on Friday.,normal
AIG,American International Group Inc,20121102,AIG would like to pay dividend in 2013: CEO ,Insurer American International Group Inc  would like to pay a dividend in 2013 if it could  subject to discussions with regulators  Chief Executive Bob Benmosche said on Friday.,normal
AIG,American International Group Inc,20121102,AIG would like to pay dividend in 2013 - CEO ,Nov 2 Insurer American International Group Inc  would like to pay a dividend in 2013 if it could  subject to discussions with regulators  Chief Executive Bob Benmosche said on Friday.,normal
AIG,American International Group Inc,20121102,AIG says will focus on managing debt rather than buybacks ,Nov 2 American International Group Inc  will focus on managing its debt coverage ratio rather than share buybacks now that the Federal Reserve has become the company's primary regulator  Chief Executive Bob Benmosche said on Friday.,normal
AU,AngloGold Ashanti Limited,20121102,AngloGold says sit-ins at South Africa mines resolved ,JOHANNESBURG AngloGold Ashanti  said on Friday work at both its Mponeng and TauTona mines in South Africa should resume on Sunday following the resolution of sit-ins protests over bonus payments.,topStory
AU,AngloGold Ashanti Limited,20121102,AngloGold suspends operations at South Africa mine due to sit-in ,JOHANNESBURG AngloGold Ashanti   the world's third largest gold producer  has suspended operations at its TauTona mine in South Africa due to a worker sit-in protest over a bonus payment  the company said on Friday.,normal
AZO,AutoZone Inc,20121102,New Issue- Autozone sells $300 mln in notes ,Nov 2 Autozone Inc on Thursday sold $300 million of notes  said IFR  a Thomson Reuters service.      Barclays Capital  Bank of America Merrill Lynch and SunTrust were the joint bookrunning managers for the sale.  BORROWER: AUTOZONE  AMT $300 MLN    COUPON 2.875 PCT   MATURITY    01/15/2022    TYPE NTS        ISS PRICE 99.672   FIRST PAY   07/15/2013  MOODY'S Baa2    YIELD 2.912 PCT    SETTLEMENT  11/13/2012    S&P TRIPLE-B    SPREAD 120 BPS     PAY FREQ    SEMI-ANNUAL FITCH TRIPLE-B ,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20121102,Reyal Urbis losses deepen in stagnant Spanish property market ,MADRID  Nov 2 Spanish real estate group Real Urbis  in talks to refinance 4 billion euros ($5.17 billion) of debt  reported a sharp drop in nine-month revenue with a net loss of 258 million euros.,topStory
SAN,Banco Santander SA,20121102,TEXT-S&P cuts ratings on 11 notes in five Spanish SME deals ,OVERVIEW      -- We consider there to be a direct ratings link between the ratings on  various tranches in Empresas Banesto 1  Empresas Banesto 2  Santander Empresas  4  Santander Hipotecario 3  and Santander Hipotecario 6--and the ratings on  Banco Santander and Banco Espanol de Credito  as counterparties in these  transactions.      -- This ratings link exists because the issuers of these transactions  have not taken any remedy actions since the previous downgrades of Banco  Santander and Banc,topStory
SAN,Banco Santander SA,20121102,Reyal Urbis losses deepen in stagnant Spanish property market ,MADRID  Nov 2 Spanish real estate group Real Urbis  in talks to refinance 4 billion euros ($5.17 billion) of debt  reported a sharp drop in nine-month revenue with a net loss of 258 million euros.,normal
BAC,Bank of America Corporation,20121102,BofA may already be above global capital standards: CFO ,Bank of America Corp  could already be above capital requirements issued on Thursday by global regulators  the bank's chief financial officer said.,topStory
BAC,Bank of America Corporation,20121102,UPDATE 1-BofA may already be above global capital standards-CFO ,Nov 2 Bank of America Corp could already be above capital requirements issued on Thursday by global regulators  the bank's chief financial officer said.,normal
BAC,Bank of America Corporation,20121102,Potbelly Sandwich hires banks for 2013 IPO: sources ,NEW YORK Potbelly Sandwich Shop  a restaurant chain that sells submarine sandwiches and shakes  has hired bankers for a potential initial public offering next year  according to people familiar with the matter.,normal
BAC,Bank of America Corporation,20121102,Potbelly Sandwich hires banks for 2013 IPO -sources ,NEW YORK  Nov 2 Potbelly Sandwich Shop  a restaurant chain that sells submarine sandwiches and shakes  has hired bankers for a potential initial public offering next year  according to people familiar with the matter.,normal
BAC,Bank of America Corporation,20121102,BofA may already be above global capital standards-CFO ,Nov 2 Bank of America Corp could already be above capital requirements issued Thursday by global regulators  the bank's chief financial officer said.,normal
BAC,Bank of America Corporation,20121102,BRIEF-Bank of America CFO bruce Thompson says bank feels 'very good' about how it's capital compares to peers ,Nov 2 Bank of America Corp :  * CFO bruce Thompson says bank feels 'very good' about how it's capital,normal
BK,Bank Of New York Mellon Corporation (The),20121102,MOVES-UBS  AIA  Baird Investment ,Nov 2 The following financial services industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
BCS,Barclays PLC,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
BBY,Best Buy Co Inc,20121102,Best Buy reschedules analyst day postponed by Hurricane Sandy ,Best Buy Co Inc  on Friday rescheduled its analyst day for November 13 in New York  after postponing it because of Hurricane Sandy.,topStory
BA,Boeing Company (The),20121102,Boeing wins $4 billion contract for Saudi fighter jet fleet ,WASHINGTON Boeing Co  has secured a contract valued at $4 billion to modernize the Royal Saudi Arabian Air Force's fighter jet fleet  the Pentagon said on Friday.,topStory
BA,Boeing Company (The),20121102,UPDATE 1-Boeing wins $4 bln contract for Saudi fighter jet fleet ,WASHINGTON  Nov 2 Boeing Co has secured a contract valued at $4 billion to modernize the Royal Saudi Arabian Air Force's fighter jet fleet  the Pentagon said on Friday.,normal
BA,Boeing Company (The),20121102,Boeing wins $4 bln contract as part of Saudi arms deal-Pentagon ,WASHINGTON  Nov 2 Boeing Co. has won a contract valued at $4 billion for fighter jet fleet upgrades for the Saudi Arabian Air Force  the Pentagon said on Friday.,normal
BA,Boeing Company (The),20121102,Boeing says future United 787s will arrive on time ,Boeing said it expects to deliver future 787 Dreamliner jets to United Airlines on schedule  after the airline said Thursday it that it was concerned future deliveries could be delayed.,normal
BP,BP plc,20121102,BP replaces Azeri head following oil output spat ,BAKU British oil major BP  replaced Rashid Javanshir as its regional head in Azerbaijan  Georgia and Turkey  the company said in a statement on Friday  following criticism from the country's leadership over declining oil output.,topStory
BP,BP plc,20121102,No discussion of shares vs cash for AAR's TNK-BP deal ,MOSCOW Russian oil giant Rosneft  has not suggested that the tycoons selling out of smaller rival TNK-BP  receive payment in stock rather than cash  a source familiar with the matter said.,normal
BP,BP plc,20121102,UPDATE 1-Petrobras says makes natural gas discovery in Peru ,RIO DE JANEIRO  Nov 1 Petroleo Brasileiro SA   Brazil's state-led oil company  said on Thursday it had discovered 56.6 billion cubic meters (2 trillion cubic feet) of natural gas at three wells in Peru.,normal
BMY,Bristol-Myers Squibb Company,20121102,UK cost agency backs melanoma drugs after price cuts ,LONDON  Nov 2 Two new drugs for skin cancer have been recommended for use on Britain's state-run health service after the rival manufacturers - Roche and Bristol-Myers Squibb - agreed to cut their prices.,topStory
BPL,Buckeye Partners LP,20121102,PSEG restores power to 1 million  Bayway refinery  Buckeye pipeline ,NEW YORK Public Service Enterprise Group Inc said on Friday that it still had 690 000 customers without power but had restored power to more than 1 million.,topStory
BPL,Buckeye Partners LP,20121102,PSEG restores power to 1 mln  Bayway refinery  Buckeye pipeline ,NEW YORK  Nov 2 Public Service Enterprise Group Inc said on Friday that it still had 690 000 customers without power but had restored power to more than 1 million.,normal
CM,Canadian Imperial Bank of Commerce,20121102,CIBC and Rogers to launch mobile wallet Nov. 16 ,TORONTO  Nov 2 Canadian Imperial Bank of Commerce and Rogers Communications Inc will roll out their "mobile wallet" on Nov. 16  opening the door for Canadians to pay for purchases with a quick tap of their smartphone  the companies said Friday.,topStory
COF,Capital One Financial Corporation,20121102,New Issue - Capital One Financial sells $1 bln in notes ,Nov 2 Capital One Financial Corp on Thursday sold $1 billion of senior notes in two parts  said IFR  a Thomson Reuters service.      Barclays Capital  Credit Suisse and RBS were the joint bookrunning managers for the sale.  BORROWER: CAPITAL ONE  TRANCHE 1 AMT $750 MLN    COUPON 1 PCT       MATURITY    11/06/2015   TYPE SR NTS     ISS PRICE 99.691   FIRST PAY   05/06/2013  MOODY'S Baa1    YIELD 1.105 PCT    SETTLEMENT  11/06/2012    S&P TRIPLE-B    SPREAD 73 BPS      PAY FREQ    SEMI,topStory
CNC,Centene Corporation,20121102,BRIEF-Moody's affirms Centene senior debt rating at Ba2 ,Nov 2 Centene Corp :  * Moody's affirms Centene (sr debt at ba2); outlook to negative; rates new,topStory
CHK,Chesapeake Energy Corporation,20121102,Chesapeake: debt-paring target may be pushed into 2013 ,Chesapeake Energy Corp's  target to pare debt to $9.5 billion or less by the end of the year may be pushed into 2013  along with some deal closings  the company's chief financial officer told analysts on Friday.,topStory
CHK,Chesapeake Energy Corporation,20121102,UPDATE 2-Chesapeake: debt-paring target may be pushed into 2013 ,* Mississippi Lime deal "frustrating" -CEO   (Adds CEO and CFO comments  analyst comments  updates stock price),normal
CHK,Chesapeake Energy Corporation,20121102,BRIEF-Moody's rates Chesapeake Energy term loan Ba3 ,Nov 2 Chesapeake Energy Corp :  * Moody's rates Chesapeake Energy term loan ba3  outlook negative  * Rpt-moody's rates chesapeake energy term loan ba3  outlook negative,normal
CHK,Chesapeake Energy Corporation,20121102,Chesapeake says debt-paring target may be pushed into 2013 ,Nov 2 Chesapeake Energy Corp's target to pare its debt to $9.5 billion or less by the end of the year may be pushed into 2013  along with some planned deal closings  the company's chief financial officer told analysts Friday.,normal
CHK,Chesapeake Energy Corporation,20121102,BRIEF-Chesapeake CFO says year-end 2012 debt target may slip ,HOUSTON  Nov 2 Chesapeake Energy Corp :  * CFO says year-end 2012 debt reduction target may slip to early 2013  * CFO deals planned for closing in 2012 May slip into 2013  * CFO says company running 89 rigs  down 46 percent year-to-date  * COO says company's natural gas production peaked in Q3  * COO says drilling capex in Q4 will show a material decrease  * CEO says expects 2013 capital expenditures to be about a third lower than,normal
CVX,Chevron Corporation,20121102,Chevron profit down on reduced output  weak refining ,Chevron Corp posted earnings on Friday that were much lower than expected as maintenance exacerbated a decline this year in oil and natural gas production  and shares of the second-largest U.S. oil company slid 2.5 percent.,topStory
CVX,Chevron Corporation,20121102,Chevron declares force majeure at Angola's Kuito ,GENEVA U.S. oil major Chevron said on Friday that Angolan subsidiary Cabinda Gulf Oil Company had declared force majeure at the Kuito offshore oil terminal on October 29 due to a fault with a mooring line.,normal
CVX,Chevron Corporation,20121102,UPDATE 3-Chevron profit down on reduced output  weak refining ,* Profit ex-items $2.55/share  misses $2.83 analysts' view,normal
CVX,Chevron Corporation,20121102,BRIEF-Chevron sees Richmond crude unit starting up in Q1 ,Nov 2 Chevron Corp :  * Says Richmond crude unit expected to start up in Q1 of next year  * Says expects 2012 oil and gas production to be 97 percent of its original,normal
CVX,Chevron Corporation,20121102,UPDATE 2-Chevron declares force majeure at Angola's Kuito ,GENEVA  Nov 2 U.S. oil major Chevron  said on Friday that Angolan subsidiary Cabinda Gulf Oil Company had declared force majeure at the Kuito offshore oil terminal on October 29 due to a fault with a mooring line.,normal
CVX,Chevron Corporation,20121102,Chevron profit drops on lower oil production  maintenance work ,Nov 2 Chevron Corp posted a drop in quarterly profit on Friday as maintenance exacerbated a steady decline in production from its oil and natural gas wells over the past year and as a massive fire at one of its California refineries hit the refining business.,normal
CVX,Chevron Corporation,20121102,Chevron declares force majeure at Angola's Kuito ,GENEVA U.S. oil major Chevron  said on Friday that its Angolan subsidiary Cabinda Gulf Oil Company had declared force majeure at the Kuito offshore oil terminal on October 29  without giving a reason.,normal
CVX,Chevron Corporation,20121102,Chevron declares force majeure at Angolan oil terminal ,GENEVA  Nov 2 U.S. oil major Chevron  said on Friday that its Angolan subsidiary Cabinda Gulf Oil Company had declared force majeure at the Kuito offshore oil terminal on October 29  without giving a reason.,normal
CBB,Cincinnati Bell Inc,20121102,TEXT-S&P rates Cincinnati Bell revolving credit facility 'BB-' ,Nov 2 - Standard & Poor's Ratings Services assigned on Oct. 30  2012 its 'BB-' issue-level rating and '1' recovery rating to Cincinnati-based Cincinnati Bell Inc. (CBI)'s proposed $200 million revolving credit facility due 2017. The '1' recovery rating indicates our expectation for very high (90% to 100%) recovery for lenders in the event of a payment default.  CBI will be refinancing its existing $210 million revolving credit facility  due 2014. In addition  we expect the company to repay all o,topStory
CBB,Cincinnati Bell Inc,20121102,TEXT-S&P assigns CyrusOne Inc 'B' rating ,Overview      -- U.S. data center operator CyrusOne Inc.  currently a wholly-owned  subsidiary of Cincinnati Bell Inc. (CBI)  is planning to become an  unrestricted subsidiary of CBI  and raise stand-alone debt financing and  conduct an IPO.      -- We are assigning our 'B' corporate credit to CyrusOne.      -- At the same time  we are assigning ratings to operating subsidiary  CyrusOne LP's proposed $225 million secured revolving credit facility due 2017  and proposed $500 million senior unsecu,normal
CCO,Clear Channel Outdoor Holdings Inc,20121102,Clear Channel Outdoor revenue falls short  shares skid ,Clear Channel Outdoor Holdings Inc's  quarterly revenue fell short of expectations as the outdoor advertising company's international sales slipped  particularly in Europe  sending its shares down 6 percent in early trading.,topStory
CCO,Clear Channel Outdoor Holdings Inc,20121102,UPDATE 2-Clear Channel Outdoor revenue falls short  shares skid ,Nov 2 Clear Channel Outdoor Holdings Inc's  quarterly revenue fell short of expectations as the outdoor advertising company's international sales slipped  particularly in Europe  sending its shares down 6 percent in early trading.,normal
