AMZN,Amazoncom Inc,20121109,Amazon unveils wine marketplace in some U.S. states ,SAN FRANCISCO Amazon.com Inc unveiled a new online wine marketplace on Thursday  in the company's second attempt to crack a sector curtailed by a tangle of complex regulations.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
FLAT,iPath US Treasury Flattener ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
FLAT,iPath US Treasury Flattener ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
FLAT,iPath US Treasury Flattener ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
FLAT,iPath US Treasury Flattener ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
FLAT,iPath US Treasury Flattener ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
FLAT,iPath US Treasury Flattener ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
STPP,iPath US Treasury Steepener ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
STPP,iPath US Treasury Steepener ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
STPP,iPath US Treasury Steepener ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
STPP,iPath US Treasury Steepener ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
STPP,iPath US Treasury Steepener ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
STPP,iPath US Treasury Steepener ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
JBLU,JetBlue Airways Corporation,20121109,JetBlue pilot who had midair meltdown ordered released from prison ,SAN ANTONIO The JetBlue Airways pilot whose behavior on a flight forced the plane to make an emergency landing in Texas was ordered conditionally released by a federal judge in Amarillo  Texas  on Friday.,topStory
JBLU,JetBlue Airways Corporation,20121109,JetBlue pilot who had midair meltdown ordered released from prison ,SAN ANTONIO  Nov 9 The JetBlue Airways pilot whose behavior on a flight forced the plane to make an emergency landing in Texas was ordered conditionally released by a federal judge in Amarillo  Texas  on Friday.,normal
NCMI,National CineMedia Inc,20121109,TEXT-S&P rates National CineMedia ,Overview      -- U.S.-based theater advertising company National CineMedia LLC is  amending and extending its senior secured term loan.      -- We are assigning the amended and extended facilities a 'BB-'  issue-level rating and a '3' recovery rating  the same as the existing term  loan ratings.      -- The stable rating outlook on the corporate credit rating reflects our  expectation that National CineMedia Inc. will maintain leverage in the high 3x to 4x range over the intermediate term  despi,topStory
NFLX,Netflix Inc,20121109,UPDATE 1-Icahn says has considered Netflix takeover  no decision made ,Nov 8 Activist investor Carl Icahn said on Thursday he has considered a hostile takeover bid for Netflix  but was uncertain he stood a chance of acquiring the Internet streaming service in which he holds a 10 percent stake.,topStory
NVDA,NVIDIA Corporation,20121109,Nvidia eyes lower quarterly revenue  starts dividend ,SAN FRANCISCO Nvidia  forecast revenue below expectations due to a slowdown in tablet-processor shipments and a troubled PC market but shares of the graphics chipmaker rose on the announcement of a quarterly dividend.,topStory
NVDA,NVIDIA Corporation,20121109,UPDATE 3-Nvidia eyes lower quarterly revenue  starts dividend ,SAN FRANCISCO  Nov 8 Nvidia forecast revenue below expectations due to a slowdown in tablet-processor shipments and a troubled PC market but shares of the graphics chipmaker rose on the announcement of a quarterly dividend.,normal
SASR,Sandy Spring Bancorp Inc,20121109,New tax relief for Sandy victims and volunteers ,NEW YORK The hard-hit victims of superstorm Sandy have received donations of blankets  cleaning supplies and diapers. Now there may be more aid flowing their way: tax help.,topStory
SASR,Sandy Spring Bancorp Inc,20121109,Can customers sue power companies for outages? Frankel ,(Alison Frankel writes the On the Case blog for Thomson Reuters News & Insight http://newsandinsight.com. The views expressed are her own.),normal
SLRC,Solar Capital Ltd,20121109,TEXT-Fitch expects to rate Solar Capital notes 'BBB-' ,Nov 9 - Fitch Ratings expects to rate Solar Capital Ltd.'s $100 million senior unsecured notes 'BBB-'. The notes are expected to mature in 2042.  Fitch does not believe there will be a material impact on the company's leverage levels as a result of the issuance  as proceeds will primarily be used to repay borrowings on secured credit facilities. Leverage  as measured by debt-to-equity  was .28x at Sept. 30  2012. Solar's leverage is low relative to the BDC peer average of 0.55x as of 2Q'12  offs,topStory
STRA,Strayer Education Inc,20121109,New campuses weigh on Strayer's forecast; dividend suspended ,Strayer Education Inc  forecast a weak fourth quarter and said it would not pay regular dividends in 2013  as it spends on new campus openings amid anemic new student enrollments.,topStory
STRA,Strayer Education Inc,20121109,UPDATE 1-Strayer forecasts weak 4th-qtr profit  suspends dividend ,* Expects fourth-quarter earnings $1.43-$1.45 per share vs est $1.59,normal
STRA,Strayer Education Inc,20121109,Strayer 4th-qtr profit forecast below estimates ,Nov 9 For-profit education company Strayer Education Inc forecast fourth-quarter profit much below analysts' expectations  and said it would not pay a regular quarterly dividend in 2013.,normal
CG,The Carlyle Group LP,20121109,Carlyle hopes third time the charm for Japanese IPO ,TOKYO  Nov 9 Private equity group Carlyle Group LP will sell part of its stake in a Japanese restaurant chain operator Chimney Co in an initial public offering in December  its third attempt to list a Japanese asset this year.,topStory
TCGP,The Carlyle Group LP,20121109,Carlyle hopes third time the charm for Japanese IPO ,TOKYO  Nov 9 Private equity group Carlyle Group LP will sell part of its stake in a Japanese restaurant chain operator Chimney Co in an initial public offering in December  its third attempt to list a Japanese asset this year.,topStory
AET,Aetna Inc,20121109,Aetna says DOJ asked for more information on Coventry buy ,Aetna Inc  which in August agreed to buy smaller Coventry Health Care Inc for $5.6 billion  on Friday said that antitrust regulators have asked the companies for more information related to their review of the deal.,topStory
AET,Aetna Inc,20121109,UPDATE 1-Aetna says DOJ asked for more information on Coventry buy ,Nov 9 Aetna Inc  which in August agreed to buy smaller Coventry Health Care Inc for $5.6 billion  on Friday said that antitrust regulators have asked the companies for more information related to their review of the deal.,normal
AET,Aetna Inc,20121109,Aetna says DOJ asked for more information about Coventry buy ,Nov 9 Aetna Inc  which in August agreed to buy smaller Coventry Health Care Inc for $5.6 billion  said on Friday that antitrust regulators have asked the companies for more information related to their review of the deal.,normal
AXP,American Express Company,20121109,UPDATE 1-U.S. Supreme Court to review Amex arbitration case ,Nov 9 The U.S. Supreme Court on Friday agreed to consider whether American Express Co may invoke an arbitration clause to prevent merchant customers from banding together in an antitrust lawsuit against the company.,topStory
AXP,American Express Company,20121109,U.S. Supreme Court to review Amex arbitration case ,Nov 9 The U.S. Supreme Court on Friday agreed to consider whether American Express Co may invoke an arbitration clause to prevent its merchant customers from banding together in an antitrust lawsuit against the company.,normal
APO,Apollo Global Management LLC,20121109,Leon Black's Apollo Global beats forecasts  assets rise ,NEW YORK Apollo Global Management LLC   the alternative asset manager headed by billionaire Leon Black  on Friday reported better-than-expected third-quarter earnings as the value of its assets soared and it sold stakes in some companies.,topStory
APO,Apollo Global Management LLC,20121109,UPDATE 3-Leon Black's Apollo Global beats forecasts  assets rise ,* Q3 post-tax ENI per share 98 cents vs Street view 73 cents,normal
APO,Apollo Global Management LLC,20121109,BRIEF-Apollo Global Management to launch Fund VIII soon ,Nov 9 Apollo Global Management LLC President Marc Spilker on a conference call with analysts:  * Closed in September $200 million credit mandate by an insurance firm for a managed account  * Expects to commence fundraising efforts for Fund VIII soon  * Just under $1 billion raised so far for natural resources fund,normal
APO,Apollo Global Management LLC,20121109,RPT-UPDATE 2-Leon Black's Apollo posts strong gains as assets rise ,* Q3 post-tax ENI per share 98 cents vs Street view 73 cents,normal
BAC,Bank of America Corporation,20121109,TEXT - S&P corrects by reinstating 'A' rating on Bofa senior notes ,(The following statement was released by the rating agency)     Nov 9 -  Standard & Poor's Ratings Services today said it corrected by reinstating its 'A-' rating on Bank of America Corp.'s $1.25 billion 4.625% Euro senior unsecured notes  due Feb. 18  2014.  For the issuer credit rating rationale on Bank of America Corp.  (A-/Negative/A-2)  see our full analysis  published March 5  2012.  RATINGS LIST  Rating Reinstated                                         To                From Bank of Amer,topStory
BCS,Barclays PLC,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
BCS,Barclays PLC,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
BCS,Barclays PLC,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
BCS,Barclays PLC,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
BCS,Barclays PLC,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
BCS,Barclays PLC,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
BBY,Best Buy Co Inc,20121109,Exclusive: Schulze's Best Buy bid seen in December  below range ,NEW YORK An eventual bid for Best Buy Co Inc  by founder Richard Schulze could come in under his initially proposed $8 billion range and will likely not occur before December  sources familiar with the matter said  in a new twist to the months-long saga at the struggling electronics retailer.,topStory
BBY,Best Buy Co Inc,20121109,Exclusive: Schulze's Best Buy bid seen in December  below $8 billion range ,NEW YORK An eventual bid for Best Buy Co Inc by founder Richard Schulze could come below his initial proposal of around $8 billion and is now not expected to be made before December  sources familiar with the matter said  in a new twist to the months-long saga at the struggling electronics retailer.,normal
BIG,Big Lots Inc,20121109,TEXT - S&P cuts Big Lots Inc to 'BBB-' ,Overview      -- U.S. closeout retailer Big Lots' second-quarter performance was  meaningfully below our expectations.      -- We are removing the ratings on the company from CreditWatch and  lowering them to 'BBB-' from 'BBB'.      -- The negative outlook reflects our view that Big Lots' future profits  may remain below historical levels partly because of its cash-strapped  customer base.   Rating Action On Nov. 9  2012  Standard & Poor's Ratings Services removed all of its ratings  on Columbus,topStory
BA,Boeing Company (The),20121109,Analysis: Delay on Bombardier's new jet heightens price pressure ,TORONTO/VANCOUVER Bombardier Inc's  decision this week to delay the maiden flight of its new C-Series jetliner raised questions about the company's ability to deliver the jet on time - and the amount it may have to discount the price to boost sales.,topStory
BA,Boeing Company (The),20121109,Boeing on course to sell more planes than Airbus in 2012 ,Boeing Co  reported it has bagged more than 1 000 net new orders so far this year  putting the U.S. planemaker on course to sell more aircraft than European rival Airbus for the first time since 2006.,normal
BA,Boeing Company (The),20121109,Boeing on course to sell more planes than Airbus in 2012 ,Nov 9 Boeing Co reported it has bagged more than 1 000 net new orders so far this year  putting the U.S. planemaker on course to sell more aircraft than European rival Airbus for the first time since 2006.,normal
BP,BP plc,20121109,UPDATE 1-INSIGHT-After Sandy  Big Oil's pumps fail motorists ,* NY lawmaker pushes generator mandates to avert next crisis,topStory
BP,BP plc,20121109,Russian court delays hearing in BP appeal against $3 billion claim ,MOSCOW A Russian court postponed on Friday hearing in an appeal against a decision to award more than $3 billion in damages against British oil major BP  brought by minority shareholders in its Russian venture TNK-BP   a lawyer for BP said.,normal
BP,BP plc,20121109,Alaska to collect $255 million for 2006 BP pipeline leaks ,ANCHORAGE  Alaska The U.S. state of Alaska will collect $255 million related to BP Plc's pipeline leaks and a resulting shutdown in 2006 in the Prudhoe Bay oilfield  drawing a line under an accident that contributed to the British company's U.S. troubles.,normal
BP,BP plc,20121109,UPDATE 2-Alaska to collect $255 mln for 2006 BP pipeline leaks ,ANCHORAGE  Alaska  Nov 8 The U.S. state of Alaska will collect $255 million related to BP Plc's  pipeline leaks and a resulting shutdown in 2006 in the Prudhoe Bay oilfield  drawing a line under an accident that contributed to the British company's U.S. troubles.,normal
BP,BP plc,20121109,Plaintiffs  BP urge judge to approve $7.8 billion spill settlement ,NEW ORLEANS BP Plc and lawyers representing over 100 000 individuals and businesses claiming economic and medical damages from the 2010 Gulf of Mexico oil spill on Thursday urged a U.S. judge to approve a proposed $7.8 billion class-action settlement.,normal
BP,BP plc,20121109,Plaintiffs  BP urge judge to approve $7.8 billion spill settlement ,NEW ORLEANS BP Plc and lawyers representing over 100 000 individuals and businesses claiming economic and medical damages from the 2010 Gulf of Mexico oil spill on Thursday urged a U.S. judge to approve a proposed $7.8 billion class-action settlement.,normal
