AMZN,Amazoncom Inc,20151021,Ebay quarterly revenue falls 2.4 pct ,Oct 21 EBay Inc  facing intensifying competition from Amazon.com Inc as well as from traditional retailers  reported a 2.4 percent fall in revenue in its first quarterly results since the spinoff of its PayPal payments business.,topStory
EBAY,eBay Inc,20151021,EBay's profit beat shows there's life after PayPal ,EBay Inc reported a stronger-than-expected quarterly profit and raised its full-year adjusted profit forecast  helping to allay concerns about the company's prospects following the spinoff of PayPal  its main engine of growth. | Video ,topStory
EBAY,eBay Inc,20151021,UPDATE 3-EBay's profit beat shows there's life after PayPal ,* Shares up 8.5 pct after-hours   (Adds details and comments from conference call),normal
EBAY,eBay Inc,20151021,Ebay quarterly revenue falls 2.4 pct ,Oct 21 EBay Inc  facing intensifying competition from Amazon.com Inc as well as from traditional retailers  reported a 2.4 percent fall in revenue in its first quarterly results since the spinoff of its PayPal payments business.,normal
EBAYL,eBay Inc,20151021,EBay's profit beat shows there's life after PayPal ,EBay Inc reported a stronger-than-expected quarterly profit and raised its full-year adjusted profit forecast  helping to allay concerns about the company's prospects following the spinoff of PayPal  its main engine of growth. | Video ,topStory
EBAYL,eBay Inc,20151021,UPDATE 3-EBay's profit beat shows there's life after PayPal ,* Shares up 8.5 pct after-hours   (Adds details and comments from conference call),normal
EBAYL,eBay Inc,20151021,Ebay quarterly revenue falls 2.4 pct ,Oct 21 EBay Inc  facing intensifying competition from Amazon.com Inc as well as from traditional retailers  reported a 2.4 percent fall in revenue in its first quarterly results since the spinoff of its PayPal payments business.,normal
INTC,Intel Corporation,20151021,Intel says may invest up to $5.5 billion in China memory chip plant ,Intel Corp said it may invest up to $5.5 billion in manufacturing semiconductors in China  stepping up efforts to improve ties with Beijing as it seeks new revenue streams while demand for its core computer processing chips falters.,topStory
INTC,Intel Corporation,20151021,UPDATE 1-Intel says may invest up to $5.5 bln in China memory chip plant ,* SK Hynix shares end 5.7 pct lower on earnings worries   (Adds industry background  analyst comment),normal
INTC,Intel Corporation,20151021,Intel may invest up to $5.5 bln in China facility ,Oct 21 Intel Corp said it may invest up to $5.5 billion in the coming years to expand its manufacturing capacity for non-volatile memory at its Dalian facility in China.,normal
KLAC,KLA-Tencor Corporation,20151021,Lam Research to buy KLA-Tencor in $10.6 billion deal ,Semiconductor equipment maker Lam Research agreed to buy rival KLA-Tencor Corp in a deal valued at about $10.6 billion  the latest in a string of acquisitions in the chip industry.,topStory
KLAC,KLA-Tencor Corporation,20151021,UPDATE 2-Lam Research to buy KLA-Tencor in $10.6 bln deal ,* KLA-Tencor's shares up 18.5 pct  Lam's up 1.7 pct   (Adds industry background),normal
KLAC,KLA-Tencor Corporation,20151021,Lam Research to buy KLA-Tencor in deal valued at $10.6 bln ,Oct 21 Semiconductor company Lam Research  said it agreed to buy KLA-Tencor Corp in a cash and stock deal valued at about $67.02 per share  or $10.6 billion.,normal
LRCX,Lam Research Corporation,20151021,Deals of the day- Mergers and acquisitions ,Oct 21 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,topStory
LRCX,Lam Research Corporation,20151021,Lam Research to buy KLA-Tencor in $10.6 billion deal ,Semiconductor equipment maker Lam Research agreed to buy rival KLA-Tencor Corp in a deal valued at about $10.6 billion  the latest in a string of acquisitions in the chip industry.,normal
LRCX,Lam Research Corporation,20151021,UPDATE 2-Lam Research to buy KLA-Tencor in $10.6 bln deal ,* KLA-Tencor's shares up 18.5 pct  Lam's up 1.7 pct   (Adds industry background),normal
LRCX,Lam Research Corporation,20151021,Lam Research to buy KLA-Tencor in deal valued at $10.6 bln ,Oct 21 Semiconductor company Lam Research  said it agreed to buy KLA-Tencor Corp in a cash and stock deal valued at about $67.02 per share  or $10.6 billion.,normal
MYL,Mylan NV,20151021,Perrigo urges judge to put Mylan offer on hold ,A lawyer for Perrigo Co on Wednesday urged a federal judge in Manhattan to stop Mylan NV from moving forward with its unsolicited offer to buy the Michigan-based drugmaker until it corrects what he called misleading statements to Perrigo shareholders.,topStory
MYL,Mylan NV,20151021,Perrigo urges judge to put Mylan offer on hold ,A lawyer for Perrigo Co  on Wednesday urged a federal judge in Manhattan to stop Mylan NV from moving forward with its unsolicited offer to buy the Michigan-based drugmaker until it corrects what he called misleading statements to Perrigo shareholders.,normal
MYL,Mylan NV,20151021,Perrigo urges judge to put Mylan offer on hold ,Oct 21 A lawyer for Perrigo Co on Wednesday urged a federal judge in Manhattan to stop Mylan NV from moving forward with its unsolicited offer to buy the Michigan-based drugmaker until it corrects what he called misleading statements to Perrigo shareholders.,normal
RYAAY,Ryanair Holdings plc,20151021,UPDATE 1-Aer Lingus says agreement on Ryanair connections possible by next year ,* Aer Lingus to fly three new U.S Routes  more in 2017   (Adds transatlantic expansion  IAG CEO quotes),topStory
SKYW,SkyWest Inc,20151021,Brazil Embraer sells another 19 E175 jets to Skywest ,RIO DE JANEIRO  Oct 21 Brazil's Embraer SA  said on Wednesday that Skywest Inc. will buy an additional 19 of its E175 regional jets to fly for Delta Airlines Inc..,topStory
SBUX,Starbucks Corporation,20151021,Starbucks to appeal EU tax decision  cites 'errors' ,BRUSSELS Starbucks Corp  said it would appeal a decision by the European Commission on Wednesday which found it benefited from unfair state aid in the Netherlands and ordered it to pay additional taxes there.,topStory
SBUX,Starbucks Corporation,20151021,Starbucks to appeal EU tax decision  cites "errors" ,BRUSSELS  Oct 21 Starbucks Corp said it would appeal a decision by the European Commission on Wednesday which found it benefited from unfair state aid in the Netherlands and ordered it to pay additional taxes there.,normal
TXN,Texas Instruments Incorporated,20151021,Texas Instruments' profit  revenue beat estimates ,Texas Instruments Inc reported better-than-expected quarterly profit and revenue  helped by higher sales of its analog and embedded chips.,topStory
TXN,Texas Instruments Incorporated,20151021,UPDATE 1-Texas Instruments' profit  revenue beat estimates ,Oct 21 Texas Instruments Inc reported better-than-expected quarterly profit and revenue  helped by higher sales of its analog and embedded chips.,normal
TXN,Texas Instruments Incorporated,20151021,Texas Instruments' revenue  profit beat estimates ,Oct 21 Texas Instruments Inc reported quarterly profit and revenue that beat market expectations  helped by higher sales of its analog and embedded chip products.,normal
FOX,Twenty-First Century Fox Inc,20151021,Australia waves through News Corp buy-in to struggling free-to-air Ten ,SYDNEY  Oct 22 Australia's antitrust regulator said on Thursday that it will let News Corp's local cable television company Foxtel buy a 15 percent stake of loss-making free-to-air broadcaster Ten Network Holdings Ltd .,topStory
FOXA,Twenty-First Century Fox Inc,20151021,Australia waves through News Corp buy-in to struggling free-to-air Ten ,SYDNEY  Oct 22 Australia's antitrust regulator said on Thursday that it will let News Corp's local cable television company Foxtel buy a 15 percent stake of loss-making free-to-air broadcaster Ten Network Holdings Ltd .,topStory
WDC,Western Digital Corporation,20151021,Western Digital to buy SanDisk in $19 bln deal ,Hard-disk drive maker Western Digital Corp  agreed to buy SanDisk Corp in a $19 billion deal that will increase its ability to make flash memory storage chips used in smartphones and tablets.,topStory
WDC,Western Digital Corporation,20151021,Western Digital to buy SanDisk in $19 billion deal ,Hard-disk drive maker Western Digital Corp  agreed to buy SanDisk Corp  in a $19 billion deal that will increase its ability to make flash memory storage chips used in smartphones and tablets. | Video ,normal
WDC,Western Digital Corporation,20151021,UPDATE 6-Western Digital to buy SanDisk in $19 bln deal ,* Deal value depends on closing of Unisplendour investment in WDC,normal
WDC,Western Digital Corporation,20151021,Deals of the day-Mergers and acquisitions ,Oct 21 The following bids  mergers  acquisitions and disposals were reported by 2130 GMT on Wednesday:,normal
WDC,Western Digital Corporation,20151021,Deals of the day- Mergers and acquisitions ,Oct 21 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,normal
WDC,Western Digital Corporation,20151021,Western Digital to buy SanDisk in $19 bln deal ,Oct 21 Hard disk drive maker Western Digital Corp said it would buy memory chip maker SanDisk Corp  in a deal valued at about $19 billion  the latest in a wave of consolidation in the chip-making industry.,normal
ABT,Abbott Laboratories,20151021,Abbott sales beat as demand for generic drugs rises ,Abbott Laboratories Inc  reported better-than-expected quarterly sales as demand rose for its generic drugs in emerging markets  including Latin America and China.,topStory
AET,Aetna Inc,20151021,Clinton has "serious concerns" about Aetna-Humana  Anthem-Cigna mergers ,WASHINGTON Democratic presidential candidate Hillary Clinton has "serious concerns" about health insurer Aetna's plan to acquire Humana and Anthem's proposal to buy Cigna  saying the multi-billion-dollar deals should be closely reviewed by U.S. regulators.,topStory
AET,Aetna Inc,20151021,Clinton has 'serious concerns' about Aetna-Humana  Anthem-Cigna mergers ,WASHINGTON Democratic presidential candidate Hillary Clinton has "serious concerns" about health insurer Aetna's plan to acquire Humana and Anthem's proposal to buy Cigna  saying the multi-billion-dollar deals should be closely reviewed by U.S. regulators.,normal
AET,Aetna Inc,20151021,UPDATE 1-Clinton has "serious concerns" about Aetna-Humana  Anthem-Cigna mergers ,WASHINGTON  Oct 21 Democratic presidential candidate Hillary Clinton has "serious concerns" about health insurer Aetna's plan to acquire Humana and Anthem's proposal to buy Cigna  saying the multi-billion-dollar deals should be closely reviewed by U.S. regulators.,normal
AET,Aetna Inc,20151021,RPT-Clinton has "serious concerns" about Aetna-Humana  Anthem-Cigna mergers ,WASHINGTON  Oct 21 Democratic presidential candidate Hillary Clinton has "serious concerns" about health insurer Aetna's plan to acquire Humana and Anthem's proposal to buy Cigna  saying the multi-billion-dollar deals should be closely reviewed by U.S. regulators.,normal
AGN,Allergan plc,20151021,Allergan clarifies on drug distribution practices ,Oct 21 Drugmaker Allergan Plc said on Wednesday that nearly all of its drugs are being distributed through traditional wholesale and retail channels.,topStory
AMT,American Tower Corporation (REIT),20151021,American Tower bulks up in India with $1.2 billion Viom stake buy ,MUMBAI American Tower Corp  has agreed to buy a 51 percent controlling stake in Indian mobile mast operator Viom Networks for 76 billion rupees ($1.17 billion) to expand in the world's second-biggest telecommunications market by number of users.,topStory
AMT,American Tower Corporation (REIT),20151021,UPDATE 2-American Tower bulks up in India with $1.2 bln Viom stake buy ,MUMBAI  Oct 21 American Tower Corp has agreed to buy a 51 percent controlling stake in Indian mobile mast operator Viom Networks for 76 billion rupees ($1.17 billion) to expand in the world's second-biggest telecommunications market by number of users.,normal
AMT,American Tower Corporation (REIT),20151021,American Tower to buy controlling stake in India's Viom for $1.2 bln ,MUMBAI  Oct 21 American Tower Corp said on Wednesday it has agreed to buy a 51 percent controlling stake in Indian mobile mast operator Viom Networks for 76 billion rupees ($1.17 billion).,normal
AMT,American Tower Corporation (REIT),20151021,American Tower set to buy control of India's Viom Networks - sources ,MUMBAI  Oct 21 American Tower Corp is set to buy a majority stake in India's Viom Networks  in a deal that could be announced as early as Wednesday  two sources directly involved in the negotiations said.,normal
AZN,Astrazeneca PLC,20151021,UPDATE 2-FDA reviewers question safety of AstraZeneca's gout drug ,Oct 21 U.S. Food and Drug Administration staff reviewers have raised concerns about kidney- and heart-related side effects noted in trials on AstraZeneca Plc's   gout treatment  especially at higher doses.,topStory
AZN,Astrazeneca PLC,20151021,FDA staff reviewers question safety of AstraZeneca's gout drug ,Staff reviewers of the U.S. Food and Drug Administration have raised questions about the safety of AstraZeneca Plc's gout treatment.,normal
AZN,Astrazeneca PLC,20151021,FDA staff reviewers question safety of AstraZeneca's gout drug ,Oct 21 U.S. Food and Drug Administration staff reviewers have raised questions about the safety of AstraZeneca Plc's  gout treatment  lesinurad.,normal
T,AT&T Inc,20151021,AT&T says third-quarter consensus revenue estimates 'inflated' ,AT&T Inc said on Wednesday that consensus revenue estimates for its third-quarter were "inflated" as they differed from its own accounting  which includes results from DirecTV  acquired by the No. 2 U.S. wireless carrier in July.,topStory
T,AT&T Inc,20151021,AT&T says Q3 consensus revenue estimates "inflated" ,Oct 21 AT&T Inc said on Wednesday that consensus revenue estimates for its third-quarter were "inflated" as they differed from its own accounting  which includes results from DirecTV  acquired by the No. 2 U.S. wireless carrier in July.,normal
BCS,Barclays PLC,20151021,Fortress in talks to buy Barclays 1 bln euro Italian mortgage pool-sources ,MILAN  Oct 21 U.S. asset manager Fortress Investment Group has entered exclusive talks to buy a 1 billion euro ($1.1 billion) portfolio of Italian house loans from Barclays  two sources close to the matter said.,topStory
BBL,BHP Billiton plc,20151021,UPDATE 2-BHP lifts iron ore output  cuts $200 mln from petroleum unit ,* Shaves $200 million off petroleum spending   (Adds cost cuts  petroleum output),topStory
BA,Boeing Company (The),20151021,Boeing says 777 output may fall as losses narrow on 787 ,Boeing Co  posted better-than-expected quarterly results and lifted its financial outlook on Wednesday  but signaled it may juggle plane production to keep profits flowing as one of its two main cash cows dries up.,topStory
BA,Boeing Company (The),20151021,UPDATE 2-Boeing says 777 output may fall as losses narrow on 787 ,Oct 21 Boeing Co posted better-than-expected quarterly results and lifted its financial outlook on Wednesday  but signaled it may juggle plane production to keep profits flowing as one of its two main cash cows dries up.,normal
BA,Boeing Company (The),20151021,Boeing signals potential 777 production cut as 787 strengthens ,NEW YORK Boeing Co  on Wednesday gave its strongest indication yet that it is ready to cut production of its 777 mini-jumbo jetliner  one of its most profitable planes and a key source of cash for the world's largest plane maker.,normal
BA,Boeing Company (The),20151021,Boeing signals potential 777 production cut as 787 strengthens ,NEW YORK  Oct 21 Boeing Co on Wednesday gave its strongest indication yet that it is ready to cut production of its 777 mini-jumbo jetliner  one of its most profitable planes and a key source of cash for the world's largest plane maker.,normal
BA,Boeing Company (The),20151021,US STOCKS-Wall St opens higher as GM  Boeing beat estimates ,* Indexes up: Dow 0.2 pct  S&P 0.14 pct  Nasdaq 0.13 pct   (Updates to open),normal
BA,Boeing Company (The),20151021,US STOCKS SNAPSHOT-Wall St opens higher after GM  Boeing results ,Oct 21 U.S. stocks opened higher on Wednesday  boosted by strong quarterly results from industry heavyweights General Motors and Boeing.,normal
BA,Boeing Company (The),20151021,US STOCKS-Wall St set to open higher as GM  Boeing beat estimates ,* Futures up: Dow 65 pts  S&P 8.75 pts  Nasdaq 23.5 pts   (Adds details  comment  updates prices),normal
BA,Boeing Company (The),20151021,Boeing's 787 deferred production cost balance rises to $28.3 billion ,NEW YORK Boeing Co  said on Wednesday that the deferred production cost balance for its 787 Dreamliner  a measure of the program's  progress toward profitability  rose to $28.3 billion in the third quarter from $27.7 billion in second quarter.,normal
BA,Boeing Company (The),20151021,Boeing's 787 deferred production cost balance rises to $28.3 bln ,NEW YORK  Oct 21 Boeing Co said on Wednesday that the deferred production cost balance for its 787 Dreamliner  a measure of the program's  progress toward profitability  rose to $28.3 billion in the third quarter from $27.7 billion in second quarter.,normal
BA,Boeing Company (The),20151021,Boeing profit jumps 25 pct ,Oct 21 Boeing Co reported a 25 percent rise in quarterly profit  helped by a rise in commercial aircraft deliveries.,normal
BP,BP plc,20151021,BP to invest in three new exploration blocks in Egypt ,Oct 21 BP Plc said on Wednesday it had been awarded three new offshore exploration blocks in Egypt and that it and its partners had committed to investment of $229 million.,topStory
BP,BP plc,20151021,BP signs $10 bln gas supply deal with China's Huadian ,LONDON  Oct 21 Oil major BP has signed a $10 billion liquefied natural gas (LNG) supply deal with China's Huadian power producer  sealing the agreement as part of Chinese President Xi Jinping's state visit to Britain.,normal
BP,BP plc,20151021,BRIEF-BP signs agreements with China's Huadian Corp and CNPC ,* BP and China Huadian Corporation today signed a sale and purchase agreement,normal
CCL,Carnival Corporation,20151021,China firms  Carnival Corp form JV to launch Chinese cruise line ,Cruise operator Carnival Corp said it has formed a 2.6-billion-pound ($4 billion) joint venture with two Chinese state-owned firms to launch a cruise line focused on the fast-growing Chinese market.,topStory
CCL,Carnival Corporation,20151021,China firms  Carnival Corp form JV to launch Chinese cruise line ,Oct 21 Cruise operator Carnival Corp   said it has formed a 2.6-billion-pound ($4 billion) joint venture with two Chinese state-owned firms to launch a cruise line focused on the fast-growing Chinese market.,normal
CHK,Chesapeake Energy Corporation,20151021,Chesapeake fined $2.1 million over inaccurate royalty reports ,The federal government has levied a $2.1 million fine against Chesapeake Energy Corporation  saying the oil and gas company failed to update inaccurate production reports used to assess the royalties it pays for drilling on American Indian land.,topStory
CIT,CIT Group Inc (DEL),20151021,Veteran banker John Thain to retire as CIT CEO next year ,CIT Group Inc  said Chief Executive Officer John Thain  who was appointed to turn around the commercial lender after its bankruptcy  will retire in March and be replaced by veteran banking executive Ellen Alemany.,topStory
CIT,CIT Group Inc (DEL),20151021,UPDATE 3-Veteran banker John Thain to retire as CIT CEO next year ,Oct 21 CIT Group Inc said Chief Executive Officer John Thain  who was appointed to turn around the commercial lender after its bankruptcy  will retire in March and be replaced by veteran banking executive Ellen Alemany.,normal
CIT,CIT Group Inc (DEL),20151021,CORRECTED-CIT Group CEO John Thain to retire next year ,Oct 21 U.S. small-business lender CIT Group Inc  said Chief Executive John Thain will retire effective March 31  2016 and be replaced by Ellen Alemany  a CIT board member.,normal
C,Citigroup Inc,20151021,MOVES-Citi boosts custody and fund services business through new hires ,Oct 21 Citigroup Inc has hired one executive each from Bank of New York Mellon Corp and JP Morgan Chase & Co to its custody and fund services organization.,topStory
KO,Coca-Cola Company (The),20151021,Coca-Cola warns of bigger hit on revenue from strong dollar ,Coca-Cola Co  reported a bigger-than-expected drop in quarterly sales due to a strong dollar  and the company said it expected the currency to hurt its full-year revenue more than previously anticipated.,topStory
KO,Coca-Cola Company (The),20151021,UPDATE 3-Coca-Cola warns of bigger hit on revenue from strong dollar ,Oct 21 Coca-Cola Co reported a bigger-than-expected drop in quarterly sales due to a strong dollar  and the company said it expected the currency to hurt its full-year revenue more than previously anticipated.,normal
KO,Coca-Cola Company (The),20151021,CORRECTED-UPDATE 2-Coca-Cola warns of bigger hit on revenue from strong dollar ,Oct 21 Coca-Cola Co reported a bigger-than-expected drop in quarterly sales due to a strong dollar and the company said it expected the currency to hurt its full-year revenue more than previously anticipated.,normal
KO,Coca-Cola Company (The),20151021,Coca-Cola's quarterly revenue falls nearly 5 pct ,Oct 21 Coca-Cola Co's quarterly revenue fell nearly 5 percent as a strong dollar reduced the value of sales in markets outside North America.,normal
KO,Coca-Cola Company (The),20151021,BRIEF-Trabzonspor signs letter of intent with Coca-Cola Mesrubat for advertisement rights ,* Signs letter of intent with Coca-Cola Mesrubat for advertisement rights,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20151021,Brazil Embraer sells another 19 E175 jets to Skywest ,RIO DE JANEIRO  Oct 21 Brazil's Embraer SA  said on Wednesday that Skywest Inc. will buy an additional 19 of its E175 regional jets to fly for Delta Airlines Inc..,topStory
RACE,Ferrari NV,20151021,Ferrari shares race ahead 15 percent on Wall Street debut ,NEW YORK/MILAN Ferrari  shares jumped 15 percent to $60 on its Wall Street debut on Wednesday after the Italian supercar maker priced its share offering at the top of the range amid heavy investor demand. | Video ,topStory
RACE,Ferrari NV,20151021,Ferrari shares race 15 pct in Wall Street debut ,MILAN  Oct 21 Shares in Ferrari rose 15 percent to $60 in the luxury group's Wall Street debut on Wednesday after it priced its share offering at the top end of an indicated range as investors vied to grab a slice of the maker of sportscars for the super rich.,normal
FCAU,Fiat Chrysler Automobiles NV,20151021,Fiat CEO expects industry consolidation in 24 months - CNBC ,Oct 21 A major consolidation in the global auto industry could happen in the next 24 months  Fiat Chrysler Automobiles NV Chief Executive Sergio Marchionne told CNBC.,topStory
FCAU,Fiat Chrysler Automobiles NV,20151021,UPDATE 2-Ferrari shares race ahead 15 pct on Wall Street debut ,* Fiat Chrysler could raise up to $982 mln from stake offering,normal
FCAU,Fiat Chrysler Automobiles NV,20151021,Fiat Chrysler shares ease after Ferrari IPO priced ,MILAN Shares in Fiat Chrysler Automobiles (FCA)  fell more than 3 percent in early trade on Wednesday  after the flotation of its luxury unit Ferrari  was priced at the top end of the range but below the expectations of some investors.,normal
FCAU,Fiat Chrysler Automobiles NV,20151021,Ferrari faithful rev IPO price to top of range ,Ferrari NV  priced its initial public offering at the top of expectations on Tuesday  raising $893 million  as drivers enamored with the luxury sports car maker snapped up its shares alongside institutional investors  defying a choppy market.,normal
FIG,Fortress Investment Group LLC,20151021,Fortress in talks to buy Barclays 1 bln euro Italian mortgage pool-sources ,MILAN  Oct 21 U.S. asset manager Fortress Investment Group has entered exclusive talks to buy a 1 billion euro ($1.1 billion) portfolio of Italian house loans from Barclays  two sources close to the matter said.,topStory
GEH,General Electric Capital Corporation,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEH,General Electric Capital Corporation,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON AB Electrolux   has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEH,General Electric Capital Corporation,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON  Oct 21 AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's  appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEK,General Electric Capital Corporation,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEK,General Electric Capital Corporation,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON AB Electrolux   has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEK,General Electric Capital Corporation,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON  Oct 21 AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's  appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GE,General Electric Company,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GE,General Electric Company,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON AB Electrolux   has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GE,General Electric Company,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON  Oct 21 AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's  appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEB,General Electric Company,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEB,General Electric Company,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON AB Electrolux   has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GEB,General Electric Company,20151021,Electrolux offers to settle U.S. antitrust fight over appliance deal ,WASHINGTON  Oct 21 AB Electrolux  has offered to settle its fight with the Justice Department over whether it will be allowed to buy General Electric's  appliance business  but the U.S. Justice Department's initial reaction to the offer was negative.,normal
GM,General Motors Company,20151021,Colorado woman trapped in car for days after wreck sues General Motors ,DENVER A Colorado woman who was trapped inside her car for six days after losing control and rolling 300 feet (90 meters) down a mountainside is suing General Motors  saying her 2009 Chevy Malibu's safety features failed  court records showed on Wednesday.,topStory
GM,General Motors Company,20151021,Ferrari shares race ahead 15 percent on Wall Street debut ,NEW YORK/MILAN Ferrari  shares jumped 15 percent to $60 on its Wall Street debut on Wednesday after the Italian supercar maker priced its share offering at the top of the range amid heavy investor demand. | Video ,normal
