SHLM,A Schulman Inc,20150807,BRIEF-CBR suspends Pharmacy Chain 36.6 additional share issue ,* The Central Bank of Russia (CBR) has suspended additional share issue of Pharmacy Chain 36.6  conducted under the merger with A.v.e Group  CBR said on Thursday,topStory
AAL,American Airlines Group Inc,20150807,China-linked hackers breach American Airlines  Sabre systems - Bloomberg ,Aug 7 China-linked hackers have breached the computer systems of U.S. airline company American Airline Group Inc and travel reservations platform provider Sabre Corp   Bloomberg reported  citing people familiar with the investigations.,normal
CLIR,ClearSign Combustion Corporation,20150807,ClearSign wins contract for emission-curbing system from Tesoro ,ClearSign Combustion Corp   a small company whose technology helps refiners cut nitrogen oxide emissions  has signed a deal with Tesoro Corp  to retrofit a Los Angeles refinery heater with a combustion control system.,topStory
CLIR,ClearSign Combustion Corporation,20150807,ClearSign wins contract for emission-curbing system from Tesoro ,Aug 7 ClearSign Combustion Corp  a small company whose technology helps refiners cut nitrogen oxide emissions  has signed a deal with Tesoro Corp to retrofit a Los Angeles refinery heater with a combustion control system.,normal
ESIO,Electro Scientific Industries Inc,20150807,Hexagon Q2 op profit in line  sees emerging mkt uncertainty ,STOCKHOLM  Aug 7 Measurement technology and software group Hexagon posted second-quarter operating profit broadly in line with forecasts on Friday and said it saw increased uncertainty in emerging markets.,topStory
GRPN,Groupon Inc,20150807,US STOCKS-Wall St falls as jobs data supports Sept rate hike ,* Nvidia touches four-month high after revenue beats estimates,topStory
GRPN,Groupon Inc,20150807,Groupon revenue misses estimates as dollar weighs on billings ,Groupon Inc   operator of daily deals website groupon.com  reported a lower-than-expected rise in quarterly revenue and forecast revenue to fall more than expected in the current quarter as a strong dollar weighed on gross billings.,normal
GRPN,Groupon Inc,20150807,UPDATE 2-Groupon revenue misses estimates as dollar weighs on billings ,* Shares fall as much as 6.4 pct   (Adds analyst comment; updates shares),normal
GRPN,Groupon Inc,20150807,US STOCKS-Wall St falls as jobs data supports Sept rate hike ,* Indexes down: Dow 0.20 pct  S&P 0.16 pct  Nasdaq 0.16 pct   (Updates to open),normal
GRPN,Groupon Inc,20150807,US STOCKS-Wall St set to open slightly lower after jobs data ,* Futures down: Dow 51 pts  S&P 6 pts  Nasdaq 15 pts   (Adds details  comment  updates prices),normal
GRPN,Groupon Inc,20150807,Groupon revenue rises 3.1 pct as more customers opt for deals ,Aug 7 Groupon Inc  operator of daily deals website groupon.com  reported a 3.1 percent rise in quarterly revenue  helped by strong demand for its daily deals.,normal
JD,JDcom Inc,20150807,UPDATE 1-China's JD.com quarterly revenue tops estimates  Q3 growth seen slowing ,* Sees Q3 revenue of between 43.2 and 44.7 billion   (Adds details  context),topStory
JD,JDcom Inc,20150807,China's JD.com posts 61 pct rise in quarterly revenues  topping estimates ,BEIJING  Aug 7 JD.com Inc  China's second largest e-commerce site by sales  reported a 61 percent year-on-year rise in second quarter revenues  topping expectations  powered by a jump in the number of shoppers and goods bought on its platform.,normal
MSFT,Microsoft Corporation,20150807,PRESS DIGEST- New York Times business news - Aug 7 ,Aug 7 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy.,normal
MDLZ,Mondelez International Inc,20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
MDLZ,Mondelez International Inc,20150807,Investor Ackman takes $5.5 billion stake in Cadbury owner Mondelez ,Activist investor William Ackman has built a stake worth about $5.5 billion in Mondelez International Inc   the maker of Cadbury chocolate and Oreo cookies  in what is seen as an attempt to push the company to boost earnings or sell itself. | Video ,normal
MDLZ,Mondelez International Inc,20150807,Billionaire Ackman eyeing Mondelez reunion with Kraft: sources ,BOSTON/NEW YORK Billionaire investor William Ackman's success at Mondelez International Inc  may depend largely on a calculation that nimbler rival Kraft Heinz Co  will soon snap up the maker of Cadbury chocolate and Oreo cookies  sources familiar with Ackman's approach said.,normal
MDLZ,Mondelez International Inc,20150807,Billionaire Ackman eyeing Mondelez reunion with Kraft -sources ,BOSTON/NEW YORK  Aug 6 Billionaire investor William Ackman's success at Mondelez International Inc  may depend largely on a calculation that nimbler rival Kraft Heinz Co will soon snap up the maker of Cadbury chocolate and Oreo cookies  sources familiar with Ackman's approach said.,normal
NVDA,NVIDIA Corporation,20150807,US STOCKS-Wall St drops as jobs report augurs for September rate hike ,* Indexes end down: Dow 0.27 pct  S&P 0.29 pct  Nasdaq 0.26 pct   (Updates to close  adds detail on valuations  earnings),topStory
NVDA,NVIDIA Corporation,20150807,US STOCKS-Wall St falls as rosy jobs growth points to September rate hike ,* Indexes down: Dow 0.62 pct  S&P 0.65 pct  Nasdaq 0.86 pct   (Updates to mid-afternoon),normal
NVDA,NVIDIA Corporation,20150807,US STOCKS-Wall St falls as jobs data raises Sept rate hike chances ,* Traders pricing a 52 pct chance for Sept hike  up from 47 pct,normal
NVDA,NVIDIA Corporation,20150807,US STOCKS-Wall St falls as jobs data supports Sept rate hike ,* Nvidia touches four-month high after revenue beats estimates,normal
SABR,Sabre Corporation,20150807,China-linked hackers attack American Airlines  Sabre systems: Bloomberg ,China-linked hackers attacked the computer systems of travel reservations distributor Sabre Corp  and American Airlines Group Inc   Bloomberg reported  although the world's largest airline said there was no evidence of such a breach.,topStory
SABR,Sabre Corporation,20150807,UPDATE 2-China-linked hackers attack American Airlines  Sabre systems - Bloomberg ,Aug 7 China-linked hackers attacked the computer systems of travel reservations distributor Sabre Corp  and American Airlines Group Inc  Bloomberg reported  although the world's largest airline said there was no evidence of such a breach.,normal
SABR,Sabre Corporation,20150807,China-linked hackers breach American Airlines  Sabre systems - Bloomberg ,Aug 7 China-linked hackers have breached the computer systems of U.S. airline company American Airline Group Inc and travel reservations platform provider Sabre Corp   Bloomberg reported  citing people familiar with the investigations.,normal
SBUX,Starbucks Corporation,20150807,Coca-Cola near deal for organic juice company Suja -sources ,Aug 7 Coca-Cola Co is nearing a deal to buy a minority stake in U.S. organic juice company Suja Life LLC  people familiar with the matter said on Friday  as the soft drink giant tries to identify the next big hit with consumers.,normal
TIG,TiGenix,20150807,BRIEF-Tigenix obtains FDA's endorsement for its Cx601 phase III registration trial in the US ,* Announced has reached agreement with the U.S. Food and drug administration (FDA) on a special protocol assessment (SPA) for its phase III registration trial of Cx601 in the U.S.,topStory
VOD,Vodafone Group Plc,20150807,Orange raises prices in Spain after buying Jazztel ,MADRID  Aug 7 French telecom group Orange  said on Friday its Spanish unit would raise the price of mobile and fixed-line bundles from next month  following similar moves by competitors Telefonica and Vodafone .,topStory
WPPGY,WPP plc,20150807,BRIEF-Wpp to make tender offer for digital marketing firm Syzygy ,* Currently holds shares representing just below 30% of issued share capital  Further company coverage:    (Bengaluru Newsroom: +91 80 6749 1136),topStory
ZNGA,Zynga Inc,20150807,Zynga in $23 mln settlement over alleged fraud tied to IPO ,Zynga Inc reached a $23 million settlement to end litigation accusing the gaming company known for "FarmVille" of defrauding shareholders about its business prospects before and after its December 2011 initial public offering.,topStory
ZNGA,Zynga Inc,20150807,Zynga in $23 million settlement over alleged fraud tied to IPO ,Zynga Inc reached a $23 million settlement to end litigation accusing the gaming company known for "FarmVille" of defrauding shareholders about its business prospects before and after its December 2011 initial public offering.,normal
ZNGA,Zynga Inc,20150807,UPDATE 1-Zynga in $23 mln settlement over alleged fraud tied to IPO ,Aug 7 Zynga Inc reached a $23 million settlement to end litigation accusing the gaming company known for "FarmVille" of defrauding shareholders about its business prospects before and after its December 2011 initial public offering.,normal
ZNGA,Zynga Inc,20150807,Zynga in $23 mln settlement over alleged fraud tied to IPO ,Aug 7 Zynga Inc reached a $23 million settlement to end litigation accusing the gaming company known for "FarmVille" of defrauding shareholders about its business prospects before and after its December 2011 initial public offering.,normal
AET,Aetna Inc,20150807,Exclusive: Capital One nears deal to acquire GE health finance unit - sources ,Credit card lender Capital One Financial Corp  is in exclusive talks to acquire General Electric Co's  U.S. healthcare finance unit  in a deal likely to top $10 billion  according to people familiar with the matter.,topStory
AXP,American Express Company,20150807,Activist hedge fund ValueAct takes stake in AmEx ,Activist hedge fund ValueAct Capital Management LP has taken a stake in credit card issuer American Express Co   which is struggling with the loss of several co-branded tie-ups amid intense competition.,topStory
AXP,American Express Company,20150807,UPDATE 1-Activist hedge fund ValueAct takes stake in AmEx ,Aug 7 Activist hedge fund ValueAct Capital Management LP has taken a stake in credit card issuer American Express Co  which is struggling with the loss of several co-branded tie-ups amid intense competition.,normal
AXP,American Express Company,20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,normal
AXP,American Express Company,20150807,Activist fund ValueAct builds $1 bln stake in AmEx-Bloomberg , ,normal
ADM,Archer-Daniels-Midland Company,20150807,Cargill  ADM kick off corn syrup price talks with increases ,NEW YORK  Aug 7 Corn syrup manufacturers Archer Daniels Midland Co and Cargill Inc have kicked off annual negotiations with sweetener buyers by raising prices by some 15 percent  as feedstock supplies fall from record levels.,topStory
BP,BP plc,20150807,EU mergers and takeovers (Aug 7) ,BRUSSELS  Aug 7 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BAK,Braskem SA,20150807,Braskem CEO sees "no grounds" for Petrobras deal accusation ,SAO PAULO  Aug 7 The chief executive of Braskem SA said on Friday that Latin America's largest petrochemical company is not currently facing legal action related to a naphtha supply contract with its second largest shareholder  Brazil's Petrobras.,topStory
CF,CF Industries Holdings Inc,20150807,Basic materials M&A hits seven-year high buoyed by chemicals deals ,LONDON Worldwide dealmaking in the basic materials sector rose in July to a seven-year high  lifted by U.S. fertilizer maker CF Industries'  $8 billion bid for some of Dutch firm OCI NV's North American and European  Thomson Reuters data shows.,topStory
CF,CF Industries Holdings Inc,20150807,Basic materials M&A hits seven-year high buoyed by chemicals deals ,LONDON  Aug 7 Worldwide dealmaking in the basic materials sector rose in July to a seven-year high  lifted by U.S. fertiliser maker CF Industries' $8 billion bid for some of Dutch firm OCI NV's North American and European  Thomson Reuters data shows.,normal
SNP,China Petroleum & Chemical Corporation,20150807,BRIEF-Guanghui Energy's unit in agreement with Sinopec Gas on coal gas sales ,* Says unit signs framework agreement with Sinopec gas company on coal gas sales,topStory
C,Citigroup Inc,20150807,Board of Brazil's Petrobras approves plan for fuel unit IPO ,SAO PAULO  Aug 7 The board of Petróleo Brasileiro SA has approved a plan to request regulatory permission to list the state-controlled oil producer's fuel distrbution unit on the São Paulo Stock Exchange.,normal
KO,Coca-Cola Company (The),20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
KO,Coca-Cola Company (The),20150807,Coca-Cola near deal for organic juice company Suja: sources ,Coca-Cola Co  is nearing a deal to buy a minority stake in U.S. organic juice company Suja Life LLC  people familiar with the matter said on Friday  as the soft drink giant tries to identify the next big hit with consumers.,normal
KO,Coca-Cola Company (The),20150807,Coca-Cola near deal for organic juice company Suja -sources ,Aug 7 Coca-Cola Co is nearing a deal to buy a minority stake in U.S. organic juice company Suja Life LLC  people familiar with the matter said on Friday  as the soft drink giant tries to identify the next big hit with consumers.,normal
KO,Coca-Cola Company (The),20150807,PRESS DIGEST- Financial Times - Aug 7 ,Aug 7 The following are the top stories in the Financial Times. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DB,Deutsche Bank AG,20150807,REFILE-Deutsche Bank's general counsel to retire ,FRANKFURT  Aug 7 Deutsche Bank will replace its general counsel Richard Walker  Germany's biggest lender said on Friday.,topStory
DB,Deutsche Bank AG,20150807,BRIEF-Vossloh: KB Holding could buy more Vossloh shares at higher price ,* Says  KB Holding gmbh has concluded a framework agreement with Deutsche Bank on acquisition of total return swaps with reference to a maximum of 744 367 shares of Vossloh AG,normal
DB,Deutsche Bank AG,20150807,BRIEF-Rostelecom extends derivative agreement with Deutsche Bank ,* Said on Thursday its board of directors has approved the extension of a derivative agreement with Deutsche Bank,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150807,Embraer's new business jet rolls off Florida line in 2016 ,SAO PAULO Brazilian planemaker Embraer SA said on Friday that the first Legacy 450 jet from a factory in Melbourne  Florida  will roll off the line in December 2016  as the company migrates business jet production there in a bet on the U.S. market.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150807,UPDATE 2-Embraer's new business jet rolls off Florida line in 2016 ,SAO PAULO  Aug 7 Brazilian planemaker Embraer SA  said on Friday that the first Legacy 450 jet from a factory in Melbourne  Florida  will roll off the line in December 2016  as the company migrates business jet production there in a bet on the U.S. market.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150807,Embraer to build new business jet in Florida  eyeing U.S. market ,SAO PAULO Brazilian planemaker Embraer SA said on Friday that the production of its Legacy 450/500 business jet line would migrate to an assembly line in Florida  with the first delivery expected at the end of 2016.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150807,Embraer to build new business jet in Florida  eyeing U.S. market ,SAO PAULO  Aug 7 Brazilian planemaker Embraer SA  said on Friday that the production of its Legacy 450/500 business jet line would migrate to an assembly line in Florida  with the first delivery expected at the end of 2016.,normal
ESV,ENSCO plc,20150807,Brazil prosecutors say charges pending over Ensco drillship lease ,SAO PAULO  Aug 7 Brazilian prosecutors plan to file criminal charges stemming from the lease of an Ensco Plc  offshore oil-drilling ship to Brazil's state-run oil company Petrobras "in due course " they said.,topStory
F,Ford Motor Company,20150807,Ford China sales growth declines for third month; July down 6 pct yr/yr ,BEIJING  Aug 7 Ford Motor Co and its Chinese joint ventures sold 77 100 vehicles in China in July  falling 6 percent from a year earlier  the U.S. carmaker said on Friday.,topStory
FIG,Fortress Investment Group LLC,20150807,China's Anbang Insurance to make over $1 bln bid for Japan's Simplex-sources , ,normal
GFA,Gafisa SA,20150807,Low-income division helps Brazil's Gafisa beat profit estimate ,SAO PAULO  Aug 7 Brazilian homebuilder Gafisa SA  on Friday reported second-quarter profit that beat analysts' estimates  helped by sales of completed homes as well as an increase in earnings at its division that targets low-income buyers.,topStory
GEH,General Electric Capital Corporation,20150807,Exclusive: Capital One nears deal to acquire GE health finance unit - sources ,Credit card lender Capital One Financial Corp  is in exclusive talks to acquire General Electric Co's  U.S. healthcare finance unit  in a deal likely to top $10 billion  according to people familiar with the matter.,topStory
GEK,General Electric Capital Corporation,20150807,Exclusive: Capital One nears deal to acquire GE health finance unit - sources ,Credit card lender Capital One Financial Corp  is in exclusive talks to acquire General Electric Co's  U.S. healthcare finance unit  in a deal likely to top $10 billion  according to people familiar with the matter.,topStory
GE,General Electric Company,20150807,Exclusive: Capital One nears deal to acquire GE health finance unit - sources ,Credit card lender Capital One Financial Corp  is in exclusive talks to acquire General Electric Co's  U.S. healthcare finance unit  in a deal likely to top $10 billion  according to people familiar with the matter.,topStory
GEB,General Electric Company,20150807,Exclusive: Capital One nears deal to acquire GE health finance unit - sources ,Credit card lender Capital One Financial Corp  is in exclusive talks to acquire General Electric Co's  U.S. healthcare finance unit  in a deal likely to top $10 billion  according to people familiar with the matter.,topStory
GM,General Motors Company,20150807,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 7  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GS,Goldman Sachs Group Inc (The),20150807,UPDATE 1-Malaysia officials visit Goldman office as part of 1MDB probe -sources ,KUALA LUMPUR/SINGAPORE/NEW YORK  Aug 7 Malaysian anti-corruption officials investigating state investor 1MDB for alleged graft visited the local office of Goldman Sachs  last month seeking documents relating to the state firm  two people familiar with the visit said.,topStory
GS,Goldman Sachs Group Inc (The),20150807,Malaysia officials visit Goldman office as part of 1MDB probe - sources ,KUALA LUMPUR/SINGAPORE  Aug 7 Malaysian anti-corruption officials investigating state investor 1MDB for alleged graft visited the local office of Goldman Sachs  last month seeking documents relating to the state firm  two people familiar with the visit said.,normal
HAL,Halliburton Company,20150807,‘Frack now  pay later ’ top services companies say amid oil crash ,HOUSTON Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later.",topStory
HAL,Halliburton Company,20150807,REFILE-RPT-'Frack now  pay later ' top services companies say amid oil crash ,HOUSTON  Aug 7 Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later.",normal
HAL,Halliburton Company,20150807,REFILE-'Frack now  pay later ' top services companies say amid oil crash ,HOUSTON  Aug 7 Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later.",normal
HAL,Halliburton Company,20150807,REUTERS BUSINESS NEWS SCHEDULE AT 1830 GMT/2:30 PM ET ,WASHINGTON - U.S. employment rose at a solid clip in July and wages rebounded after unexpectedly stalling in the prior month  signs of an improving economy that could open the door wider to a Federal Reserve interest rate hike in September. (USA-ECONOMY/ (WRAPUP 5)  moved  by Lucia Mutikani  870 words),normal
HSY,Hershey Company (The),20150807,Hershey reports flat sales  cuts forecast on weak China demand ,Chocolate maker Hershey Co  reported flat quarterly sales for the first time in over five years as volumes fell in North America due to price hikes and demand was weak in China.,topStory
HSY,Hershey Company (The),20150807,US STOCKS-Wall St falls as jobs data supports Sept rate hike ,* Nvidia touches four-month high after revenue beats estimates,normal
HSY,Hershey Company (The),20150807,UPDATE 2-Hershey reports flat sales  cuts forecast on weak China demand ,* Shares fall about 4 pct   (Adds details from conference call; updates shares),normal
HSY,Hershey Company (The),20150807,Chocolate maker Hershey reports flat quarterly sales ,Aug 7 Chocolate maker Hershey Co  reported flat quarterly sales  its weakest sales performance in more than five years  hurt by low demand in China.,normal
LMT,Lockheed Martin Corporation,20150807,U.S. okays $1.5 billion sale of Lockheed Aegis combat system to Japan ,WASHINGTON The U.S. State Department has approved the likely sale to Japan of two Lockheed Martin Corp Aegis combat systems valued at $1.5 billion  a deal aimed at boosting Japan's defenses against a ballistic missile attack  the U.S. Defense Department said Friday.,topStory
LMT,Lockheed Martin Corporation,20150807,U.S. okays $1.5 bln sale of Lockheed Aegis combat system to Japan ,WASHINGTON  Aug 7 The U.S. State Department has approved the likely sale to Japan of two Lockheed Martin Corp  Aegis combat systems valued at $1.5 billion  a deal aimed at boosting Japan's defenses against a ballistic missile attack  the U.S. Defense Department said Friday.,normal
MGA,Magna International Inc,20150807,UPDATE 2-Magna earnings edge down  margin forecast up ,Aug 7 Magna International Inc   the Canadian auto parts maker  reported slightly lower second-quarter earnings on Friday as the impact of a strong U.S. dollar offset increased vehicle production in North America  and raised its margin forecast.,topStory
MGA,Magna International Inc,20150807,CORRECTED-UPDATE 1-Magna Int'l quarterly sales beat estimates ,Aug 7 Canadian auto parts maker Magna International Inc  reported higher-than-expected quarterly sales as increased vehicle production in North America offset the impact of a strong U.S. dollar.,normal
MGA,Magna International Inc,20150807,Magna quarterly sales fall on strong dollar ,Aug 7 Canadian auto parts maker Magna International Inc  reported an 8.7 percent drop in quarterly sales  due to the impact of a strong U.S. dollar.,normal
MAN,ManpowerGroup,20150807,EU mergers and takeovers (Aug 7) ,BRUSSELS  Aug 7 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
OXY,Occidental Petroleum Corporation,20150807,REFILE-China's energy asset-rush stalls on crude slump  graft probes ,* Since 1993 China poured $140 bln into foreign energy projects,normal
ORAN,Orange,20150807,BRIEF-Orange to divest Orange Armenia to Ucom ,* Signs an agreement with Ucom for sale of 100 pct of its shares in Orange Armenia,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150807,Brazil prosecutors say charges pending over Ensco drillship lease ,SAO PAULO  Aug 7 Brazilian prosecutors plan to file criminal charges stemming from the lease of an Ensco Plc  offshore oil-drilling ship to Brazil's state-run oil company Petrobras "in due course " they said.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150807,EMERGING MARKETS-Brazil's real ends six-day slump; Petrobras sinks Bovespa ,By Asher Levine     SAO PAULO  Aug 7 Brazilian financial markets swung widely on Friday as investors digested disappointing corporate results  central bank currency intervention  U.S. labor data and political turbulence.     The Brazilian real  rose for the first time after a six-session slump that saw the currency weaken 6 percent against the dollar. Brazil's Bovespa stock index dropped its most in over two weeks  led by sharp decline in shares of state-run oil producer Petroleo Bra,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150807,Braskem CEO sees "no grounds" for Petrobras deal accusation ,SAO PAULO  Aug 7 The chief executive of Braskem SA said on Friday that Latin America's largest petrochemical company is not currently facing legal action related to a naphtha supply contract with its second largest shareholder  Brazil's Petrobras.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150807,Shell eyes new Brazilian assets ahead of BG deal ,LONDON Royal Dutch Shell  is considering investing billions in Brazil  set to become a focal point after the planned acquisition of BG Group   even as it prepares to sell huge chunks of its business to pay for the $70 billion deal.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150807,UPDATE 2-Petrobras to seek regulatory approval for fuel-unit IPO ,* Deal hinges on market conditions   (Adds background and Petrobras share performance),normal
PBR,Petroleo Brasileiro SA- Petrobras,20150807,Shell eyes new Brazilian assets ahead of BG deal ,LONDON  Aug 7 Royal Dutch Shell is considering investing billions in Brazil  set to become a focal point after the planned acquisition of BG Group  even as it prepares to sell huge chunks of its business to pay for the $70 bln deal.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150807,Board of Brazil's Petrobras approves plan for fuel unit IPO ,SAO PAULO  Aug 7 The board of Petróleo Brasileiro SA has approved a plan to request regulatory permission to list the state-controlled oil producer's fuel distrbution unit on the São Paulo Stock Exchange.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150807,UPDATE 3-Petrobras profit slumps; surprise writedown defies outlook ,* Market-focused board is on course independent of govt -director,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150807,UPDATE 1-Former Petrobras executive charged  said to favor Vantage Drilling ,SAO PAULO  Aug 6 Brazilian prosecutors on Thursday presented formal charges against Jorge Zelada  the former head of state-run oil firm Petrobras' international division  and five others  saying they favored U.S. company Vantage Drilling in a rig contract.,normal
POT,Potash Corporation of Saskatchewan Inc,20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
POT,Potash Corporation of Saskatchewan Inc,20150807,K+S rejects Potash offer  promises on German jobs and mines ,FRANKFURT German salt and fertilizer company K+S AG  once again rejected Potash Corp of Saskatchewan's  takeover offer on Friday  saying the Canadian company's assurances about maintaining jobs and mine sites in Germany were unreliable.,normal
POT,Potash Corporation of Saskatchewan Inc,20150807,UPDATE 2-K+S rejects Potash offer  promises on German jobs and mines ,FRANKFURT  Aug 7 German salt and fertilizer company K+S AG once again rejected Potash Corp of Saskatchewan's takeover offer on Friday  saying the Canadian company's assurances about maintaining jobs and mine sites in Germany were unreliable.,normal
POT,Potash Corporation of Saskatchewan Inc,20150807,K+S says new Potash offer still not reflects fundamental value ,FRANKFURT  Aug 7 German salt and fertilizer company K+S AG said on Friday that Potash Corp of Saskatchewan's new offer still does not reflect the true value of the company and that commitments proposed by PotashCorp "do not provide reliability".,normal
POT,Potash Corporation of Saskatchewan Inc,20150807,BRIEF-Potash Corp confirms sending letter to K+S boards ,Aug 7 Potash Corp confirms has sent private letter to K+S boards,normal
POT,Potash Corporation of Saskatchewan Inc,20150807,K+S says Potash Corp sent unsolicited letter to management  board ,FRANKFURT  Aug 7 German salt and fertilizer company K+S AG said on Friday Potash Corp of Saskatchewan again sent an unsolicited letter to its management and supervisory boards.,normal
PFK,Prudential Financial Inc,20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
PFK,Prudential Financial Inc,20150807,Prudential unit buys Deutsche India fund management business ,MUMBAI Prudential Financial Inc's  Pramerica Investment Management is buying Deutsche Asset Management's Indian unit for an undisclosed sum  betting on a revival of India's mutual fund industry.,normal
PJH,Prudential Financial Inc,20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
PJH,Prudential Financial Inc,20150807,Prudential unit buys Deutsche India fund management business ,MUMBAI Prudential Financial Inc's  Pramerica Investment Management is buying Deutsche Asset Management's Indian unit for an undisclosed sum  betting on a revival of India's mutual fund industry.,normal
PRH,Prudential Financial Inc,20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
PRH,Prudential Financial Inc,20150807,Prudential unit buys Deutsche India fund management business ,MUMBAI Prudential Financial Inc's  Pramerica Investment Management is buying Deutsche Asset Management's Indian unit for an undisclosed sum  betting on a revival of India's mutual fund industry.,normal
