ATVI,Activision Blizzard Inc,20131011,Deals of the day- Mergers and acquisitions ,Oct 11 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
LILA,Liberty Global plc,20131011,REFILE-Liberty Global says content with present stake in Ziggo ,BRUSSELS  Oct 8 U.S. cable group Liberty Global  is content with its present 28.5 percent stake in Dutch cable group Ziggo and has no current plans to expand it  Liberty's chief executive said on Tuesday.,topStory
LILAK,Liberty Global plc,20131011,REFILE-Liberty Global says content with present stake in Ziggo ,BRUSSELS  Oct 8 U.S. cable group Liberty Global  is content with its present 28.5 percent stake in Dutch cable group Ziggo and has no current plans to expand it  Liberty's chief executive said on Tuesday.,topStory
MSFT,Microsoft Corporation,20131011,Microsoft awards hacking expert  repairs browser bug ,BOSTON Microsoft Corp said on Tuesday it is paying a well-known hacking expert more than $100 000 for finding security holes in its software  one of the largest such bounties awarded to date by a high-tech company.,topStory
MSFT,Microsoft Corporation,20131011,Brazil investigates Google over antitrust charges ,SAO PAULO Brazil is investigating Google Inc for anticompetitive practices alleged by Microsoft Corp and Brazilian rivals  adding to government pressure in one of Google's fastest-growing major markets.,normal
MSFT,Microsoft Corporation,20131011,UPDATE 1-Brazil investigates Google over antitrust charges ,* Microsoft  Brazilian rivals complain of unfair practices,normal
MSFT,Microsoft Corporation,20131011,Brazil investigates Google over antitrust charges ,* Brazil probing U.S. Internet companies after spying revelations,normal
SBUX,Starbucks Corporation,20131011,Starbucks CEO starts petition against government shutdown ,NEW YORK Starbucks Corp  plans to circulate petitions to customers across the United States urging lawmakers to reopen the partially closed government and avoid a looming default  the coffee chain's CEO Howard Schultz said on Thursday.,topStory
SBUX,Starbucks Corporation,20131011,UPDATE 1-Starbucks CEO starts petition against government shutdown ,NEW YORK  Oct 10 Starbucks Corp plans to circulate petitions to customers across the United States urging lawmakers to reopen the partially closed government and avoid a looming default  the coffee chain's CEO Howard Schultz said on Thursday.,normal
TSLA,Tesla Inc ,20131011,Cadillac plug-in set for January debut  in more direct battle with Tesla ,DETROIT General Motors Co  will go head to head with electric car maker Tesla Motors Inc  starting in January  when a plug-in version of its luxury Cadillac brand will go on sale.,topStory
CG,The Carlyle Group LP,20131011,Carlyle's CommScope sets IPO terms  valued at up to $3.9 billion ,Telecommunications equipment company CommScope Holding Co Inc set pricing terms for its initial public offering  which could value the company at up to $3.9 billion  the price at which it was taken private in 2011 by Carlyle Group LP .,topStory
TCGP,The Carlyle Group LP,20131011,Carlyle's CommScope sets IPO terms  valued at up to $3.9 billion ,Telecommunications equipment company CommScope Holding Co Inc set pricing terms for its initial public offering  which could value the company at up to $3.9 billion  the price at which it was taken private in 2011 by Carlyle Group LP .,topStory
VVUS,VIVUS Inc,20131011,Vivus finds U.S. partner to market erectile dysfunction drug ,Vivus Inc  signed a deal with Auxilium Pharmaceuticals Inc  to market its erectile dysfunction drug in the United States  more than a year after it was approved.,topStory
VVUS,VIVUS Inc,20131011,UPDATE 2-Vivus finds U.S. partner to market erectile dysfunction drug ,Oct 11 Vivus Inc signed a deal with Auxilium Pharmaceuticals Inc to market its erectile dysfunction drug in the United States  more than a year after it was approved.,normal
VVUS,VIVUS Inc,20131011,Vivus signs $300 mln deal with Auxilium for erectile dysfunction drug ,Oct 11 Vivus Inc said it would market its erectile dysfunction drug  Stendra  in the United States and Canada with Auxilium Pharmaceuticals Inc.,normal
AMOV,America Movil SAB de CV,20131011,Mexico IPC gains more than 1 pct on America Movil gains ,MEXICO CITY  Oct 11 Mexican stocks rose more than 1 percent on Friday as shares of  billionaire Carlos Slim's America Movil phone company gained by more than 2 percent.,topStory
AMX,America Movil SAB de CV,20131011,Mexico IPC gains more than 1 pct on America Movil gains ,MEXICO CITY  Oct 11 Mexican stocks rose more than 1 percent on Friday as shares of  billionaire Carlos Slim's America Movil phone company gained by more than 2 percent.,topStory
AIG,American International Group Inc,20131011,Ex-AIG CEO Greenberg wins temporary delay in NY fraud case ,NEW YORK Former American International Group  Chief Executive Maurice "Hank" Greenberg on Thursday won a short reprieve from New York's case accusing him of orchestrating sham transactions at AIG.,topStory
AIG,American International Group Inc,20131011,Ex-AIG CEO Greenberg wins temporary delay in NY fraud case ,NEW YORK  Oct 10 Former American International Group Chief Executive Maurice "Hank" Greenberg on Thursday won a short reprieve from New York's case accusing him of orchestrating sham transactions at AIG.,normal
AZN,Astrazeneca PLC,20131011,AstraZeneca to co-promote J&J prostate cancer drug in Japan ,LONDON AstraZeneca has signed a deal to co-promote Johnson & Johnson's novel prostate cancer medicine in Japan  giving the British company a new drug revenue stream and bolstering its Japanese presence.,topStory
AZN,Astrazeneca PLC,20131011,AstraZeneca to co-promote J&J prostate cancer drug in Japan ,LONDON  Oct 11 AstraZeneca has signed a deal to co-promote Johnson & Johnson's novel prostate cancer medicine in Japan  giving the British company a new drug revenue stream and bolstering its Japanese presence.,normal
T,AT&T Inc,20131011,AT&T limits new customers to data-share plans only ,NEW YORK New AT&T Inc customers will soon only be able to buy Mobile Share plans  which involve higher data fees  but allow subscribers to share data allowances among multiple devices.,topStory
T,AT&T Inc,20131011,AT&T narrows options for new customers to data-share plans ,NEW YORK  Oct 11 AT&T Inc plans to only sell its new customers Mobile Share plans  which involve higher data fees but allow subscribers to share their data allowance among multiple devices.,normal
BAC,Bank of America Corporation,20131011,Stock funds worldwide have $6.5 billion outflow: BofA ,NEW YORK Investors in funds worldwide pulled $6.5 billion out of stock funds in the latest week because of the extended U.S. government shutdown and concerns over the debt ceiling  data from a Bank of America Merrill Lynch Global Research report showed Friday.,topStory
BCS,Barclays PLC,20131011,Detroit gets $350 million financing lifeline from Barclays ,Barclays Plc  will provide cash-strapped Detroit with up to $350 million in debtor-in-possession financing in the wake of its municipal bankruptcy filing in July  Detroit's top official said on Friday.,topStory
BCS,Barclays PLC,20131011,UPDATE 2-Detroit gets $350 mln financing lifeline from Barclays ,Oct 11 Barclays Plc will provide cash-strapped Detroit with up to $350 million in debtor-in-possession financing in the wake of its municipal bankruptcy filing in July  Detroit's top official said on Friday.,normal
BCS,Barclays PLC,20131011,Detroit says gets $350 mln financing commitment from Barclays ,Oct 11 Barclays will provide cash-strapped Detroit with up to $350 million in debtor in possession financing in the wake of its municipal bankruptcy filing in July  Detroit's top official said on Friday.,normal
BCS,Barclays PLC,20131011,UPDATE 1-Barclays signs up to Britain's mortgage guarantee scheme ,* Most major mortgage lenders now signed up to "Help to Buy",normal
ABX,Barrick Gold Corporation,20131011,Chilean court agrees to study new appeal against Pascua-Lama ,SANTIAGO  Oct 11 A Chilean appeals court has agreed to examine a fresh appeal against Barrick Gold Corp's  suspended Pascua-Lama gold mine that says the controversial project is hurting the environment and the quality of life for the local population.,topStory
ABX,Barrick Gold Corporation,20131011,CANADA STOCKS-TSX steady as investors eye U.S. debt deal talks ,* TSX rises 1.36 points  or 0.01 percent  to 12 895.77     * Six of 10 main sectors advance     * Potash slips after cut in profit forecast     * Barrick  Goldcorp weigh the most on market      By John Tilak     TORONTO  Oct 11 Canada's main stock index was little changed on Friday with investors closely watching whether U.S. lawmakers would reach an agreement soon to end a U.S. government shutdown and to raise its borrowing limit.      A drop in gold producers and a decline in Potas,normal
BA,Boeing Company (The),20131011,Analysis: Boeing's JAL loss may bring work back to the U.S ,NEW YORK/TOKYO Boeing Co's  loss of a major Japanese airplane order to rival Airbus  this week may produce a surprise U.S. benefit - bringing aerospace work home to U.S. companies.,topStory
BA,Boeing Company (The),20131011,Norwegian Air CEO says Boeing changed 787 pump design ,NEW YORK The chief executive officer of Norwegian Air Shuttle ASA  said on Thursday that Boeing Co  redesigned an important part to fix a faulty 787 Dreamliner  revealing a more extensive reworking of the high-tech  $200 million jet than had previously been disclosed.,normal
BA,Boeing Company (The),20131011,Boeing restructures commercial airplane strategy  marketing ,NEW YORK Boeing Co  said on Thursday that it will restructure its commercial airplane strategy and marketing functions  just days after it lost a $9.5 billion order in Japan  previously its most secure market.,normal
BA,Boeing Company (The),20131011,UPDATE 3-Boeing restructures commercial airplane strategy  marketing ,NEW YORK  Oct 10 Boeing Co said on Thursday that it will restructure its commercial airplane strategy and marketing functions  just days after it lost a $9.5 billion order in Japan  previously its most secure market.,normal
BP,BP plc,20131011,EU mergers and takeovers (Oct 11) ,BRUSSELS  Oct 11 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BP,BP plc,20131011,Putin says Rosneft should not pay a premium for TNK-BP buy-out ,TUAPSE  Russia  Oct 11 Rosneft should buy out the minority shareholders of TNK-BP Holding at the prevailing market price  not at the peak levels of the past  Russian President Vladimir Putin said on Friday  indicating there will be no increase for investors hoping for an improved payout.,normal
C,Citigroup Inc,20131011,European shares rise on prospect of U.S. debt deal  Accor leads ,LONDON  Oct 11 European shares rose on Friday  lifted by prospects of a deal to end the U.S. debt stalemate.,normal
DB,Deutsche Bank AG,20131011,USD10bn trade boosts Deutsche Bank's CLO hedging ,LONDON  Oct 11 (IFR) - Deutsche Bank sold off the risk on more than USD10bn of loans in CLO format at the end of September  in a decisive shift of the bank's portfolio hedging away from CDS and towards CLOs.,topStory
DB,Deutsche Bank AG,20131011,Deutsche Bank and Russian fund buy stake in Rostelecom for $237 mln ,MOSCOW  Oct 11 Russia's state-backed private equity investment fund and Deutsche Bank are investing $237 million in Rostelecom  betting that the telecoms group will benefit from rising demand for high-speed internet services.,normal
LLY,Eli Lilly and Company,20131011,Fitch Affirms Eli Lilly's IDR at 'A'; Revises Outlook to Stable ,(The following statement was released by the rating agency) CHICAGO  October 11 (Fitch) Fitch Ratings has affirmed Eli Lilly & Co. Inc.'s  (Lilly) ratings  including the Issuer Default Rating (IDR) at 'A'. The Rating  Outlook has been revised to Stable from Negative. A full list of ratings follows  at the end of this release.  The ratings apply to approximately $5.3 billion of debt at June 30  2013.  KEY RATING DRIVERS Fitch believes Lilly will maintain a credit profile supportive of its 'A' rat,topStory
E,ENI SpA,20131011,CORRECTED-Myanmar awards contracts for 16 onshore blocks -ministry ,(Corrects headline to show blocks are onshore  not offshore),topStory
GEH,General Electric Capital Corporation,20131011,UPDATE 1-Italy in talks to create rail group with GE's help - unions ,MILAN  Oct 11 Italy is in talks to create a national rail group and bring in General Electric or another foreign firm as a majority investor  trade unions said on Friday  in the latest intervention by the government to help recession-hit businesses.,topStory
GEK,General Electric Capital Corporation,20131011,UPDATE 1-Italy in talks to create rail group with GE's help - unions ,MILAN  Oct 11 Italy is in talks to create a national rail group and bring in General Electric or another foreign firm as a majority investor  trade unions said on Friday  in the latest intervention by the government to help recession-hit businesses.,topStory
GE,General Electric Company,20131011,UPDATE 1-Italy in talks to create rail group with GE's help - unions ,MILAN  Oct 11 Italy is in talks to create a national rail group and bring in General Electric or another foreign firm as a majority investor  trade unions said on Friday  in the latest intervention by the government to help recession-hit businesses.,topStory
GEB,General Electric Company,20131011,UPDATE 1-Italy in talks to create rail group with GE's help - unions ,MILAN  Oct 11 Italy is in talks to create a national rail group and bring in General Electric or another foreign firm as a majority investor  trade unions said on Friday  in the latest intervention by the government to help recession-hit businesses.,topStory
GM,General Motors Company,20131011,Cadillac plug-in set for January debut  in more direct battle with Tesla ,DETROIT General Motors Co  will go head to head with electric car maker Tesla Motors Inc  starting in January  when a plug-in version of its luxury Cadillac brand will go on sale.,topStory
GG,Goldcorp Inc,20131011,CANADA STOCKS-TSX steady as investors eye U.S. debt deal talks ,* TSX rises 1.36 points  or 0.01 percent  to 12 895.77     * Six of 10 main sectors advance     * Potash slips after cut in profit forecast     * Barrick  Goldcorp weigh the most on market      By John Tilak     TORONTO  Oct 11 Canada's main stock index was little changed on Friday with investors closely watching whether U.S. lawmakers would reach an agreement soon to end a U.S. government shutdown and to raise its borrowing limit.      A drop in gold producers and a decline in Potas,topStory
INFY,Infosys Limited,20131011,UPDATE 2-Infosys' refocus on big-ticket contracts starts to pay off ,* Tightens FY revenue growth target to 9-10 pct from 6-10 pct,topStory
INFY,Infosys Limited,20131011,Infosys profit lags on visa charge; revenue outlook improves ,BANGALORE Infosys   India's second-largest software services exporter  posted quarterly profit that missed analyst estimates on a charge related to visa use in the United States  but raised the lower end of its fiscal full-year revenue guidance.,normal
INFY,Infosys Limited,20131011,Infosys September quarter profit misses analyst estimates; takes visa charge ,BANGALORE  Oct 11 Infosys  India's second-largest software services exporter  posted a quarterly profit which missed analyst estimates  and raised the lower end of its revenue guidance for the fiscal year ending in March.,normal
JPM,J P Morgan Chase & Co,20131011,JPMorgan posts first loss since 2004  a blow to Dimon ,Jamie Dimon  JPMorgan Chase & Co Inc's hard-charging chief executive  looked a bit more vulnerable on Friday after the bank took a $7.2 billion hit from litigation expenses and posted its first quarterly loss since 2004. | Video ,topStory
JPM,J P Morgan Chase & Co,20131011,UPDATE 6-JPMorgan posts first loss since 2004  a blow to Dimon ,Oct 11 Jamie Dimon  JPMorgan Chase & Co Inc's  hard-charging chief executive  looked a bit more vulnerable on Friday after the bank took a $7.2 billion hit from litigation expenses and posted its first quarterly loss since 2004.,normal
JPM,J P Morgan Chase & Co,20131011,Fitch Affirms JPMorgan Chase Ratings at 'A+/F1' Despite Legal Reserve; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  October 11 (Fitch) Following the announced $9.15 billion addition to  litigation reserves in the quarter  Fitch Ratings has affirmed JPMorgan Chase &  Co.'s (JPM) long-term Issuer Default Rating (IDR) at 'A+' and short-term IDR at  'F1'. Fitch has also affirmed JPM's Viability Rating (VR) at 'a+'  its Support  Rating at '1'  and its Support Rating Floor (SRF) at 'A'. The Rating Outlook is  Stable. A full list of ratings is pro,normal
JPM,J P Morgan Chase & Co,20131011,US STOCKS-Wall St gains on hopes of weekend resolution in Washington ,NEW YORK  Oct 11 U.S. stocks extended gains on Friday  a day after their biggest rally in more than nine months as investors were hopeful for a solution to end the partial government shutdown that would stave off a possible U.S. default.,normal
JPM,J P Morgan Chase & Co,20131011,US STOCKS-Wall Street edges up with eyes on Washington ,* Indexes up: Dow 0.33 pct  S&P 0.17 pct  Nasdaq up 0.18 pct,normal
JPM,J P Morgan Chase & Co,20131011,CORRECTED-UPDATE 2-JPMorgan posts first quarterly loss under Dimon ,(Corrects analysts' average forecast in 5th paragraph to $1.17 per share from $1.20; the error first appeared in UPDATE 1),normal
JPM,J P Morgan Chase & Co,20131011,US STOCKS-Futures little changed with eyes on Washington talks ,NEW YORK  Oct 11 U.S. stock index futures were little changed on Friday  on the heels of the biggest rally since the first trading day of the year  as talks continued in Washington to end a fiscal stalemate that has shut down the government for days.,normal
JPM,J P Morgan Chase & Co,20131011,US STOCKS-Futures little changed as Washington talks continue ,NEW YORK  Oct 11 U.S. stock index futures were little changed on Friday  in the wake of the biggest rally since the first trading day of the year  as talks continued in Washington to end a fiscal stalemate that has shut down the government for days.,normal
JNJ,Johnson & Johnson,20131011,AstraZeneca to co-promote J&J prostate cancer drug in Japan ,LONDON AstraZeneca has signed a deal to co-promote Johnson & Johnson's novel prostate cancer medicine in Japan  giving the British company a new drug revenue stream and bolstering its Japanese presence.,topStory
JNJ,Johnson & Johnson,20131011,AstraZeneca to co-promote J&J prostate cancer drug in Japan ,LONDON  Oct 11 AstraZeneca has signed a deal to co-promote Johnson & Johnson's novel prostate cancer medicine in Japan  giving the British company a new drug revenue stream and bolstering its Japanese presence.,normal
KKR,KKR & Co LP,20131011,KKR to invest about $150 million in India's Gland Pharma: sources ,MUMBAI Private equity firm KKR & Co LP will pay about $150 million for close to 30 percent of India's Gland Pharma Ltd  two sources with direct knowledge of the matter said  in what would be the U.S. buyout firm's eighth investment in Asia this year.,topStory
KKR,KKR & Co LP,20131011,UPDATE 1-KKR to invest about $150 mln in India's Gland Pharma-sources ,MUMBAI  Oct 11 Private equity firm KKR & Co LP  will pay about $150 million for close to 30 percent of India's Gland Pharma Ltd  two sources with direct knowledge of the matter said  in what would be the U.S buyout firm's eighth investment in Asia this year.,normal
KKR,KKR & Co LP,20131011,KKR to invest about $150 mln in India's Gland Pharma-sources ,MUMBAI  Oct 11 U.S. private equity firm KKR & Co LP will pay about $150 million for close to 30 percent of India's Gland Pharma Ltd  two sources with direct knowledge of the matter told Reuters.,normal
PHG,Koninklijke Philips NV,20131011,UPDATE 1-European shares extend rally on hopes of U.S. debt deal ,* FTSEurofirst 300 up 0.5 pct  Euro STOXX 50 up 0.2 percent,topStory
PHG,Koninklijke Philips NV,20131011,European shares extend rally on hopes of U.S. debt deal ,* Europe's earnings momentum improves  but still negative,normal
LMT,Lockheed Martin Corporation,20131011,BAE says no plans to challenge decision on F-35 helmet ,WASHINGTON  Oct 11 Britain's BAE Systems Plc  said on Friday it had no plans to challenge a decision by the Pentagon to halt work on an alternate pilot helmet the company was developing for the Lockheed Martin Corp F-35 fighter jet.,topStory
NYT,New York Times Company (The),20131011,Paul McCartney plays surprise concert in N.Y.'s Times Square ,NEW YORK Former Beatle Paul McCartney performed a surprise mini-concert in New York's Times Square on Thursday to the delight of throngs of workers  tourists and fans.,topStory
NOC,Northrop Grumman Corporation,20131011,UPDATE 2-Raytheon wins U.S. Navy radar deal worth up to $1.6 bln ,WASHINGTON  Oct 10 The U.S. Navy on Thursday awarded Raytheon Co a contract valued at up to $1.6 billion to design a next-generation air and missile defense radar for use on Arleigh Burke destroyers starting in 2016.,normal
POT,Potash Corporation of Saskatchewan Inc,20131011,CANADA STOCKS-TSX steady as investors eye U.S. debt deal talks ,* TSX rises 1.36 points  or 0.01 percent  to 12 895.77     * Six of 10 main sectors advance     * Potash slips after cut in profit forecast     * Barrick  Goldcorp weigh the most on market      By John Tilak     TORONTO  Oct 11 Canada's main stock index was little changed on Friday with investors closely watching whether U.S. lawmakers would reach an agreement soon to end a U.S. government shutdown and to raise its borrowing limit.      A drop in gold producers and a decline in Potas,topStory
POT,Potash Corporation of Saskatchewan Inc,20131011,Potash Corp estimates quarterly profit below expectations ,Oct 10 The world's biggest fertilizer producer  Potash Corp of Saskatchewan Inc   estimated quarterly profit would be below analysts' expectations as its customers delayed purchases due to near-term market uncertainty.,normal
RTN,Raytheon Company,20131011,Raytheon wins U.S. Navy radar deal worth up to $1.6 billion ,WASHINGTON The U.S. Navy on Thursday awarded Raytheon Co  a contract valued at up to $1.6 billion to design a next-generation air and missile defense radar for use on Arleigh Burke destroyers starting in 2016.,topStory
RTN,Raytheon Company,20131011,UPDATE 2-Raytheon wins U.S. Navy radar deal worth up to $1.6 bln ,WASHINGTON  Oct 10 The U.S. Navy on Thursday awarded Raytheon Co a contract valued at up to $1.6 billion to design a next-generation air and missile defense radar for use on Arleigh Burke destroyers starting in 2016.,normal
SEE,Sealed Air Corporation,20131011,Dow to sell polypropylene catalyst business to W.R. Grace ,Dow Chemical Co  will sell its polypropylene licensing and catalysts business to smaller peer W.R. Grace & Co  for $500 million as the U.S. chemical maker looks to shed its non-core businesses.,topStory
SEE,Sealed Air Corporation,20131011,Dow to sell polypropylene licensing business to W.R. Grace for $500 mln ,Oct 11 U.S. chemical maker Dow Chemical Co  said it will sell its polypropylene licensing and catalyst business to smaller peer W.R. Grace & Co for $500 million.,normal
SNE,Sony Corp Ord,20131011,Without grand plans for China  U.S.  Sony set to lag in smartphones ,TOKYO Kazuo Hirai's plan to restore Sony Corp to lasting profitability rests in large part on its smartphones leapfrogging rivals to become the world's third-biggest sellers after the Apple iPhone and Samsung's Galaxy series.,topStory
SNE,Sony Corp Ord,20131011,UPDATE 1-Without grand plans for China  U.S.  Sony set to lag in smartphones ,TOKYO  Oct 11 Kazuo Hirai's plan to restore Sony Corp to lasting profitability rests in large part on its smartphones leapfrogging rivals to become the world's third-biggest sellers after the Apple iPhone and Samsung's Galaxy series.,normal
SNE,Sony Corp Ord,20131011,REFILE-Sony faces long fight to clamber up smartphone ranking tables ,TOKYO  Oct 11 Sony Corp will move cautiously in tackling key overseas smartphone markets such as the United States and China as it strives to become the third-biggest smartphone maker in the world  CEO Kazuo Hirai told journalists on Friday.,normal
LUV,Southwest Airlines Company,20131011,Vanguard may curb 401(k) trading by Southwest pilots ,NEW YORK Vanguard Group is throwing its considerable heft into a battle between fund companies and investment newsletters.,topStory
TM,Toyota Motor Corp Ltd Ord,20131011,INTERVIEW-Toyota Turkey shifts export focus to emerging markets ,* Decision expected by year-end on production of new model,topStory
TM,Toyota Motor Corp Ltd Ord,20131011,Toyota wins California wrongful death lawsuit over acceleration issues ,A jury in California on Thursday found Toyota Motor Corp  not liable in one of the first wrongful death lawsuits to go to trial in the United States over alleged defects that caused some vehicles to unexpectedly accelerate.,normal
TM,Toyota Motor Corp Ltd Ord,20131011,UPDATE 2-Toyota wins California wrongful death lawsuit over acceleration issues ,* Case brought by family of woman killed in 2009 car crash,normal
WMT,Wal-Mart Stores Inc,20131011,Washington drives U.S. consumer sentiment to nine-month low ,NEW YORK U.S. consumer sentiment deteriorated in October to its weakest in nine months as the first federal government shutdown in 17 years undermined Americans' outlook on the economy  a survey released on Friday showed.,topStory
WMT,Wal-Mart Stores Inc,20131011,Sam's Club bets new merchandise will make customers buy more ,ROMEOVILLE  Ill.  Oct 11 Sam's Club is trying to stand out against its larger  faster-growing rival Costco Wholesale Corp with trendier holiday merchandise this year  hoping that new goods will spur its members to spend more.,normal
WFC,Wells Fargo & Company,20131011,Fitch: Wells Fargo 3Q'13 Results: Mortgage Revenues Decline As Expected  Net Income Still Strong ,(The following statement was released by the rating agency) CHICAGO  October 11 (Fitch) Wells Fargo & Company (WFC) reported a still strong  quarter with earnings growth for 15 quarters in a row  despite a significant  drop in mortgage revenues. Offsetting the expected decline in refinancing  activities  provision expenses dropped to just $75 million  helping to support a  still strong return on average assets (ROA) of 1.53%.  As expected  mortgage banking revenues declined during the quarter gi,topStory
WFC,Wells Fargo & Company,20131011,Wells Fargo profit rises but investors worry about growth ,Profit at Wells Fargo & Co  rose by a better-than-expected 13 percent in the third quarter  as the largest U.S. mortgage lender made up for a decline in that business by releasing a large chunk of money set aside for bad loans.,normal
WFC,Wells Fargo & Company,20131011,Analysis: Wells wealth sector goosed by asset-based fees; commissions fall ,NEW YORK Fees drove a 33 percent rise in profits at Wells Fargo Corp's  brokerage and wealth management businesses in the third quarter from the same quarter a year ago  underscoring the continued transition of brokers from transaction-based salespeople to fee-compensated asset gatherers.,normal
WFC,Wells Fargo & Company,20131011,US STOCKS-Wall Street edges up with eyes on Washington ,* Indexes up: Dow 0.33 pct  S&P 0.17 pct  Nasdaq up 0.18 pct,normal
WFC,Wells Fargo & Company,20131011,UPDATE 2-Wells Fargo profit rises but mortgage banking income falls ,Oct 11 Profit at Wells Fargo & Co rose by a better-than-expected 13 percent in the third quarter  as the largest U.S. mortgage lender made up for a decline in that business by releasing a large chunk of money it had set aside for bad loans.,normal
WFC,Wells Fargo & Company,20131011,Wells Fargo profit rises 13 pct after reserve release ,Oct 11 Wells Fargo & Co  the biggest U.S. mortgage lender  reported a 13 percent rise in third-quarter profit after reducing the amount it had previously set aside for bad loans.,normal
